RatioNumber	FreshWeight	Biological_Replicate	Pot
-BFO	0.0337	Biological_Replicate_1	Pot_1
-BFO	0.0533	Biological_Replicate_1	Pot_2
-BFO	0.0457	Biological_Replicate_1	Pot_3
LLL	0.0473	Biological_Replicate_1	Pot_1
LLL	0.052	Biological_Replicate_1	Pot_2
LLL	0.0453	Biological_Replicate_1	Pot_3
LLH	0.0253	Biological_Replicate_1	Pot_1
LLH	0.0622	Biological_Replicate_1	Pot_2
LLH	0.0567	Biological_Replicate_1	Pot_3
LHL	0.0385	Biological_Replicate_1	Pot_1
LHL	0.0591	Biological_Replicate_1	Pot_2
LHL	0.0459	Biological_Replicate_1	Pot_3
LHH	0.0464	Biological_Replicate_1	Pot_1
LHH	0.0717	Biological_Replicate_1	Pot_2
LHH	0.0543	Biological_Replicate_1	Pot_3
HLL	0.0315	Biological_Replicate_1	Pot_1
HLL	0.0561	Biological_Replicate_1	Pot_2
HLL	0.0422	Biological_Replicate_1	Pot_3
HLH	0.0302	Biological_Replicate_1	Pot_1
HLH	0.021	Biological_Replicate_1	Pot_2
HLH	0.0529	Biological_Replicate_1	Pot_3
HHL	0.0518	Biological_Replicate_1	Pot_1
HHL	0.0532	Biological_Replicate_1	Pot_2
HHL	0.052	Biological_Replicate_1	Pot_3
HHH	0.0442	Biological_Replicate_1	Pot_1
HHH	0.0765	Biological_Replicate_1	Pot_2
HHH	0.039	Biological_Replicate_1	Pot_3
-BFO	0.0098	Biological_Replicate_2	Pot_1
-BFO	0.0353	Biological_Replicate_2	Pot_1
-BFO	0.0056	Biological_Replicate_2	Pot_1
-BFO	0.0961	Biological_Replicate_2	Pot_2
-BFO	0.0401	Biological_Replicate_2	Pot_2
-BFO	0.0062	Biological_Replicate_2	Pot_2
-BFO	0.0209	Biological_Replicate_2	Pot_3
-BFO	0.0124	Biological_Replicate_2	Pot_3
-BFO	0.0119	Biological_Replicate_2	Pot_3
LLL	0.0507	Biological_Replicate_2	Pot_1
LLL	0.0185	Biological_Replicate_2	Pot_1
LLL	0.0119	Biological_Replicate_2	Pot_1
LLL	0.0666	Biological_Replicate_2	Pot_2
LLL	0.0557	Biological_Replicate_2	Pot_2
LLL	0.0287	Biological_Replicate_2	Pot_2
LLL	0.0436	Biological_Replicate_2	Pot_3
LLL	0.0192	Biological_Replicate_2	Pot_3
LLL	0.0109	Biological_Replicate_2	Pot_3
LLH	0.1284	Biological_Replicate_2	Pot_1
LLH	0.0165	Biological_Replicate_2	Pot_1
LLH	0.0153	Biological_Replicate_2	Pot_1
LLH	0.0589	Biological_Replicate_2	Pot_2
LLH	0.0546	Biological_Replicate_2	Pot_2
LLH	0.0469	Biological_Replicate_2	Pot_2
LLH	0.0333	Biological_Replicate_2	Pot_3
LLH	0.03	Biological_Replicate_2	Pot_3
LLH	0.0111	Biological_Replicate_2	Pot_3
LHL	0.0425	Biological_Replicate_2	Pot_1
LHL	0.0187	Biological_Replicate_2	Pot_1
LHL	0.0071	Biological_Replicate_2	Pot_1
LHL	0.0314	Biological_Replicate_2	Pot_2
LHL	0.0423	Biological_Replicate_2	Pot_2
LHL	0.0324	Biological_Replicate_2	Pot_2
LHL	0.018	Biological_Replicate_2	Pot_3
LHL	0.0241	Biological_Replicate_2	Pot_3
LHL	0.0653	Biological_Replicate_2	Pot_3
LHH	0.0131	Biological_Replicate_2	Pot_1
LHH	0.0104	Biological_Replicate_2	Pot_1
LHH	0.0027	Biological_Replicate_2	Pot_1
LHH	0.0938	Biological_Replicate_2	Pot_2
LHH	0.0511	Biological_Replicate_2	Pot_2
LHH	0.0326	Biological_Replicate_2	Pot_2
LHH	0.0581	Biological_Replicate_2	Pot_3
LHH	0.0196	Biological_Replicate_2	Pot_3
LHH	0.0093	Biological_Replicate_2	Pot_3
HLL	0.0016	Biological_Replicate_2	Pot_1
HLL	0.0171	Biological_Replicate_2	Pot_1
HLL	0.0115	Biological_Replicate_2	Pot_1
HLL	0.1609	Biological_Replicate_2	Pot_2
HLL	0.0502	Biological_Replicate_2	Pot_2
HLL	0.0207	Biological_Replicate_2	Pot_2
HLL	0.0244	Biological_Replicate_2	Pot_3
HLL	0.0105	Biological_Replicate_2	Pot_3
HLL	0.0086	Biological_Replicate_2	Pot_3
HLH	0.0531	Biological_Replicate_2	Pot_1
HLH	0.0221	Biological_Replicate_2	Pot_1
HLH	0.0097	Biological_Replicate_2	Pot_1
HLH	0.0818	Biological_Replicate_2	Pot_2
HLH	0.0611	Biological_Replicate_2	Pot_2
HLH	0.0654	Biological_Replicate_2	Pot_2
HLH	0.0372	Biological_Replicate_2	Pot_3
HLH	0.0257	Biological_Replicate_2	Pot_3
HLH	0.0192	Biological_Replicate_2	Pot_3
HHL	0.0425	Biological_Replicate_2	Pot_1
HHL	0.017	Biological_Replicate_2	Pot_1
HHL	0.0099	Biological_Replicate_2	Pot_1
HHL	0.0261	Biological_Replicate_2	Pot_2
HHL	0.1012	Biological_Replicate_2	Pot_2
HHL	0.0743	Biological_Replicate_2	Pot_2
HHL	0.0373	Biological_Replicate_2	Pot_3
HHL	0.0058	Biological_Replicate_2	Pot_3
HHL	0.0251	Biological_Replicate_2	Pot_3
HHH	0.014	Biological_Replicate_2	Pot_1
HHH	0.0158	Biological_Replicate_2	Pot_1
HHH	0.0232	Biological_Replicate_2	Pot_1
HHH	0.0867	Biological_Replicate_2	Pot_2
HHH	0.0499	Biological_Replicate_2	Pot_2
HHH	0.0452	Biological_Replicate_2	Pot_2
HHH	0.0278	Biological_Replicate_2	Pot_3
HHH	0.0064	Biological_Replicate_2	Pot_3
HHH	0.0181	Biological_Replicate_2	Pot_3
-BFO	0.0238	Biological_Replicate_3	Pot_1
-BFO	0.0224	Biological_Replicate_3	Pot_1
-BFO	0.0082	Biological_Replicate_3	Pot_1
-BFO	0.0098	Biological_Replicate_3	Pot_1
-BFO	0.0025	Biological_Replicate_3	Pot_1
-BFO	0.0221	Biological_Replicate_3	Pot_2
-BFO	0.0172	Biological_Replicate_3	Pot_2
-BFO	0.0133	Biological_Replicate_3	Pot_2
-BFO	0.0206	Biological_Replicate_3	Pot_3
-BFO	0.0119	Biological_Replicate_3	Pot_3
-BFO	0.0103	Biological_Replicate_3	Pot_3
LLL	0.0252	Biological_Replicate_3	Pot_1
LLL	0.0226	Biological_Replicate_3	Pot_1
LLL	0.0172	Biological_Replicate_3	Pot_1
LLL	0.0068	Biological_Replicate_3	Pot_1
LLL	0.0648	Biological_Replicate_3	Pot_2
LLL	0.0259	Biological_Replicate_3	Pot_2
LLL	0.0249	Biological_Replicate_3	Pot_2
LLL	0.0452	Biological_Replicate_3	Pot_3
LLL	0.0321	Biological_Replicate_3	Pot_3
LLL	0.0218	Biological_Replicate_3	Pot_3
LLH	0.0455	Biological_Replicate_3	Pot_1
LLH	0.0145	Biological_Replicate_3	Pot_1
LLH	0.0168	Biological_Replicate_3	Pot_1
LLH	0.054	Biological_Replicate_3	Pot_2
LLH	0.0363	Biological_Replicate_3	Pot_2
LLH	0.0285	Biological_Replicate_3	Pot_2
LLH	0.006	Biological_Replicate_3	Pot_2
LLH	0.0405	Biological_Replicate_3	Pot_3
LLH	0.0251	Biological_Replicate_3	Pot_3
LLH	0.0156	Biological_Replicate_3	Pot_3
LHL	0.0149	Biological_Replicate_3	Pot_1
LHL	0.0169	Biological_Replicate_3	Pot_1
LHL	0.0375	Biological_Replicate_3	Pot_1
LHL	0.0459	Biological_Replicate_3	Pot_2
LHL	0.0635	Biological_Replicate_3	Pot_2
LHL	0.0343	Biological_Replicate_3	Pot_2
LHL	0.0116	Biological_Replicate_3	Pot_3
LHL	0.0101	Biological_Replicate_3	Pot_3
LHL	0.0044	Biological_Replicate_3	Pot_3
LHH	0.0245	Biological_Replicate_3	Pot_1
LHH	0.0192	Biological_Replicate_3	Pot_1
LHH	0.0169	Biological_Replicate_3	Pot_1
LHH	0.0547	Biological_Replicate_3	Pot_2
LHH	0.0489	Biological_Replicate_3	Pot_2
LHH	0.0187	Biological_Replicate_3	Pot_2
LHH	0.0112	Biological_Replicate_3	Pot_3
LHH	0.0155	Biological_Replicate_3	Pot_3
LHH	0.0171	Biological_Replicate_3	Pot_3
HLL	0.0195	Biological_Replicate_3	Pot_1
HLL	0.0153	Biological_Replicate_3	Pot_1
HLL	0.0264	Biological_Replicate_3	Pot_1
HLL	0.0396	Biological_Replicate_3	Pot_2
HLL	0.028	Biological_Replicate_3	Pot_2
HLL	0.0237	Biological_Replicate_3	Pot_2
HLL	0.0607	Biological_Replicate_3	Pot_3
HLL	0.0216	Biological_Replicate_3	Pot_3
HLL	0.0149	Biological_Replicate_3	Pot_3
HLH	0.0453	Biological_Replicate_3	Pot_1
HLH	0.0372	Biological_Replicate_3	Pot_1
HLH	0.0243	Biological_Replicate_3	Pot_1
HLH	0.0406	Biological_Replicate_3	Pot_2
HLH	0.0506	Biological_Replicate_3	Pot_2
HLH	0.0288	Biological_Replicate_3	Pot_2
HLH	0.0269	Biological_Replicate_3	Pot_3
HLH	0.0187	Biological_Replicate_3	Pot_3
HLH	0.0151	Biological_Replicate_3	Pot_3
HHL	0.0241	Biological_Replicate_3	Pot_1
HHL	0.0214	Biological_Replicate_3	Pot_1
HHL	0.0157	Biological_Replicate_3	Pot_1
HHL	0.0767	Biological_Replicate_3	Pot_2
HHL	0.0234	Biological_Replicate_3	Pot_2
HHL	0.0118	Biological_Replicate_3	Pot_2
HHL	0.0266	Biological_Replicate_3	Pot_3
HHL	0.0182	Biological_Replicate_3	Pot_3
HHL	0.0194	Biological_Replicate_3	Pot_3
HHL	0.0028	Biological_Replicate_3	Pot_3
HHH	0.0339	Biological_Replicate_3	Pot_1
HHH	0.0309	Biological_Replicate_3	Pot_1
HHH	0.0205	Biological_Replicate_3	Pot_1
HHH	0.0561	Biological_Replicate_3	Pot_2
HHH	0.0417	Biological_Replicate_3	Pot_2
HHH	0.014	Biological_Replicate_3	Pot_2
HHH	0.0108	Biological_Replicate_3	Pot_3
HHH	0.0312	Biological_Replicate_3	Pot_3
HHH	0.0208	Biological_Replicate_3	Pot_3
