R_LLL_F3	M_HHH_F1	R_HHH_F2	M_LHL_F2	R_LHH_F3	R_LHL_F2	M_HLL_F1	M_LHH_F2	R_LHL_F3	M_LLH_F1	R_HLH_F3	R_HHH_C3	R_LHH_C2	M_HLL_F2	R_LHH_C3	M_HLH_C3	R_HHL_F1	M_LHL_C2	M_HHL_F3	R_HLL_C2	M_HHH_F2	M_HLL_C1	M_LLH_C1	M_HHL_F2	R_HHH_F1	M_LHH_F1	R_LLH_F2	R_LHL_F1	R_LHH_F1	R_HHL_C3	R_HHL_C2	M_LLH_F2	M_LLL_C1	R_LLL_C3	M_HHH_F3	R_HLH_F2	R_LHH_F2	Input_1	M_HLH_F2	R_HLL_F2	M_HLH_C1	R_HHH_C2	M_LLL_F2	M_LHH_C3	R_LLH_F1	M_LHH_F3	R_LLH_C3	M_LHL_C1	R_HHL_F2	M_HLH_F1	M_LHL_F1	M_HLH_F3	M_HHH_C2	M_LHL_F3	Input_3	M_HLL_F3	R_LLH_F3	R_HLL_F1	M_LLL_F1	R_LLH_C2	M_LLL_C2	M_HHL_C3	M_LHL_C3	M_LLH_C3	M_LHH_C2	R_HLL_C3	M_HHL_F1	M_HLL_C3	R_HLL_F3	M_LLH_F3	R_LLL_F2	R_LLL_C2	R_LHL_C1	M_LLL_C3	R_HHH_F3	R_LLL_F1	M_HHH_C3	R_HLH_F1	Input_2	R_HHL_F3	M_HLL_C2	R_HHH_C1	M_HLH_C2	R_LLH_C1	R_LHL_C2	M_HHL_C2	R_HLH_C2	M_LHH_C1	R_HLH_C3	R_HLL_C1	R_LHH_C1	R_LHL_C3	M_LLL_F3	M_HHH_C1	R_HHL_C1	M_LLH_C2	R_LLL_C1	R_HLH_C1	M_HHL_C1
R_LLL_F3	0.0	0.19545367034153996	0.13549385959640828	0.11830311187594829	0.10279955277094968	0.12736432899406044	0.17399496508405282	0.11599395855261632	0.09840059309533808	0.18686422884088763	0.10039803221317056	0.2765690939550858	0.29896387813453046	0.12159550722696515	0.3892588911277986	0.23592230264720723	0.1873958348719001	0.3322921709107822	0.0979465861724174	0.22935955370416708	0.12242351529920315	0.2877977383145023	0.3294040119288966	0.12147143004113535	0.18785296035760535	0.21582637460294563	0.1566857442240781	0.19034298879379374	0.18863376114563224	0.2936130896489877	0.28352752248157925	0.10540859874637258	0.31134144912972384	0.35417051604796906	0.12162207900509242	0.09783615292650868	0.13636613546679396	0.2507821121261127	0.1050634357564845	0.12239318284697734	0.293895408232877	0.2798904869678139	0.13017569132978885	0.26333265947947454	0.19027425660686992	0.11438744957842216	0.4039933832868788	0.36710039327221944	0.12816819007633837	0.18489052380144255	0.19851818155498333	0.11838617608250424	0.25447688664745227	0.12080497338841863	0.25591979548738464	0.11905484571012356	0.08769749043249189	0.1759987908496953	0.19367432022405787	0.27458838382486656	0.3555289557334099	0.2336557654674817	0.25898402129027265	0.2770267983759179	0.27952959759499635	0.3277589945273039	0.2240680080220189	0.26932541109239877	0.07872107489907793	0.11753154651971634	0.10617576391714623	0.364419332699404	0.6238190437972896	0.2816571210645673	0.10627863673209685	0.1963999052972232	0.21938839033106802	0.16601040749834003	0.2543671306261541	0.10894728079234386	0.29206644257529524	0.45904677760259294	0.29248770934805324	0.5612681320965347	0.35178056221218634	0.2586134713695409	0.270898154752754	0.36311644710403485	0.3349918742986867	0.40854342009675526	0.48676758830021255	0.4057212434086637	0.11186729116314614	0.2979681957518628	0.42878820925235855	0.3998514077129234	0.5329333601666453	0.5167210212810267	0.31112930643883707
M_HHH_F1	0.19545367034153996	0.0	0.15659171737450672	0.16831136709231564	0.18038862006394196	0.15744413289825976	0.1262024063600441	0.15338919765108114	0.18908333504829142	0.11407394384852355	0.21152810469670683	0.3138730576651005	0.36976070926725224	0.19201999890696522	0.4449565100471646	0.2974413656343029	0.11900280641764958	0.36171257587940614	0.16612967788052813	0.31389440418078834	0.15855247009880397	0.28223718652065716	0.3523179642240873	0.15177919227505227	0.10229806213786896	0.10946837881082533	0.16757660381735665	0.08162166657183748	0.0985753940495941	0.35318021547110695	0.3362625929492495	0.1872745812289391	0.3236760010159111	0.42247661759764665	0.13972330460836865	0.17816016255468772	0.15697358849068074	0.31669189201426595	0.1659982148926368	0.21674260407860824	0.29577832349939936	0.3367553326581132	0.20748146881298823	0.33995420048562724	0.10371678500841812	0.15188838941838875	0.47770752957461304	0.3723855119647689	0.14650193885673637	0.09539151621411476	0.12571723042927233	0.18833329977088623	0.2792732041162899	0.15999022694005058	0.3080448524405253	0.20112906369248643	0.1933885782691535	0.11714764569605778	0.14715072473525403	0.3415586893362309	0.41448613513845706	0.2961136693527964	0.3312096049395654	0.3519335485330429	0.31360556801627865	0.37084946179315276	0.13973542002574124	0.31717471491807053	0.2063622495058155	0.19934078320964155	0.20621273097750095	0.44637138755302175	0.6346429715076882	0.3276129076831254	0.1758862151295302	0.1369019315732987	0.28042954441824613	0.11333066413283378	0.3107886429365645	0.17728215157332713	0.33577152264972665	0.4660582482062478	0.36321534628118923	0.605346146816314	0.42674490387734165	0.31823903770231077	0.3216270694261378	0.364205948046776	0.38476693103454107	0.43932415794473517	0.49870997501626796	0.4619510033621079	0.19380331232965722	0.29758455422306795	0.4186526341783943	0.4111167681058334	0.5640003224405568	0.5102236045165213	0.3066074989908164
R_HHH_F2	0.13549385959640828	0.15659171737450672	0.0	0.1052115659356139	0.12520589187086173	0.08592105143608544	0.2013535263985529	0.11762867935257408	0.13227087050241834	0.17963177834831143	0.13345470608422771	0.298081672775785	0.32304680188471296	0.13499631147269303	0.42220435662323613	0.26551237040654124	0.15353363683894972	0.33779942721015566	0.14449143826723648	0.2669484915251709	0.09533442496501073	0.29783541306398165	0.35951347673289064	0.11927242644039415	0.16283770376368625	0.1834056425897757	0.12675103188660708	0.14973190575659973	0.14785793104918138	0.321318850425692	0.2733717607044979	0.13352959594865932	0.34879881048693956	0.40412162606418184	0.1270305311175602	0.09674260569873082	0.08895752388068373	0.27295950454206336	0.1364942847148547	0.11836687539120151	0.3123699474561782	0.28335163906320865	0.164394744499914	0.29219668053911846	0.16076332011806693	0.15727614114349145	0.43535667420960644	0.39738712379599117	0.08494180414365539	0.19278251122348494	0.19226319021095115	0.15599233156927828	0.26777341060101956	0.14603901457297538	0.27848961355146	0.1759473779294592	0.13059751216374177	0.16603157506443403	0.20345964588139798	0.287896164670466	0.3727462739735538	0.2602271117120379	0.29890896140624784	0.3293824504153486	0.2786879322323858	0.3742012986465304	0.1940410396469358	0.3038138537790687	0.14317309777626258	0.18090405143927102	0.11802817723159614	0.3803665797681405	0.6509798693133336	0.3176451625428671	0.12191898428597359	0.18583274227894195	0.2450956853250338	0.1601960695987146	0.26669358579137087	0.12169562524245116	0.312495936207319	0.48216909508630706	0.31741537532412567	0.6018404454068056	0.37178457515238966	0.2842263146875488	0.30104666413422565	0.3882783716740721	0.3679321085873201	0.4413910224153651	0.5018213382160541	0.43512439790590596	0.15870684696923046	0.312287276461372	0.4334954829070767	0.42323487844502794	0.5624593294662014	0.5242661569264739	0.3302680605254968
M_LHL_F2	0.11830311187594829	0.16831136709231564	0.1052115659356139	0.0	0.12891906089849559	0.11392395652557433	0.18342700156148717	0.06531077807929941	0.11826607476020018	0.1488212470018806	0.1313852887208362	0.2816819669757103	0.30638130829576915	0.10055711654415594	0.40620025229690654	0.25249434426066636	0.18101288553617803	0.3202991123925875	0.10718564506132598	0.2438821537705058	0.09523014180536245	0.2980690130862884	0.3482274588581612	0.09198885818215301	0.1811017612679231	0.18019941208559273	0.12900883599879384	0.17579292538428692	0.16948604437506606	0.29631776165415563	0.27995967962669677	0.081360424719578	0.3389853296805332	0.3634019038747265	0.1290341570440334	0.10132386333519026	0.1219413621859285	0.26539170866230694	0.09949722659775663	0.12477044620402537	0.31472282863139206	0.27027660151917476	0.10961684754109745	0.2731236863688207	0.17124786141243517	0.11946701373783652	0.409120587527449	0.3871556768206746	0.11402098501457045	0.17564060772790124	0.16513700127216432	0.12788521726181512	0.2446938910372631	0.12422402524791605	0.27372615339507195	0.14519173322826748	0.11752635808462954	0.18641990933231	0.16932455625471052	0.2741227278046919	0.3658805091008126	0.247810367625399	0.2845542756825944	0.31446069787985376	0.27269247058083773	0.3541130322433287	0.20119564025214737	0.2876955521190924	0.12618479376987604	0.1335890886006873	0.10729544853233851	0.377930901580967	0.618659250488871	0.3055815715548524	0.1261623848790845	0.1749268072246678	0.23305201385284854	0.17512691140306347	0.2693790575703274	0.13474891373622344	0.30560975099277704	0.45925257810409825	0.3090116410337936	0.5714868955466167	0.35036616879195337	0.2791654731580718	0.288953672699368	0.37264591539017755	0.3542549855375266	0.4290887588015565	0.4857154123899264	0.4098348243855841	0.11721297576688523	0.3134736065608668	0.4275194687592912	0.3991676848634127	0.5383880108506762	0.5032343727817375	0.3058685970363546
R_LHH_F3	0.10279955277094968	0.18038862006394196	0.12520589187086173	0.12891906089849559	0.0	0.10231623887064166	0.21065068446361487	0.12680610859525115	0.09027999991072012	0.1945663208262681	0.12721837739079694	0.2920699967387814	0.32630961082590826	0.15637151380192835	0.4117554664801203	0.2578436942357706	0.17268205933466524	0.3449924130430835	0.1105545566185469	0.27585049908758985	0.13946969847905433	0.3015792386058807	0.35058700591808695	0.14960584570889374	0.17015167907513265	0.21493951854088225	0.14325957093687974	0.16915738079698414	0.17035782795627344	0.3131834084294605	0.3028202665271863	0.1415675139855799	0.34121251862629304	0.3923663074177592	0.10774638795540259	0.1192066472751626	0.1108493590042345	0.2690614527577988	0.1418164974832022	0.14019161479580117	0.319928832736941	0.30311728606379945	0.1746865283732368	0.2776748018481833	0.17796041883741864	0.11553065502715539	0.4220926997077793	0.3992878647915481	0.10532038873428523	0.19545203700463057	0.21481863307194848	0.13315619020467281	0.272057930806779	0.12147730401371867	0.27190009410915644	0.14612352253367228	0.10225892317672894	0.18416462692775326	0.21772329413263916	0.3086384166503473	0.38597617102556475	0.25417590150263153	0.29284453874998306	0.313032254314183	0.2916054802687629	0.360716304765507	0.22227249923127962	0.30404861517647286	0.10897349598771537	0.163152404867684	0.1316182598546865	0.400879531345133	0.6448506634428791	0.31272241038353915	0.08938702243264042	0.21541221941169839	0.24000235263001934	0.1715118700541441	0.2719778840676561	0.07650486866971083	0.32172013988294146	0.4741532173022394	0.3209709796482747	0.5988353842157502	0.3757761752303386	0.2929876559512793	0.29989726837228314	0.3826327544040225	0.35650424843062395	0.43195544729717167	0.4920710312003956	0.43165487683761894	0.15130990458234583	0.3203994922987449	0.43688016527673934	0.42920306007783776	0.5535894306895462	0.5269266956557439	0.3280009717904594
R_LHL_F2	0.12736432899406044	0.15744413289825976	0.08592105143608544	0.11392395652557433	0.10231623887064166	0.0	0.2168680580361806	0.10815156734540723	0.11313997241454847	0.1863083415609009	0.1392791628877474	0.30635236663271936	0.34022162697267505	0.15032820506662395	0.41583260110903897	0.2871807373604385	0.1477399180059088	0.34340303255367094	0.1404995709135309	0.28996485468842725	0.1165487342954146	0.31088771587199504	0.3711969757814805	0.13202936041455404	0.14930261054265212	0.18701461522156332	0.11526260257466175	0.1335503660612322	0.1378663379749262	0.33187022515501824	0.30085550869329597	0.1427632655326604	0.35854396933529364	0.3990632650479711	0.12536539372518504	0.09834038396405163	0.060695453465922124	0.28590944040248323	0.1421693299885997	0.12823657932843327	0.3336057404905045	0.31076602701998246	0.16239841999025187	0.3129980427392494	0.15085481578239657	0.1426181845397941	0.4461365050855343	0.41041942747476357	0.07882131653500754	0.20826269253526788	0.20169384577295602	0.16579969477333445	0.288883520099232	0.14447872606580592	0.29712552394199604	0.17697046367362418	0.11811616026140634	0.17473401657151663	0.2059761350650021	0.3126412129523964	0.3907646072367726	0.2824326048730779	0.31876797357340275	0.34992182304497893	0.3014018094265412	0.3837966013304149	0.19881241330526556	0.33362302191177046	0.13303716559478937	0.18456334123551807	0.11061420313918761	0.3973475895603584	0.6447318247271119	0.336472305118387	0.11385030259385029	0.18713655792016645	0.2673518076711323	0.16691657716139735	0.28098775812026383	0.10772406120501116	0.3257264125559897	0.4819710917990448	0.32754325867445744	0.5999387413351422	0.37833354436774724	0.3002790410199389	0.30070628840643177	0.3980843741316473	0.37774030008808623	0.44046912627888474	0.5037764979098682	0.43388403631144934	0.15787770477965118	0.3331006648966186	0.42783563575760425	0.43701336797390167	0.5587615445942637	0.5230471006183607	0.3377718993445234
M_HLL_F1	0.17399496508405282	0.1262024063600441	0.2013535263985529	0.18342700156148717	0.21065068446361487	0.2168680580361806	0.0	0.1767726754786006	0.21240420385705167	0.1177002657131992	0.18965597111674115	0.3030854080108611	0.355045362199783	0.15130770063601223	0.4352921480183203	0.24346298884921058	0.17097531235623165	0.3707657175959135	0.15366319175414903	0.2700180587405625	0.17786821316115708	0.25106091107139006	0.3035058402073929	0.1577899846297314	0.156889035091633	0.15117042340602233	0.20187156661319464	0.1461163546217927	0.14829547838985682	0.33090835489771653	0.3261654539988002	0.1574265542119764	0.27727528998967677	0.4058435965286348	0.17317459073991984	0.16669148824499314	0.21090035618017547	0.2676633649291204	0.1451544558484729	0.18493614896197474	0.24642567227983245	0.3110338241704551	0.19113988420279765	0.30651550403930994	0.15114889438101237	0.17011278072407127	0.45022933721984815	0.33033292595028635	0.1964166360677402	0.08844621887215486	0.1365911229932212	0.18072841400545003	0.25452296572622957	0.17956834089301485	0.2634461239835462	0.1554009921226999	0.18749057517662818	0.11372669068285686	0.12548364996017436	0.3333501948382701	0.3618109124885394	0.255869059133164	0.2934482401231345	0.304772674399607	0.2977324134192082	0.33413993385452695	0.18612523756899732	0.2682616930807886	0.1836789379853949	0.17276416105388204	0.189986523700709	0.4133334326491097	0.6454825009972973	0.2931770509693355	0.19741714762435017	0.1531176653329202	0.23343845228339186	0.11514895315792922	0.2683073859101088	0.18431951722766682	0.29530857151915785	0.4838133628993416	0.33286595041507344	0.5999190163107507	0.42309822965830113	0.2784550585639317	0.29611363538320357	0.3428875728515704	0.36605042686378375	0.4416380066473806	0.5094191791722987	0.4600608082696481	0.16113050575487994	0.2577306841783918	0.44406208919964185	0.40818994487800775	0.5788229499460352	0.5262726610631709	0.27542246763283895
M_LHH_F2	0.11599395855261632	0.15338919765108114	0.11762867935257408	0.06531077807929941	0.12680610859525115	0.10815156734540723	0.1767726754786006	0.0	0.11608091128239297	0.14597376860335143	0.13475043204636658	0.27351292103194363	0.2944753472582368	0.10345074474205712	0.39543544935686953	0.2511272297767676	0.18797387415854508	0.31045006386223417	0.10114179015905393	0.24482643833167192	0.08393425047844413	0.30226783942705077	0.33713782832385597	0.07406060393592541	0.17625337312925957	0.15929619901680425	0.12284807666331628	0.1627142155571007	0.1648316055070746	0.29515565995201876	0.2750359302086746	0.08014040368987331	0.33350225492381186	0.36476450686068845	0.11065063087660425	0.11110529340056814	0.10380975941936361	0.26879898155002524	0.08321999534085654	0.14673275417152412	0.30975430664568504	0.26922973459521365	0.10780617853757106	0.27966196191640885	0.16948873506906326	0.1081499943720935	0.4042493769068396	0.37644444286736767	0.11180171382612572	0.1657013443938878	0.15384672265703953	0.12645171229122826	0.24182529133799738	0.09362803898124547	0.2782064714980006	0.1436074235296724	0.12253214896631758	0.18904037177280691	0.16092986285554958	0.2638278061925758	0.3559239041357834	0.24601919402693742	0.28131061500321036	0.31756612575233634	0.2678898964304051	0.3459435397553478	0.1929964289933306	0.28779848063655	0.14170010335615438	0.1237451195357905	0.1242834975372304	0.37469249063869486	0.6238704955089306	0.29770108466642486	0.12342913034607737	0.17310255213205986	0.23197822820681818	0.18293935025164929	0.2679654944521098	0.13716451676011981	0.29382974105562165	0.45628722732252863	0.2984474353826188	0.5824568506324925	0.3463844755648819	0.2681914651241797	0.2736854457777315	0.36707251605960045	0.3513739703265642	0.42275880657140125	0.4847686574458218	0.40036060402752827	0.12525454484705428	0.3071118345325164	0.4200242877503556	0.38800561702920194	0.5417393271276187	0.5062288992553379	0.31748865984433666
R_LHL_F3	0.09840059309533808	0.18908333504829142	0.13227087050241834	0.11826607476020018	0.09027999991072012	0.11313997241454847	0.21240420385705167	0.11608091128239297	0.0	0.1899142771781181	0.1108317415019217	0.25327049196483215	0.2837535392591905	0.14159113118543637	0.3720081171565153	0.2503230486892124	0.18240464931786318	0.33700361102388265	0.11384968336515518	0.25217502024059785	0.13470780983832173	0.3014941410912878	0.32863687248466406	0.12945142762175313	0.18797013036241883	0.21414141137067783	0.14637387033329305	0.18669829419114695	0.18221723919469757	0.2765644674099814	0.2759447980867527	0.1251937660808192	0.32146954933965743	0.34920610853791767	0.12948359560022213	0.11906457427716005	0.12371416442079869	0.27899237649711	0.12941585515692108	0.1390368202947951	0.3018724902767798	0.2794561207468697	0.14850606963028903	0.2579852722574925	0.18193630828562168	0.11237374876280552	0.3866368685557029	0.36752592316123917	0.11818450310667632	0.19539339284624196	0.20856411142546918	0.12355474081114123	0.26640581438123845	0.11076880040416509	0.28113474016835627	0.15339434616444478	0.10254358516263365	0.1913420755320354	0.2071066908629451	0.27857468240311506	0.35572433093583944	0.24471461324802912	0.26886388173623216	0.2972890544487853	0.25921864706770265	0.32856982928076445	0.22179613404683024	0.2928663097432201	0.10870974073123148	0.14726081226128623	0.10959773384033214	0.3599534590650509	0.6103440942273253	0.2978612236911241	0.10244676225151508	0.19348517722950706	0.23371051331539905	0.17022805821643405	0.2854887543312941	0.10179699277797775	0.29277069571144393	0.44729712946691597	0.2962839550177442	0.5576185984682069	0.3364083725496777	0.28036945486717524	0.27111151582543114	0.36000669359993354	0.3331780003255233	0.3952599153808261	0.4695329089130226	0.39253401427687823	0.1502553695508905	0.2942202917210373	0.40938588246419083	0.4125138368770377	0.5182805254975283	0.49600763686612104	0.31899446634142864
M_LLH_F1	0.18686422884088763	0.11407394384852355	0.17963177834831143	0.1488212470018806	0.1945663208262681	0.1863083415609009	0.1177002657131992	0.14597376860335143	0.1899142771781181	0.0	0.18941979801457076	0.29238440901738455	0.33846505491857815	0.15195376628846602	0.42407161661145226	0.25239555762501337	0.1418997301262505	0.34647010158688474	0.15474345300365244	0.2656448596752003	0.14930178903810512	0.2615960437753297	0.3097232319020371	0.13577608869371505	0.12864870689588948	0.10787030287413416	0.1760529896407413	0.1150735660568548	0.10848950947671397	0.30885414871844336	0.3001708295862355	0.1568550952489612	0.28779589018100454	0.39273236229908776	0.1683886012016373	0.1727846883661397	0.18640265093348424	0.2764802804901699	0.14752979033557487	0.18676059850607876	0.26311357888815	0.2976213557331383	0.18058784750072074	0.29103702708200624	0.10821636781558	0.15191967295913134	0.43668009785070155	0.3430531035319248	0.1740370725271464	0.09272619372490297	0.11490732324639745	0.16533659836026393	0.2452507601131818	0.14782931457369514	0.2777550901887152	0.1791097945844045	0.18102330091056104	0.1309245006672935	0.09692658042991971	0.3276700156925137	0.38874461580751335	0.25531334377200593	0.2992367166047556	0.31814645349994974	0.29927966147319457	0.333003735120104	0.14935137263280107	0.27938190523186146	0.19004670988251882	0.18302681626447848	0.18483901622699347	0.42566407286176094	0.6081784491159169	0.30696116830211845	0.1935868624396396	0.11584834814285822	0.23519436028943813	0.12388347237427455	0.2806134376829953	0.19261262151130187	0.31297368630421774	0.45432036669759585	0.3339395959188542	0.5720861875977173	0.3944783297334897	0.2824279149446941	0.28282660007973964	0.326494134805966	0.341467026328658	0.42753671655676395	0.46652380152678574	0.42297731911245734	0.18115417247183582	0.26615533943019837	0.4099024568159672	0.40387530972480395	0.5491380401740957	0.4899934104495978	0.2612353965047304
