SampleID	Compartment	Condition	System	Replicate	Microbe	Library	not_include	Description
M_LLL_F1	Matrix	LLL_F	FlowPot	1	Bacteria	L01631		M_LLL_F1
M_LLH_F1	Matrix	LLH_F	FlowPot	1	Bacteria	L01631		M_LLH_F1
M_LHL_F1	Matrix	LHL_F	FlowPot	1	Bacteria	L01631		M_LHL_F1
M_LHH_F1	Matrix	LHH_F	FlowPot	1	Bacteria	L01631		M_LHH_F1
M_HLL_F1	Matrix	HLL_F	FlowPot	1	Bacteria	L01631		M_HLL_F1
M_HHL_F1	Matrix	HHL_F	FlowPot	1	Bacteria	L01631		M_HHL_F1
M_HLH_F1	Matrix	HLH_F	FlowPot	1	Bacteria	L01631		M_HLH_F1
M_HHH_F1	Matrix	HHH_F	FlowPot	1	Bacteria	L01631		M_HHH_F1
R_LLL_F1	Root	LLL_F	FlowPot	1	Bacteria	L01631		R_LLL_F1
R_LLH_F1	Root	LLH_F	FlowPot	1	Bacteria	L01631		R_LLH_F1
R_LHL_F1	Root	LHL_F	FlowPot	1	Bacteria	L01631		R_LHL_F1
R_LHH_F1	Root	LHH_F	FlowPot	1	Bacteria	L01631		R_LHH_F1
R_HLL_F1	Root	HLL_F	FlowPot	1	Bacteria	L01631		R_HLL_F1
R_HLH_F1	Root	HLH_F	FlowPot	1	Bacteria	L01631		R_HLH_F1
R_HHL_F1	Root	HHL_F	FlowPot	1	Bacteria	L01631		R_HHL_F1
R_HHH_F1	Root	HHH_F	FlowPot	1	Bacteria	L01631		R_HHH_F1
M_LLL_F2	Matrix	LLL_F	FlowPot	2	Bacteria	L01631		M_LLL_F2
M_LLH_F2	Matrix	LLH_F	FlowPot	2	Bacteria	L01631		M_LLH_F2
M_LHL_F2	Matrix	LHL_F	FlowPot	2	Bacteria	L01631		M_LHL_F2
M_LHH_F2	Matrix	LHH_F	FlowPot	2	Bacteria	L01631		M_LHH_F2
M_HLL_F2	Matrix	HLL_F	FlowPot	2	Bacteria	L01631		M_HLL_F2
M_HLH_F2	Matrix	HLH_F	FlowPot	2	Bacteria	L01631		M_HLH_F2
M_HHL_F2	Matrix	HHL_F	FlowPot	2	Bacteria	L01631		M_HHL_F2
M_HHH_F2	Matrix	HHH_F	FlowPot	2	Bacteria	L01631		M_HHH_F2
R_LLL_F2	Root	LLL_F	FlowPot	2	Bacteria	L01631		R_LLL_F2
R_LLH_F2	Root	LLH_F	FlowPot	2	Bacteria	L01631		R_LLH_F2
R_LHL_F2	Root	LHL_F	FlowPot	2	Bacteria	L01631		R_LHL_F2
R_LHH_F2	Root	LHH_F	FlowPot	2	Bacteria	L01631		R_LHH_F2
R_HLL_F2	Root	HLL_F	FlowPot	2	Bacteria	L01631		R_HLL_F2
R_HLH_F2	Root	HLH_F	FlowPot	2	Bacteria	L01631		R_HLH_F2
R_HHL_F2	Root	HHL_F	FlowPot	2	Bacteria	L01631		R_HHL_F2
