M.LHH.F1	R.HHH.C3	R.LLH.C3	M.HHL.C1	M.LHH.C2	R.HHH.C1	R.LLH.F1	M.LLH.C2	M.HLL.C2	M.LHL.C1	M.HLL.C3	M.HLH.F2	M.HLL.F1	R.LLH.C2	Input.1	M.LHL.C3	R.LHH.C3	M.HHH.C1	R.HLH.C3	M.HHH.C3	M.HHL.F2	M.LLL.F1	M.LLH.F1	M.LHL.C2	M.LHH.F2	R.LHL.C1	R.LHH.C1	M.LHL.F2	M.HLH.C3	R.LLL.F1	M.HHL.C3	M.LLH.F2	M.HHH.F1	R.LHH.C2	M.HHH.C2	M.HLL.F2	M.HHH.F2	R.LHL.C2	M.LHH.C3	R.LLL.C2	R.LHL.F1	R.HHL.C1	M.LLL.F2	M.LLL.C1	R.HLH.F1	M.LLL.C2	R.LLL.C1	M.LLL.C3	M.HLL.C1	M.HLH.C2	M.HHL.F1	R.LLH.C1	R.HHL.C3	M.HHL.C2	R.HHL.F1	Input.3	Input.2	R.LHL.C3	R.HHH.F1	R.HLL.C1	M.HLH.C1	R.HLH.C2	R.HLL.F1	M.HLH.F1	M.LHL.F1	R.HHH.C2	M.LLH.C3	R.HLL.C2	R.LHH.F1	R.HHL.C2	R.HLL.C3	M.LHH.C1	R.LHH.F3	M.HHH.F3	M.HLH.F3	R.LLH.F3	R.LHL.F2	R.LHH.F2	R.HHH.F2	R.LLL.F3	R.HHL.F3	R.LHL.F3	R.HLL.F3	R.HLH.F2	M.LLH.F3	M.LLL.F3	R.HHH.F3	M.HHL.F3	R.LLH.F2	R.LLL.F2	M.LHH.F3	R.HHL.F2	M.HLL.F3	M.LHL.F3	R.HLH.F3
M.LHH.F1	0.0	0.2173228161331656	0.18382576233997716	0.12505033069603316	0.131842855281967	0.1555933880209407	0.1344620307035381	0.13014046934945847	0.14125698715732082	0.1648220081622344	0.17076032753978357	0.10547916158508919	0.07879337581693995	0.17070625300744147	0.1645612908227112	0.15825284449409827	0.1729161522758966	0.12201225453933237	0.2168154287180288	0.17345344296548754	0.12909145312950984	0.07683751932780453	0.07777776707418459	0.14989467739102025	0.09578637752038502	0.17377462136886535	0.1560240376644508	0.11216194438052686	0.16053289442115268	0.10475421453117573	0.1563663746802361	0.10233862559118784	0.03638176752311941	0.1791814176196419	0.138491102341193	0.140357298011029	0.10895973406154147	0.18192158799973332	0.1603428842565757	0.3524925555013312	0.08325905680053894	0.15749272690951507	0.3445056951142914	0.11699080058130593	0.07914888301896433	0.12909475043403226	0.1298272342603448	0.14985430607964959	0.12103544279249881	0.15951663085293508	0.039278689148572805	0.1691375598074518	0.19504283365249928	0.14940844963683683	0.1276398279128535	0.1918415050303548	0.16194363356977118	0.15290068387031686	0.06655884588636767	0.16615776974461569	0.12426069796243884	0.24429712757623775	0.14651545042450637	0.06228423873176493	0.0821083654047075	0.12260503550583145	0.17570795631175753	0.18123189258793945	0.06326075583916385	0.12837036985049846	0.19184153077170843	0.10346180552866685	0.10011651901082519	0.09775649767231565	0.10079641234280154	0.11500516181950604	0.11905643425753747	0.07639139949614462	0.06935446682881419	0.26581058468403446	0.12787541620709567	0.1168208401925825	0.13939904493160607	0.14389683900350092	0.062121556552108964	0.08042357127750392	0.10540985216290563	0.13167356468216068	0.08263062376545378	0.10907092568883675	0.03820930553637995	0.13335307866811053	0.16119857823621778	0.06840598011139423	0.10790642656700267
R.HHH.C3	0.2173228161331656	0.0	0.1501477515344597	0.11434414133650429	0.11888298503444866	0.16677084304067732	0.21432824316650315	0.11675568740854321	0.09702703043507999	0.14380735935654335	0.15759395256020825	0.1901250024769182	0.20421081930219115	0.12825822996747102	0.14178160819542848	0.07660582369894321	0.08816892109564849	0.11021753244981802	0.1234904561023066	0.05458829442253375	0.20218039339671645	0.2412469386729102	0.23163842794759826	0.0977549432528683	0.18618024500480473	0.1388394460472257	0.1548213370460752	0.18764341785057084	0.08452265230750783	0.21247868106878906	0.07402223616855204	0.2181369472659254	0.20291705438461627	0.11561880018710836	0.12660679628338994	0.2107693821092471	0.18182537810953725	0.09990729846736256	0.07166779576920508	0.3942070261095805	0.20946575137976703	0.09957708573625529	0.3997942438353482	0.1939027699440024	0.2443585326964712	0.17898339599771723	0.2113543649836384	0.11797604346953723	0.1473520518152318	0.09873652093313573	0.22015511881770955	0.22358785645339088	0.060403746582116453	0.12353946375441309	0.14313626381662578	0.08335760808999565	0.14360756906059566	0.11614776033437434	0.17660966071879894	0.16150260184811396	0.1304697329657011	0.2468250612303868	0.20484298362787196	0.24277775373295823	0.1937540718457431	0.17278464496491713	0.08423167381449614	0.14358412330260598	0.23212029529431916	0.10760087902483326	0.1958824676439164	0.13774698138243385	0.18341084243143607	0.2454628618378076	0.205420726261881	0.17581689898579597	0.16197297637350666	0.2043694495204845	0.15947212815393194	0.2691145909854069	0.19203546755309173	0.16932885303500222	0.20269982337952053	0.20674494373996982	0.19316995033913337	0.1730780997265466	0.17360672945948213	0.2394001959701443	0.1973092614665235	0.20325531825590892	0.1859820057924978	0.16560241531980616	0.14740863398175297	0.21026043063436883	0.16913099880598656
R.LLH.C3	0.18382576233997716	0.1501477515344597	0.0	0.1770566448658249	0.22070717039727342	0.20792606944421382	0.16868834773458194	0.1980404601682128	0.18491543595770898	0.2183022274731436	0.1691362211696261	0.20418756507838742	0.1981140553587018	0.1939377731156803	0.2287044791014097	0.15662306040329443	0.14693340973067687	0.1873580016834314	0.1225838407379445	0.14838562736377411	0.22454542007383657	0.1880740031338009	0.16864892281881375	0.19445809002636763	0.1846266117490603	0.1726468305257869	0.1986496658379143	0.2101091721059587	0.15574822645220202	0.1596295285988243	0.13599525253470254	0.19880637682123942	0.19133008485218161	0.1531389287370869	0.21541272111437015	0.21240864784753538	0.16560603804314017	0.18527471963456257	0.15101295840498108	0.30491027550761873	0.2070301045375783	0.18431005151424273	0.3176717122530586	0.1498661025807502	0.17768287042265415	0.20889308007260285	0.11177340787953255	0.13443771946099986	0.16118557494104427	0.19932666567300167	0.19078839257459815	0.1399558009379071	0.1585829614212528	0.22791920651257538	0.1551452012441747	0.20239196879426524	0.2300059656816076	0.14296152074990517	0.18254202498021171	0.11397672406846274	0.15562349130130226	0.1675525444328877	0.20004569305689035	0.17901144404509092	0.19235436675020584	0.158955573572449	0.1371290098389312	0.1555141652960908	0.19079056500571395	0.16613538138267211	0.12677487460300643	0.1772523016586715	0.17955940506933799	0.214596750987021	0.1707895508796941	0.18222598391874736	0.20638740756380347	0.2026950909279878	0.1933987663935731	0.2719605422505029	0.23156137965690538	0.2014747711821357	0.22854576239300162	0.17334451362454553	0.186412031080073	0.17091773601946195	0.17169658548255015	0.2273816037925158	0.1918717685236726	0.18930483189304834	0.17805550409992624	0.16743484915557794	0.18726442219323086	0.1611277931672146	0.1983910574397881
M.HHL.C1	0.12505033069603316	0.11434414133650429	0.1770566448658249	0.0	0.09415776806206695	0.11156579665628762	0.20420459699128418	0.0964927915644445	0.08022003695601385	0.08187454296169477	0.19778511628058232	0.18893686592243425	0.1532248529787778	0.16429243195934473	0.10389090139822683	0.090847041375296	0.10950587527574909	0.02912018606160927	0.14873576882629963	0.08709150658618543	0.21081781585197173	0.17208218351312338	0.16201793373146778	0.08858403266825025	0.16869873053360085	0.13783513981731146	0.12064916048569524	0.18722797299194607	0.10869985232078301	0.18056923076923076	0.10527752215590373	0.19730983885475253	0.12276741356312477	0.13193369800636143	0.11011790053642848	0.22102267467956274	0.15476620171534378	0.10884328898958605	0.10491819356996311	0.4246814458303753	0.14625780272148267	0.056384905232806676	0.4104234218580405	0.14253713951209276	0.158015743444036	0.16195444655379163	0.19275296920524898	0.14029595902105862	0.08693363064820837	0.09170439406544385	0.14009452311621262	0.20781863709087545	0.11385541271283647	0.10022170156147735	0.1504472624681296	0.12358752363851466	0.10592297576187658	0.12663012992840847	0.13389415232817314	0.14669699029130392	0.07889156027741762	0.29198877301422577	0.24016770656095263	0.16920070151709204	0.16941224601666274	0.17029038303393693	0.12744653514688642	0.19512542741742583	0.1348442913105474	0.10289632013432211	0.2406964800246013	0.07757368169507725	0.16317207139533416	0.17121993865554777	0.14446472393744486	0.1737279588955297	0.13995819273521237	0.1295819681904071	0.0941907232824198	0.311315218825661	0.19694035336966706	0.16642775757695852	0.2084395750081917	0.21172675664688725	0.1188724453840733	0.11377769248946538	0.14708589328366692	0.1897843604885326	0.13471020233725023	0.14665828224808097	0.09996774873520989	0.14060394715729796	0.19093698550008448	0.15814583510139962	0.16623102279492674
M.LHH.C2	0.131842855281967	0.11888298503444866	0.22070717039727342	0.09415776806206695	0.0	0.11820691095327464	0.20947503499976203	0.08865795248487267	0.0607001759313559	0.10278377744219766	0.16952419938118266	0.13683490635027115	0.13252872200855836	0.12367208106224199	0.08138217244779328	0.08729773382219097	0.10615346110845296	0.08080188313525805	0.19294611273248627	0.09558794278503652	0.13975189060079207	0.1762115477421109	0.1569146106219814	0.042210823649519905	0.11904483315581173	0.13883342627666873	0.13768790114187973	0.13489321802029838	0.11099378300835722	0.18474657096171276	0.10474000178229367	0.1510401510427493	0.1211388694837448	0.11405161087991902	0.026703000285245474	0.14717688556931394	0.1022847297431993	0.06753504720455768	0.08980197809073164	0.38309551331855246	0.12947329188137088	0.08294913730047401	0.38650355936627284	0.15661856422841727	0.17931079414166334	0.12521496658805034	0.22351168841063102	0.14384789546006102	0.11804671527215216	0.07046955468039988	0.15441353262938548	0.2357007394356964	0.11636548925548816	0.050469250334410805	0.13551596136986685	0.0994368536183278	0.07645496633903406	0.1372403816418403	0.10288561172299418	0.19883598138395764	0.12032567905577357	0.2818742272801752	0.2059912539065431	0.1654746835027634	0.12765060477994172	0.1401648640985134	0.14428997900625884	0.16776654376107616	0.15625820922450068	0.07445088299163927	0.2385653244170136	0.09630086484916371	0.11046381501628891	0.17004547333716655	0.16954064407164796	0.1441806317608317	0.0966488251851123	0.14351553928208483	0.08848715509039008	0.2820866869562901	0.12724689142473983	0.10825497004707738	0.13507868462353376	0.21503116387144436	0.13523298359392957	0.11524928115019138	0.09412342472413458	0.1761330760142334	0.13455381814373527	0.15582364664936685	0.1154530826205888	0.1759673089746439	0.16008652894744246	0.1512345024813901	0.11771288218364065
R.HHH.C1	0.1555933880209407	0.16677084304067732	0.20792606944421382	0.11156579665628762	0.11820691095327464	0.0	0.23568213737466115	0.1214410016798078	0.12768142645141725	0.053398447879348734	0.1777602391572614	0.1794831247727819	0.1509873215660571	0.14078931702514072	0.13367149660504907	0.13118184369539163	0.12696153043347744	0.10854694239739218	0.200417901585057	0.13960272797842707	0.17265746346720767	0.20251023850523112	0.18866644044791314	0.11483919913948545	0.14151818094328242	0.07634065142015675	0.09657303294709237	0.16672225290237713	0.11591857136678746	0.2121752973518851	0.13758789347074804	0.20854003768084137	0.1336782597393616	0.09987993838520572	0.11828744100875037	0.20942509463201486	0.15447337134084121	0.11888513224070867	0.12434278801670459	0.41828751778301604	0.1357044052865245	0.10117679693173653	0.44104931399075875	0.1442723812503259	0.19078447735314324	0.13479793566085665	0.19767307903704517	0.1390831895108111	0.08613709448826594	0.1442232363574235	0.1623252509687599	0.2013698559253772	0.15281573108946322	0.13668132932855342	0.19730701081493449	0.17282704512310226	0.13333976516435964	0.12242765059224867	0.16522093855273595	0.17662253173785614	0.09529069434776465	0.2884724401352411	0.23817253799121582	0.19020914630727911	0.14830483147932924	0.18460363359954146	0.15456669540151424	0.22312654111066302	0.157217537521539	0.10325667403074557	0.2738022122494081	0.09017485377218203	0.13623443392710158	0.19516656700951507	0.18249659697238657	0.18203825527265632	0.11440899187001684	0.14179792802310173	0.10753059555394776	0.32690324070510357	0.16096250238175785	0.14579032175391282	0.18356357862085246	0.2474074911055573	0.14024636721889128	0.12748897686491087	0.14554534107810507	0.17642962541204926	0.17326511313665952	0.19632894606664	0.13418383234670278	0.1646016332329568	0.21326202161381524	0.16023412792680108	0.16129707023162862
R.LLH.F1	0.1344620307035381	0.21432824316650315	0.16868834773458194	0.20420459699128418	0.20947503499976203	0.23568213737466115	0.0	0.2202271396751684	0.195338182758648	0.2425402238851237	0.20432284089992175	0.20502575431398848	0.17509387580203198	0.24104663798898415	0.21711304838216977	0.1780776552084659	0.19558178411861626	0.1984298642554296	0.1925508488622641	0.1842857806594083	0.21106215216614857	0.11560658977569012	0.09376061188140275	0.20767729122872122	0.1981444549221054	0.20579680237190065	0.20494543891717137	0.21187016589588753	0.19268067773699407	0.06790765846748284	0.1626129047417642	0.19101268073538819	0.15720105626092457	0.23453847553292562	0.20681342054882226	0.20500517404599253	0.17549120992761116	0.23688844082492774	0.1743476473126122	0.32269867266990016	0.12978992679859067	0.2241680864380359	0.31586729950760395	0.17113703050926896	0.11976265817999629	0.23797837029392088	0.12599516522353021	0.15675540837198007	0.183399670632774	0.24449129225021898	0.15596708334015325	0.11908894978341483	0.21780183285746693	0.19705100497230185	0.10956981898538536	0.18183363860487045	0.21580698407954854	0.16369944883934837	0.13644800094373938	0.12663461777965976	0.21570006919812781	0.24689185570559657	0.17457388631086349	0.11764236375717393	0.16460001325800822	0.16716693491703405	0.17386303532771152	0.16904588589250655	0.1203954906836675	0.20744788504351347	0.145711214877302	0.18078485708518754	0.18787889935256033	0.10579664689996579	0.11886995327574564	0.18739625050922512	0.1828666732937915	0.15330040816092802	0.16403756373008885	0.25124727685894366	0.21718746208439346	0.20258023127483865	0.21686677263538015	0.023556387829592743	0.13693328480266603	0.15816408167594614	0.18747418704514981	0.15080857049559168	0.15992817782180668	0.12186809109714011	0.13470211632934206	0.11245097951901295	0.14780635041699236	0.14315151660300088	0.2011312610406461
M.LLH.C2	0.13014046934945847	0.11675568740854321	0.1980404601682128	0.0964927915644445	0.08865795248487267	0.1214410016798078	0.2202271396751684	0.0	0.051053409926948706	0.10569794703974414	0.14154109312317725	0.11122470532900837	0.11441397919145979	0.08314872447988135	0.139907824398093	0.10255081026301219	0.1195024872931135	0.08765631811723995	0.14842474981971837	0.09763467590835057	0.14440777405331204	0.1924142032346107	0.17436799116166798	0.06463272066582858	0.12306828010474949	0.15317535755819417	0.12530781982298292	0.12304244213525073	0.07141846392035757	0.21794959975256253	0.11678699070484039	0.14991322832161155	0.12291937480005653	0.11809495207991583	0.09190474256064639	0.1708889997211542	0.14930927752978765	0.09687493757200029	0.09549302399403131	0.3824768795495564	0.16021906306092934	0.10922497589331823	0.4179949121700331	0.1397332312498682	0.18960069950451766	0.09303593112842942	0.19911754227539225	0.12275828218916184	0.10223930310809953	0.06646156765712699	0.13789012461863304	0.20875801675308248	0.11566513873008226	0.09569491812403347	0.17005350803621005	0.14681983951940236	0.1399661862118359	0.14377462969496552	0.1274446555032938	0.17990199070049764	0.08736220755633083	0.25290488148225926	0.1954111133393791	0.16685920980296862	0.11964565223602489	0.13536592675147371	0.11415312813597167	0.1345791087475192	0.1715478557391496	0.07006991716936928	0.20123881007796254	0.0921888845720279	0.12585797351227374	0.18602133243647065	0.18555142607948555	0.12236810279163687	0.10767353274768933	0.14588705109739344	0.09752664744082468	0.267929099702371	0.12752872664212775	0.10919439079303761	0.14226020694466407	0.23173687251532135	0.13279143355495937	0.09046484586252539	0.12160768629020378	0.21716115594724192	0.13967915846876017	0.17756538391880927	0.11569315043691902	0.1835174387613682	0.18660064567530132	0.128647097867809	0.09418724668716567
M.HLL.C2	0.14125698715732082	0.09702703043507999	0.18491543595770898	0.08022003695601385	0.0607001759313559	0.12768142645141725	0.195338182758648	0.051053409926948706	0.0	0.11108573337709146	0.15231932207037982	0.12277947198885053	0.13047580006626272	0.11650865204402347	0.09947155834923367	0.0789189324483348	0.11641339915357078	0.06912487993985883	0.15201024708328015	0.07663300683873124	0.15453741055145923	0.18003090159287705	0.15843970643144958	0.04568923147296554	0.12402596197911342	0.14652849448919855	0.13434100883141992	0.13128038390584681	0.07652825235034072	0.18513271389997304	0.095167335162168	0.1507860230865627	0.12807619590911815	0.11019766360713217	0.0645295395064383	0.15749758768451488	0.1224308195659908	0.08140595815331207	0.08339066174397952	0.36910343183298977	0.1434584571516199	0.0847600184075023	0.4016186826390061	0.1459432936371111	0.1887398157987956	0.11611159554535058	0.2078290604212553	0.1144521832577219	0.10096158397843932	0.05227048767925882	0.15546714015678897	0.20857192003779937	0.10427202608983652	0.06268638741838249	0.1328804635095365	0.1083706046853974	0.10060418609234872	0.13711467715982584	0.11612681110793414	0.17749752119630105	0.10161267882342329	0.2644124390786246	0.1913741391876813	0.16134820435692343	0.13370494837672653	0.12724762532239	0.10370734483332672	0.14151440810505012	0.14981223835329444	0.06925527567316153	0.2051891757176839	0.07715827626233086	0.12591150478719676	0.16170024302116137	0.1680877283136347	0.11818023503696097	0.10459567755262467	0.13397922477077326	0.0949494218488016	0.27270855627573226	0.14082096160327104	0.1154880665130641	0.13857763305212994	0.20575067827185675	0.12763796961517349	0.09777023176753621	0.11202716239103062	0.1902525015794086	0.12734460631808037	0.1519054748637844	0.11546264539047475	0.1660988760428123	0.14777582089785785	0.14355346226096202	0.10525026775026775
M.LHL.C1	0.1648220081622344	0.14380735935654335	0.2183022274731436	0.08187454296169477	0.10278377744219766	0.053398447879348734	0.2425402238851237	0.10569794703974414	0.11108573337709146	0.0	0.19194054426051593	0.18797767959269238	0.1510797885178205	0.12621968353272983	0.1147970782391313	0.11304148366209066	0.11371563159194817	0.07897329034595948	0.16516608357246748	0.11592883576418436	0.17068242368037154	0.21503710453805921	0.1948733190374357	0.10557589790828524	0.1477047235844722	0.09224685336203811	0.0840499247001044	0.17205163069892648	0.11253272765996197	0.22419514241780336	0.13489053375778765	0.2110761886210642	0.14529142988603722	0.09766043924834628	0.10349126664182261	0.20712628613765813	0.1644431830446549	0.0991500707599761	0.1125192633147763	0.422428263525392	0.14992150136798077	0.08785949752154255	0.44688033000979377	0.150166096884474	0.1895544452832188	0.14332970444146942	0.2103681031066448	0.15099617101011106	0.09873228223012581	0.12006836405456343	0.1717667611345067	0.22974097468380675	0.1333591539341485	0.13006300578629235	0.1962247702012417	0.14951631275821212	0.11492617048101372	0.14497871323370576	0.16389198568133262	0.1585325463190687	0.08803855492079012	0.29326472512510393	0.24220148906020886	0.1941110445631194	0.15261917541875247	0.2076868817980076	0.15145239430658516	0.19510087659478523	0.18008782499723175	0.09157928036305532	0.2808997987878882	0.10350248703949229	0.14262611384097248	0.22088517521326648	0.18561979219745606	0.1870134517401427	0.12278297643447375	0.16185154765118842	0.11439243613670405	0.3218043357563874	0.160166902552652	0.14622802703851573	0.1804408779887446	0.25406819383087603	0.1563543718674845	0.13909087497910655	0.15339731905417275	0.18415056958890538	0.16671082895176706	0.194688768324291	0.1488874188790711	0.1729272372728814	0.21297682612320645	0.1636663062133553	0.16875092053906765
