Input.1	M.LHH.C1	M.LLL.C1	M.LLH.C1	R.HHH.C1	M.LLH.F2	Input.3	M.HLH.C1	M.HHH.C3	M.LHL.C1	R.LLH.C3	M.LLH.C3	R.HLL.C1	M.LHL.C3	M.LHH.C3	M.HHH.C2	M.HHL.C3	M.HLH.C3	R.HHL.C2	M.LLH.F3	M.HLH.C2	M.HHH.C1	M.HLL.C3	M.LLL.C3	R.LHH.C3	R.LLH.C1	Input.2	M.LLH.C2	M.HHL.C1	R.LLL.C3	M.HLH.F2	R.HLH.F3	M.HLL.C1	R.LLH.C2	R.HHH.F1	R.HLH.C1	M.LHH.F1	M.LHL.C2	R.LHH.C1	R.HLH.C2	R.HLH.C3	M.LHH.C2	R.HLL.C2	R.HHL.C3	M.HLL.C2	R.HHL.C1	R.LLL.C2	R.HLL.C3	M.HHH.F2	R.LHL.C3	R.LHH.C2	M.LLL.C2	M.HHL.C2	R.LLH.F3	R.HHH.C3	M.HHH.F3	M.HLH.F3	R.LLL.C1	R.HLH.F2	M.HHH.F1	R.LHL.C1	R.HHH.C2	M.LLH.F1	R.HLH.F1	R.LLH.F1	M.LHH.F3	R.LHH.F3	M.LHL.F3	M.LLL.F3	M.LLL.F1	R.LHL.C2	R.HHL.F1	M.LLL.F2	M.HLH.F1	M.LHL.F1	M.HLL.F2	M.HLL.F1	R.HLL.F2	M.HLL.F3	R.LHL.F1	M.HHL.F3	R.LLL.F3	R.HLL.F3	M.HHL.F2	M.LHL.F2	R.LHL.F3	R.HHL.F3
Input.1	0.0	0.0648978552089	0.0725952599034	0.0724365983093	0.065737582639	0.260998599506	0.0831706696088	0.0674831474698	0.0655383178078	0.0778867607259	0.0654053478748	0.0807262060332	0.269876090664	0.0742513891127	0.0671979863669	0.0400591056832	0.0729359423356	0.0815736830407	0.288666003114	0.229174917694	0.0583088871945	0.0756563869138	0.0744263608728	0.0803846395575	0.0719634140259	0.0561566177215	0.0340866505864	0.034379174768	0.0690786456791	0.150079783288	0.205316920947	0.409520793682	0.0725853616087	0.0368475821841	0.499382622382	0.0530102287038	0.0457333405944	0.0308299446604	0.0594159575742	0.0455497599304	0.109874123416	0.0329440098182	0.0551992676413	0.292319436257	0.199523604132	0.0881498426007	0.421538056667	0.248954633591	0.240364794895	0.0984562411185	0.435841038099	0.0568733818726	0.0252806249422	0.0672713568612	0.0940955189597	0.087866033435	0.0956736193867	0.110617370686	0.333574415607	0.207994612326	0.312676130451	0.111659213933	0.147447271323	0.443785867294	0.448841879068	0.131857486184	0.344088749763	0.466869890714	0.496502650607	0.262562305944	0.476310748626	0.160424549812	0.16952267061	0.0549917212482	0.0942331075213	0.150401987058	0.207433535338	0.331025924164	0.0879634985378	0.384530220639	0.104016360434	0.0797890958099	0.0731203266492	0.493261586784	0.418244655151	0.111389196188	0.465062780327
M.LHH.C1	0.0648978552089	0.0	0.0151611293362	0.033219092248	0.0525279416091	0.259158911137	0.103189201859	0.0130802604557	0.085051077435	0.0216432451786	0.0708902561643	0.0717703852505	0.239247186849	0.0560237977194	0.0692845156047	0.0343931572645	0.0850326049844	0.101549268631	0.331311485547	0.185148158581	0.0300235414646	0.0161477783437	0.0942201006488	0.0860452910876	0.038920546033	0.0754247404309	0.0311577432863	0.0404041752316	0.0112293699721	0.171873424957	0.194255647778	0.44480249698	0.0398220124726	0.0284230411184	0.521198206233	0.0333564481667	0.0604670764577	0.0605130606709	0.0400660384956	0.0689567143944	0.110076091474	0.0345251172934	0.0437108705003	0.2849249608	0.180899491468	0.0706803216224	0.481834237005	0.23571975515	0.202108205934	0.0771291400854	0.495454992528	0.07347450288	0.0491697019569	0.0573251676937	0.114742906237	0.0698561012579	0.116434882828	0.120308357014	0.343667667826	0.231559647691	0.25528038413	0.130229847879	0.133244318123	0.462388229758	0.469490444521	0.116261900609	0.355327784812	0.469939057338	0.501287059263	0.267784833934	0.490212591767	0.180789785176	0.232156417579	0.0446032491644	0.11470283393	0.169968710032	0.245413363533	0.382616416885	0.0864005590694	0.396086751769	0.112986559476	0.110472149014	0.103632365968	0.497869900315	0.478691738295	0.14592927535	0.468019673864
M.LLL.C1	0.0725952599034	0.0151611293362	0.0	0.0349336941205	0.0667004431148	0.260603361533	0.106918702732	0.0212267185865	0.0888932987291	0.00652680524563	0.0748153681065	0.0756844053837	0.243778072362	0.0600354718692	0.0732174854093	0.0393819710366	0.0888705782366	0.105289168197	0.339041688521	0.20093998272	0.0150501558577	0.0178991364218	0.0980093734012	0.0898742722351	0.043418632418	0.0793354347255	0.0391863668501	0.0486931295229	0.00392114674578	0.175217266759	0.190265507723	0.454521399288	0.0249808936395	0.0364791217089	0.536706125443	0.0315819342128	0.0644613492752	0.0682335520357	0.0538398586665	0.0767547333185	0.113817589235	0.0429386234315	0.0419327787868	0.289159750666	0.190396753547	0.0750082747099	0.490811293926	0.240290852549	0.206950095205	0.0806069023075	0.504162545791	0.0716850679293	0.0574334485889	0.0719847530937	0.118462671085	0.0805116445815	0.120157243033	0.128341900705	0.360785968969	0.247336193125	0.245401726762	0.12840732531	0.13739511241	0.480445655913	0.486811506845	0.120610513988	0.371713895666	0.474480512283	0.505480979853	0.28440685181	0.507264224343	0.188075822847	0.238400555678	0.0486913342771	0.118389489191	0.168152681716	0.2599172579	0.391368378243	0.0902665499993	0.40862426078	0.111139940857	0.118465759731	0.111686685337	0.502101223896	0.48773122982	0.159502932542	0.472582729319
M.LLH.C1	0.0724365983093	0.033219092248	0.0349336941205	0.0	0.047521329271	0.223910237315	0.10523403298	0.02079144574	0.0868607109209	0.0386720384439	0.0725059316466	0.0733957936726	0.262391386965	0.0574287959757	0.0708771553745	0.0670325543934	0.0868399027277	0.103573441113	0.359642654256	0.186985447744	0.0491585437089	0.0173308539551	0.0961522116905	0.0878647105799	0.0619751508075	0.0771085400097	0.0413115097725	0.0711258497222	0.0351860020172	0.174732007046	0.211471108986	0.484109138982	0.0590639678154	0.0359611156436	0.538395621317	0.0660261292401	0.0619389428997	0.0679978680118	0.0726473002342	0.0766147394212	0.112239291044	0.0587449456147	0.076202469522	0.307839672921	0.211617385345	0.0905295066608	0.519181143994	0.258966850362	0.225704470656	0.0784183123783	0.532056834784	0.10550072259	0.0733576716495	0.0710639559137	0.11696903631	0.0880393820522	0.118690157725	0.144851002658	0.365540279666	0.22590295935	0.252207718322	0.161667676985	0.151657853498	0.482374701067	0.487512205241	0.135134763873	0.371030666543	0.501055430144	0.531123665133	0.281969873582	0.510667492463	0.204237230623	0.24073281194	0.045844811154	0.116908167832	0.20054547412	0.24118109307	0.416172546578	0.0882436970212	0.407813631915	0.145197760576	0.134675703334	0.127873013153	0.527849497157	0.516208692979	0.139826422372	0.499212069002
R.HHH.C1	0.065737582639	0.0525279416091	0.0667004431148	0.047521329271	0.0	0.240603923205	0.0607953272266	0.0469892023193	0.0650656008605	0.0727222714794	0.0717224860793	0.0480655937766	0.273926827924	0.0479413145601	0.0563049590429	0.0834567105279	0.0562168978562	0.062943255814	0.362347425557	0.204703466208	0.0803747110974	0.0541869771818	0.0829326652334	0.0603982406715	0.0787216684622	0.0559590868663	0.058420918186	0.0873132365763	0.0629969484534	0.130527166696	0.23679783751	0.48042130997	0.0893864542667	0.0533575365524	0.535283782938	0.082517649999	0.0503797900928	0.0343516813088	0.0888544153677	0.08355248965	0.127874990496	0.0757024298751	0.0920801508273	0.316731441762	0.222569697564	0.106132714456	0.513840294983	0.270752292506	0.239689696528	0.0437637455725	0.526175160508	0.119689241309	0.0894331464965	0.0873683093137	0.109045391578	0.106366916079	0.107619406709	0.156955628231	0.368510273565	0.166742401967	0.291448615993	0.17294258784	0.166513088291	0.482175932619	0.487018337262	0.151295714709	0.376841913628	0.500670747666	0.529159960328	0.292280839338	0.509756929238	0.213002817435	0.193873178626	0.0494988390296	0.111445289744	0.209801499526	0.208101832486	0.416372761397	0.105842820577	0.410786289709	0.157526806472	0.147136155732	0.140702610761	0.526048298522	0.510997754464	0.129226687412	0.498930496299
M.LLH.F2	0.260998599506	0.259158911137	0.260603361533	0.223910237315	0.240603923205	0.0	0.292593649271	0.246984023198	0.275494914074	0.26399370781	0.263622183627	0.262208228538	0.554147101089	0.247048122	0.260031650578	0.290173175661	0.275218292314	0.291069350754	0.316245763178	0.491523201331	0.273549711488	0.244446725167	0.284408268964	0.27601808553	0.285787328532	0.266839292392	0.26108024282	0.294095367707	0.260867381785	0.357979795163	0.518264668223	0.455995845793	0.282526655067	0.255589143721	0.51978528092	0.289358604113	0.251928296702	0.259386822729	0.297396856582	0.270245686556	0.326469904149	0.283042133695	0.298645390885	0.593547934638	0.517923553412	0.313277481194	0.501660802598	0.552526373719	0.526838786857	0.266767419812	0.518035400547	0.325726758301	0.296518441917	0.297140308207	0.30719261077	0.313363618227	0.309582422147	0.367749846331	0.494933710153	0.484589298956	0.531567269289	0.379961341525	0.37751505452	0.446543973986	0.453221976361	0.368527776465	0.503589403377	0.904507167521	0.911591617289	0.559477800192	0.906794951446	0.381117760743	0.39064983528	0.242308251052	0.30509721841	0.41364972002	0.480745238867	0.377171905831	0.304112053739	0.371562007318	0.369038182961	0.356704507455	0.334128002934	0.910830385168	0.4978513107	0.280673155894	0.904065909519
Input.3	0.0831706696088	0.103189201859	0.106918702732	0.10523403298	0.0607953272266	0.292593649271	0.0	0.107520000412	0.0190881315873	0.103519125849	0.0349486007058	0.0320600272851	0.229657147788	0.0481584028607	0.0346922870851	0.108618181728	0.0186041210522	0.0155424994833	0.364675301505	0.252209495776	0.118883487108	0.110320054785	0.0341624116998	0.0279871460585	0.0663436789558	0.0419689427637	0.098066324241	0.107685149626	0.106680530416	0.074732342315	0.293298512926	0.475852701479	0.103223008962	0.0951002506266	0.515573789344	0.0871331125115	0.0438677731082	0.0820752780757	0.0952065166827	0.099636383166	0.0771304364334	0.0994671093298	0.0791880584731	0.250358045493	0.278131304174	0.0652027843896	0.507547604559	0.207072301531	0.213137214241	0.0385875298429	0.519312116677	0.107786224565	0.10423782494	0.102991356203	0.0593581812375	0.0982286232309	0.0579261358252	0.169389237436	0.370939839532	0.188178557071	0.27218100366	0.131702200266	0.124506404121	0.469489200689	0.468477136224	0.127331973936	0.366084208103	0.411362598294	0.442959860751	0.286729142778	0.488873317195	0.221961785454	0.190942300341	0.0599246593022	0.0749355399512	0.168620992534	0.206165447921	0.415935926529	0.0556159207901	0.400728825755	0.149237043659	0.159965000054	0.153917660744	0.439497726959	0.504841564984	0.132533750479	0.409439798373
M.HLH.C1	0.0674831474698	0.0130802604557	0.0212267185865	0.02079144574	0.0469892023193	0.246984023198	0.107520000412	0.0	0.0892701099204	0.0276885353247	0.0750099275886	0.0758900500244	0.247486193048	0.0600330859098	0.0733909581742	0.0474256523076	0.0892466654241	0.105870605174	0.338252710212	0.179203576346	0.0361558359943	0.00847678460309	0.0985014610364	0.0902628200089	0.0440157113302	0.0795898866386	0.033441344464	0.0515696610936	0.0173681376697	0.176594602883	0.193056106926	0.455538882107	0.0460086469088	0.0306811814286	0.52098487653	0.046395654545	0.0645186525995	0.0630540273063	0.0529741177429	0.0716068538409	0.114512567219	0.0389746523126	0.0567319994684	0.293367498957	0.187073637489	0.0760117014792	0.49235930668	0.243972060835	0.210253419506	0.0808763197846	0.505883941879	0.0864563842808	0.0538080542127	0.0534359488635	0.119215354811	0.0753400705169	0.120933092552	0.124754135793	0.342480392599	0.22755751529	0.256455292939	0.143237454139	0.139207861125	0.462905459163	0.468479986912	0.122265259564	0.353725725732	0.482717640793	0.513729762524	0.265623022744	0.49262920377	0.185507481508	0.235932568182	0.0485336123062	0.119134433989	0.182792879862	0.243106943559	0.391279042478	0.0906641683604	0.394585576474	0.126232403665	0.114774431906	0.107883269862	0.510351815571	0.489237580961	0.141588192696	0.480817082748
M.HHH.C3	0.0655383178078	0.085051077435	0.0888932987291	0.0868607109209	0.0650656008605	0.275494914074	0.0190881315873	0.0892701099204	0.0	0.0854909055665	0.0187293317082	0.0178500732412	0.215600368971	0.0295459371039	0.016042382475	0.0911535778768	0.00931752577572	0.0169965025248	0.351832058561	0.23457834766	0.101342776436	0.092063307865	0.0178749349214	0.0174060037959	0.0479454743205	0.0230959667202	0.0801721115538	0.0902587786451	0.0886525742446	0.0892261618124	0.27709578587	0.46226542808	0.0855416114993	0.0771016211739	0.504032044608	0.0692227490661	0.0252065011982	0.0732796664616	0.0770771831555	0.081841314478	0.0617169631589	0.0816561008221	0.0612954296873	0.236854837409	0.261570915421	0.0492275947997	0.49554905115	0.192373207319	0.195176930245	0.0363684675398	0.507877557883	0.0905522868784	0.0864388266822	0.0849084619114	0.0436583972639	0.079939687383	0.0421753928597	0.152974616868	0.355567566907	0.194783472883	0.258627815366	0.117872708575	0.107410348411	0.45557074839	0.454596611967	0.109665486539	0.350706390897	0.399448495696	0.432436955703	0.26994364599	0.476032759992	0.207711970526	0.208565266052	0.0413185935579	0.0573403978195	0.156014995599	0.191422205719	0.402464021404	0.0391011213809	0.389333566572	0.132983772327	0.143485184715	0.1372304853	0.428826644932	0.492711317071	0.115551941751	0.39743821608
M.LHL.C1	0.0778867607259	0.0216432451786	0.00652680524563	0.0386720384439	0.0727222714794	0.26399370781	0.103519125849	0.0276885353247	0.0854909055665	0.0	0.0714179028213	0.0722917235799	0.239281627691	0.0566458353261	0.0698220443584	0.0449729496529	0.0854720493206	0.101888985907	0.3435229373	0.207618117683	0.019743265771	0.0217021330152	0.0946042870609	0.0864781981239	0.0401335194318	0.0819709456153	0.0447823623067	0.0542301133913	0.0104318795381	0.171823754536	0.196207285904	0.459765754248	0.0207551975122	0.0421004354938	0.541705073828	0.0277695550951	0.0696801190107	0.0735507227422	0.0599753144077	0.0826479754876	0.110369607892	0.0485719703541	0.0381206668312	0.284670845456	0.196341290475	0.0716822520408	0.495542682996	0.235777749105	0.202399765145	0.0772165105169	0.508711070361	0.0680759428042	0.0629332428175	0.0780900256867	0.115009325287	0.0866069996644	0.116692240594	0.133524745014	0.366886763304	0.253442306635	0.237771108758	0.124561190247	0.133878441486	0.486404261034	0.492590976343	0.118042711514	0.37761669384	0.468253631514	0.499480012844	0.290602677415	0.512790664755	0.192648827602	0.24237891485	0.0511143586887	0.114967106714	0.164344377266	0.265494755946	0.396285105143	0.0868356815331	0.413039768516	0.113112400149	0.123646162346	0.116922161543	0.496074769963	0.492505252263	0.165013029768	0.466342591725
