lab	hl
NC	0.12
NC	0.13
NC	0.14
NC	0.12
NC	0.14
NC	0.11
NC	0.14
NC	0.17
NC	0.2
NC	0.18
NC	0.17
NC	0.16
NC	0.18
NC	0.2
NC	0.14
NC	0.2
NC	0.25
NC	0.26
NC	0.21
NC	0.22
NC	0.27
NC	0.14
NC	0.21
NC	0.11
NC	0.13
NC	0.18
NC	0.16
NC	0.19
NC	0.17
NC	0.16
NC	0.15
NC	0.18
NC	0.19
NC	0.17
NC	0.18
NC	0.19
NC	0.18
NC	0.09
NC	0.11
NC	0.16
NC	0.25
NC	0.19
NC	0.21
NC	0.09
NC	0.14
NC	0.13
NC	0.16
NC	0.21
NC	0.17
NC	0.19
NC	0.14
NC	0.17
NC	0.2
NC	0.17
NC	0.13
NC	0.13
NC	0.14
NC	0.16
NC	0.14
NC	0.15
NC	0.19
NC	0.15
NC	0.2
NC	0.2
NC	0.21
NC	0.14
NC	0.17
NC	0.23
NC	0.14
NC	0.07
NC	0.13
NC	0.17
NC	0.13
NC	0.18
NC	0.17
NC	0.17
NC	0.14
NC	0.14
NC	0.13
NC	0.12
NC	0.1
NC	0.12
NC	0.13
NC	0.11
NC	0.19
NC	0.11
NC	0.16
NC	0.15
NC	0.14
NC	0.19
NC	0.21
NC	0.16
NC	0.14
NC	0.06
NC	0.19
NC	0.18
NC	0.18
NC	0.13
NC	0.2
NC	0.2
NC	0.21
NC	0.18
NC	0.1
NC	0.1
NC	0.17
NC	0.23
NC	0.24
NC	0.24
NC	0.15
NC	0.17
NC	0.26
NC	0.26
NC	0.15
NC	0.17
NC	0.2
NC	0.21
NC	0.22
NC	0.2
NC	0.14
NC	0.14
LP	0.4
LP	0.27
LP	0.36
LP	0.33
LP	0.47
LP	0.46
LP	0.48
LP	0.6
LP	0.4
LP	0.5
LP	0.32
LP	0.39
LP	0.4
LP	0.57
LP	0.47
LP	0.6
LP	0.48
LP	0.52
LP	0.66
LP	0.58
LP	0.44
LP	0.48
LP	0.5
LP	0.5
LP	0.53
LP	0.64
LP	0.52
LP	0.48
LP	0.47
LP	0.49
LP	0.4
LP	0.35
LP	0.5
LP	0.51
LP	0.49
LP	0.56
LP	0.43
LP	0.47
LP	0.51
LP	0.5
LP	0.43
LP	0.48
LP	0.36
LP	0.46
LP	0.47
LP	0.52
LP	0.5
LP	0.55
LP	0.54
LP	0.51
LP	0.43
LP	0.57
LP	0.41
LP	0.58
LP	0.46
LP	0.44
LP	0.46
LP	0.5
LP	0.62
LP	0.45
LP	0.41
LP	0.51
LP	0.46
LP	0.54
LP	0.45
LP	0.45
LP	0.67
LP	0.43
LP	0.49
LP	0.46
LP	0.52
LP	0.44
LP	0.31
LP	0.4
LP	0.47
LP	0.5
LP	0.37
LP	0.53
LP	0.46
LP	0.41
LP	0.51
LP	0.58
LP	0.44
LP	0.45
LP	0.48
LP	0.42
LP	0.47
LP	0.57
LP	0.51
LP	0.45
LP	0.41
LP	0.5
LP	0.41
LP	0.31
LP	0.33
LP	0.47
LP	0.49
LP	0.47
LP	0.35
LP	0.41
LP	0.64
LP	0.48
LP	0.43
LP	0.6
LP	0.45
LP	0.5
LP	0.38
LP	0.37
LP	0.43
LP	0.43
LP	0.47
LP	0.47
LP	0.55
LP	0.6
LP	0.49
LP	0.44
LP	0.62
LP	0.49
LP	0.57
LP	0.58
