condition	rd_nm	PFD_RtoFR	PFD_R	PFD_FR	rp_nm	rpV	PPFD	PFD_B	PFD_G	PFD_R	PFD	PFD_UV	PFD_FR
NC	574	9.468	23.84	2.518	545	332.3	74.92	18.92	32.5	23.84	77.49	0.1568	2.518
NC	574	9.408	22.9	2.434	545	319.9	74.25	17.9	31.29	22.9	74.25	0.1484	2.434
NC	574	9.345	22.26	2.382	545	315.1	70.62	17.9	30.79	22.26	73.06	0.1485	2.382
NC	574	9.298	22.29	2.397	545	315.2	70.58	17.81	30.81	22.29	73.03	0.1439	2.397
NC	574	9.445	22.35	2.366	545	314.2	70.18	17.44	30.71	22.35	72.6	0.148	2.366
NC	573	9.519	22.08	2.32	545	317	70.1	17.44	30.89	22.08	72.47	0.14	2.32
NC	574	9.418	21.98	2.334	545	308.3	69.25	17.42	30.16	21.98	71.63	0.1385	2.334
NC	574	9.17	21.12	2.303	545	297.6	66.365	16.72	29.12	21.12	69	0.1338	2.303
NC	574	9.014	20.95	2.324	545	294.2	65.95	16.51	28.79	20.95	68.32	0.1327	2.324
NC	575	9.348	20.61	2.205	545	278.3	63.41	15.76	27.34	20.61	65.66	0.1252	2.205
NC	573	8.951	19.95	2.228	545	284.1	63.37	15.95	27.76	19.95	65.64	0.1219	2.228
NC	573	9.006	19.97	2.218	545	284.3	63.3	15.84	27.78	19.97	65.55	0.117	2.218
NC	574	9.348	20.04	2.143	545	282.8	63.14	15.78	27.61	20.04	65.33	0.1325	2.143
NC	574	9.24	19.84	2.147	545	276.6	62.19	15.55	27.08	19.84	64.37	0.1186	2.147
NC	575	9.107	19.88	2.183	545	272.1	61.76	15.47	26.69	19.88	63.98	0.1217	2.183
NC	574	9.548	19.69	2.062	545	278.8	61.66	15.03	27.22	19.69	63.77	0.124	2.062
NC	575	9.115	19.79	2.171	545	271.3	61.48	15.36	26.61	19.79	63.69	0.118	2.171
NC	574	9.25	19.77	2.138	545	273.3	61.46	15.2	26.76	19.77	63.63	0.1188	2.138
NC	574	9.391	19.18	2.042	545	267.1	59.76	14.7	26.15	19.18	61.84	0.1218	2.042
NC	574	9.061	18.62	2.055	545	259.6	58.11	14.36	25.4	18.62	60.2	0.1099	2.055
NC	575	9.222	18.82	2.041	545	256.2	58.09	14.41	25.13	18.82	60.17	0.1102	2.041
NC	575	9.1	18.51	2.034	545	253.7	57.31	14.19	24.88	18.51	59.38	0.1063	2.034
NC	574	9.398	18.33	1.951	545	254.3	56.78	13.81	24.89	18.33	58.77	0.113	1.951
NC	575	8.969	18.22	2.032	545	248.1	56.31	14	24.35	18.22	58.37	0.1048	2.032
NC	576	9.146	18.32	2.003	545	242.9	55.66	13.71	23.88	18.32	57.69	0.1066	2.003
NC	575	9.16	18.09	1.974	545	244.3	55.49	13.67	23.99	18.09	57.5	0.109	1.974
NC	575	9.207	18.08	1.963	545	244.5	55.43	13.61	23.99	18.08	57.43	0.1062	1.963
