lab	light	cs	description	rep	lab1
NC-BFO	NC	2.133	germfree	1	A
NC-BFO	NC	2.172	germfree	1	A
NC-BFO	NC	2.219	germfree	1	A
NC-BFO	NC	2.484	germfree	1	A
NC-BFO	NC	2.506	germfree	1	A
NC-BFO	NC	2.672	germfree	1	A
NC-BFO	NC	3.087	germfree	1	A
NC-BFO	NC	3.190	germfree	1	A
NC-BFO	NC	3.256	germfree	1	A
NC-BFO	NC	3.269	germfree	1	A
NC-BFO	NC	2.669	germfree	1	A
NC-BFO	NC	3.283	germfree	1	A
NC-BFO	NC	2.783	germfree	1	A
NC-BFO	NC	3.412	germfree	1	A
NC-BFO	NC	3.512	germfree	1	A
NC-BFO	NC	2.719	germfree	1	A
NC-BFO	NC	4.133	germfree	1	A
NC-BFO	NC	4.169	germfree	1	A
NC-BFO	NC	2.810	germfree	2	A
NC-BFO	NC	3.010	germfree	2	A
NC-BFO	NC	3.126	germfree	2	A
NC-BFO	NC	2.826	germfree	2	A
NC-BFO	NC	3.160	germfree	2	A
NC-BFO	NC	3.219	germfree	2	A
NC-BFO	NC	3.234	germfree	2	A
NC-BFO	NC	3.240	germfree	2	A
NC-BFO	NC	3.319	germfree	2	A
NC-BFO	NC	3.423	germfree	2	A
NC-BFO	NC	3.455	germfree	2	A
NC-BFO	NC	3.529	germfree	2	A
NC-BFO	NC	3.587	germfree	2	A
NC-BFO	NC	3.640	germfree	2	A
NC-BFO	NC	3.660	germfree	2	A
NC-BFO	NC	3.810	germfree	2	A
NC-BFO	NC	2.822	germfree	2	A
NC-BFO	NC	4.123	germfree	2	A
NC-BFO	NC	2.229	germfree	3	A
NC-BFO	NC	2.586	germfree	3	A
NC-BFO	NC	2.912	germfree	3	A
NC-BFO	NC	3.046	germfree	3	A
NC-BFO	NC	3.067	germfree	3	A
NC-BFO	NC	3.088	germfree	3	A
NC-BFO	NC	3.124	germfree	3	A
NC-BFO	NC	3.141	germfree	3	A
NC-BFO	NC	3.227	germfree	3	A
NC-BFO	NC	3.263	germfree	3	A
NC-BFO	NC	3.332	germfree	3	A
NC-BFO	NC	2.410	germfree	3	A
NC-BFO	NC	3.449	germfree	3	A
NC-BFO	NC	3.462	germfree	3	A
NC-BFO	NC	3.562	germfree	3	A
NC-BFO	NC	3.572	germfree	3	A
NC-BFO	NC	3.739	germfree	3	A
NC-BFO	NC	3.776	germfree	3	A
NC-BFO	NC	3.988	germfree	3	A
NC+HK	NC	2.644	heatkilled_soilwashes	1	B
NC+HK	NC	2.673	heatkilled_soilwashes	1	B
NC+HK	NC	3.010	heatkilled_soilwashes	1	B
NC+HK	NC	3.019	heatkilled_soilwashes	1	B
NC+HK	NC	3.029	heatkilled_soilwashes	1	B
NC+HK	NC	3.121	heatkilled_soilwashes	1	B
NC+HK	NC	3.123	heatkilled_soilwashes	1	B
NC+HK	NC	3.126	heatkilled_soilwashes	1	B
NC+HK	NC	3.160	heatkilled_soilwashes	1	B
NC+HK	NC	3.222	heatkilled_soilwashes	1	B
NC+HK	NC	3.234	heatkilled_soilwashes	1	B
NC+HK	NC	3.240	heatkilled_soilwashes	1	B
NC+HK	NC	3.240	heatkilled_soilwashes	1	B
NC+HK	NC	3.310	heatkilled_soilwashes	1	B
NC+HK	NC	3.523	heatkilled_soilwashes	1	B
NC+HK	NC	3.579	heatkilled_soilwashes	1	B
NC+HK	NC	4.010	heatkilled_soilwashes	1	B
NC+HK	NC	4.019	heatkilled_soilwashes	1	B
NC+HK	NC	2.231	heatkilled_soilwashes	2	B
NC+HK	NC	2.686	heatkilled_soilwashes	2	B
NC+HK	NC	2.781	heatkilled_soilwashes	2	B
