NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3	H2O_2	H2O_3	H2O_1
Zotu3	1785	2428	40	8	60	2654	1915	84	229	279	0	4752	4100	3071	1753	36	3571	3850	1820	1480	2119	2679	427	14	6186	1453	2620	2616	2119	45	2426	267	1955	6783	0	36	39	113	38	28	5063	32	29	30	66	3651	184	242	2076	340	5	3062	2446	11	1507	11	13	101	2326	8	3459	3132	2154	7	3256	186	0	107	8	26	5	2649	6	0	0	1	0	22	1551	0	1376	0	0	1	0	0	0	0	0	0
Zotu1285	41	21	0	0	0	3	3	0	0	0	0	0	2	14	20	0	18	2	5	27	6	0	0	0	12	0	40	4	68	0	24	0	9	11	0	0	0	0	0	0	5	0	2	0	0	0	0	0	29	0	0	21	5	0	11	0	0	0	0	0	15	3	74	0	5	0	0	0	0	0	0	8	0	0	0	0	0	0	58	0	1	1	0	0	0	0	0	0	0	0
Zotu2	5599	4497	499	1475	3213	5798	3500	546	6136	6899	0	11170	5461	6960	8318	3096	9169	9354	3336	4708	1432	2333	4782	2540	4669	2957	12786	3408	3817	1146	10899	3658	1301	5677	0	3170	3340	3823	2310	622	7037	989	4402	2842	572	2971	5034	5906	6012	4623	1620	5201	3038	2164	3003	1534	2080	620	1944	2126	8427	4377	3885	1516	2544	5287	2	675	2077	982	1173	1650	1156	0	0	1	1	22	2623	1	1855	4	1	1	0	0	1	0	0	0
Zotu787	0	0	6	53	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	65	44	0	0	0	0	0	2	0	53	0	0	0	84	90	0	0	0	0	7	84	64	0	0	0	0	0	54	23	0	0	36	0	24	76	0	0	37	0	0	0	24	0	0	0	0	28	0	19	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	2335	6219	2632	49	1198	3019	1835	310	785	2338	1	5361	3612	2084	1780	1099	2647	4686	1657	1870	1723	2180	55	46	6793	1340	2805	2038	2715	870	2209	30	1552	8745	3	97	102	1547	841	3285	4099	884	94	86	3336	2930	655	2098	2352	48	27	7433	1893	41	4068	177	93	294	1899	31	2447	2916	2837	87	4423	645	4	337	53	811	133	2058	129	4	0	0	1	43	2224	0	1207	2	1	1	1	1	0	0	0	0
Zotu77	385	216	3	6	22	502	201	0	4	54	2	948	180	246	293	27	273	727	169	306	81	76	5	4	223	162	487	96	142	10	359	4	59	272	0	4	6	31	18	1	252	9	35	6	5	119	9	70	404	5	5	202	93	21	144	4	5	4	77	11	308	146	192	6	125	1	3	3	27	11	2	85	4	0	0	0	0	1	136	1	59	1	0	5	0	0	0	0	0	0
Zotu7	1079	1592	20	2	1417	2787	1120	4	391	3047	0	5035	1130	3463	2802	1437	4530	4388	1036	870	1673	578	0	42	2878	880	4532	1471	1370	26	3571	5	1627	3855	0	4	3	1837	1043	32	1423	39	14	9	20	949	350	2701	1058	2	24	1756	1431	4	966	7	7	5	617	24	4246	1016	1544	6	1919	389	0	7	9	23	2	2219	5	0	0	0	1	11	1125	1	926	0	0	0	0	0	0	0	0	0
Zotu18	16	1	465	1117	301	60	0	562	184	428	0	120	0	15	2	252	18	71	1	13	7	0	1005	703	8	0	4	10	8	1503	2	778	4	8	0	1158	1323	177	190	486	2	1290	1584	936	617	1	160	368	6	937	395	2	2	797	1	563	1157	650	2	612	20	0	9	677	1	197	0	611	747	1321	477	8	467	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
Zotu20	1133	789	37	280	161	1492	865	46	945	116	0	2762	1055	1423	2208	155	1868	2295	826	925	117	164	580	464	306	678	3397	386	590	294	2992	475	151	393	0	576	657	61	108	51	1437	288	754	478	64	233	777	109	1267	605	238	993	337	334	555	231	312	59	124	357	1723	899	606	208	163	720	0	49	331	280	180	216	180	0	0	0	0	1	422	0	207	0	0	0	0	0	0	0	0	0
Zotu11	1317	271	0	0	0	3647	1644	0	1	4	0	6652	584	150	1074	0	173	5218	1472	1091	120	286	0	0	1003	1432	1559	495	951	0	1295	0	108	1262	0	0	2	0	1	0	726	0	0	1	0	408	0	0	1370	2	1	285	444	1	176	2	0	0	281	0	172	550	988	4	620	0	0	0	0	0	0	162	1	0	0	0	0	12	698	0	262	0	0	0	0	0	0	0	0	0
