NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3
NC_SF_M5	0.0	0.34300418125122845	0.7256176457080692	0.7920089947102732	0.6381629079040675	0.2998957925258198	0.3089727924692522	0.729991933857163	0.660128496274462	0.6189405923843979	0.9397554878158936	0.3076640412754725	0.3476050302833964	0.2730834332308918	0.27482428052378644	0.6438010386943721	0.27560192929806954	0.2992825729907451	0.3126584192260782	0.15941884693289213	0.35266950078118436	0.3539471236013706	0.7619509976804952	0.7732485142351114	0.32329229490018924	0.3218482215380923	0.2722462561710909	0.3320516315476687	0.27361803118531575	0.7199432029094832	0.271192097005705	0.7591414552520661	0.35563577176549316	0.31876828424167897	0.9386827145678637	0.7814802675968687	0.7767494243784705	0.6294739211409074	0.6436352164116999	0.7214087116529996	0.3420432940071347	0.716496880184614	0.7646258552818739	0.7770314979715283	0.7194397653667737	0.3443615986257347	0.6706682097793303	0.6218279792887577	0.14378609266499318	0.758283985490861	0.7825419931610128	0.340342638511399	0.33802596414613	0.7687650142910918	0.3556729117817538	0.7980458377521843	0.7917888425037456	0.7347797416124142	0.3715148147321412	0.7793584065646028	0.2771310930887105	0.3634140247894228	0.27949882248019536	0.7881040366416963	0.3307814757464637	0.6629936491013746	0.935866808597766	0.7351030330888031	0.7662376468724807	0.7218957861489	0.7981182098649843	0.33350717644845523	0.7976421303547769	0.9300036093345868	0.9497035737836358	0.9605493797686043	0.9358130045975914	0.6933195010678942	0.3033363381659832	0.9407058503322272	0.35924725360627996	0.9256191247569487	0.9539115763054073	0.8923633475265307	0.9462074352788004	0.939077672236025	0.9670854394087759
NC_SF_R7	0.34300418125122845	0.0	0.6996845340763604	0.8154292513643967	0.5976588666670599	0.3731778894145651	0.3351626644071787	0.7122837217546912	0.6272957590548163	0.584795315476122	0.9511144173891146	0.3859191470234393	0.26231875029198365	0.359084582045532	0.31741959314954254	0.5989839537812394	0.3585772448096847	0.3781717564159697	0.3365682278603832	0.3394460266765503	0.265163733767408	0.2858848606719967	0.7800651627027283	0.7939014157911269	0.25957140341906004	0.3380498362325324	0.3113061615896789	0.2773684120331195	0.3472816222385702	0.7043777512359896	0.3076740144538941	0.78034338996605	0.2585299361773893	0.25995832466189744	0.947389726269576	0.8044755714986137	0.8008430542253353	0.5943399012747919	0.6032218496212184	0.6982341412677956	0.2590372980129233	0.7033078238103293	0.7857307517948483	0.7991964003893736	0.6976244614106046	0.2773141770283816	0.638187282585598	0.5882656574883979	0.34225249013680525	0.7777585298977815	0.8038102491997358	0.15450751149700456	0.2790318411654193	0.7908632369310502	0.17774046317400588	0.8194524005930183	0.8147129974805171	0.7151730430358508	0.29759433416983955	0.8017951637521964	0.3542138317133236	0.27759405440679225	0.33775381135836086	0.808448395380037	0.25933206534423986	0.6332339004270114	0.9428243955412312	0.7119877178343305	0.7869164457892236	0.7042846128249085	0.8177971678512819	0.253425496483145	0.8186262226781874	0.938814570550547	0.957186450304899	0.9714106066383011	0.937849092991723	0.6783722736283988	0.34216931066741074	0.9513111937064492	0.28976485638776417	0.912742565340021	0.9525356469466455	0.8820878447915944	0.9497279507397501	0.9465998932373975	0.9608152924423018
LP_CAS_R2	0.7256176457080692	0.6996845340763604	0.0	0.5389029963843484	0.4050965568948092	0.6789400180332598	0.7560391615829564	0.33166156201655234	0.4132013382639375	0.4235565282625237	0.9530561103558622	0.6882641826497016	0.7389681150236873	0.736043723912538	0.7424800315268942	0.4006021600436507	0.735079617942136	0.6854027104288519	0.7571887086778937	0.7273358506006871	0.7047070374449943	0.7139106255293513	0.5109004976598049	0.5143003606881228	0.6907634667680909	0.7539547334361839	0.7409305812788195	0.7211612278501217	0.7483284236279777	0.33478499705769094	0.737708100267231	0.5140134020253647	0.7001783656105304	0.6909804880979461	0.9566838923401374	0.5320159911067618	0.5307320137391143	0.44218182686570756	0.4082200933500726	0.22710897794532323	0.734270132129024	0.34034304485364797	0.5192424427557282	0.5240052729613728	0.21438437682849526	0.7115625791331462	0.41734380599239473	0.42992043644662586	0.7261479407489555	0.516156529348185	0.5070287883541498	0.6960333249769216	0.7185753807687457	0.5204945594525515	0.6995827863553413	0.5285598800484753	0.5401164421371017	0.3262951084023387	0.7185304779626085	0.5151310470776662	0.7378471422880684	0.7370053280984409	0.7478029299176594	0.5331668049515776	0.6924731603655224	0.42085537570638415	0.9538452583293249	0.32167233555568325	0.5118029536895868	0.33641224775569495	0.5281977972329377	0.6975403241618369	0.5250430915302438	0.9549295683831013	0.957466709599022	0.9734388725267461	0.9518515804530645	0.8306966371405917	0.7542075222582654	0.9562140443896601	0.7267012809261821	0.9248924069644713	0.9571561063302344	0.9036014992205079	0.953228622144906	0.935857901537344	0.949933030601941
LP_CAS_M4	0.7920089947102732	0.8154292513643967	0.5389029963843484	0.0	0.6556472026555102	0.719937652037109	0.8197943963749669	0.5807979923259077	0.6476012883376174	0.6421234168293228	0.9731707807966129	0.7201374199882309	0.8267390516737125	0.7973462417446266	0.8117042835210053	0.6503492965221601	0.7938052710796815	0.7231312220671868	0.8201410113982402	0.7994035842919052	0.8139985355575781	0.8151386777163498	0.2077773913678982	0.20101087288036076	0.8017375546283965	0.818395529254668	0.8081012091355682	0.8153822758594895	0.8077099500715758	0.48668342063015424	0.8058457802309986	0.2144117218636406	0.8144075104844668	0.8046858853032841	0.9741580882846166	0.1746521020695682	0.17602945678442627	0.6724151703200917	0.6630904259816868	0.5512183076860028	0.8199138621583717	0.49632403963320554	0.18533326085138202	0.1821252437746309	0.5298833623318225	0.8150587816768299	0.645349733453722	0.6532266430961662	0.7922621166937106	0.20603552566701874	0.2228011018237139	0.8129239414997085	0.8176695664128603	0.19956010292637658	0.8181520354731017	0.20290292071056104	0.15034261869540128	0.5753145768295969	0.8208856921358716	0.20423013426350162	0.7994461929967778	0.8304208937540262	0.8096734626930745	0.16630669535262532	0.8059658792850889	0.6522655742062666	0.9745687236601864	0.5662678241956002	0.20106610149652332	0.49478926832825687	0.22129073211130157	0.8067333594424925	0.22984631377699263	0.9708935110941858	0.9770418282246148	0.9837507236302491	0.9736246628824328	0.9048909090343088	0.8194257149810767	0.9738851721873084	0.825225278284464	0.962481058256248	0.9747627462576611	0.950159946067321	0.9761790317723694	0.950425281890475	0.9770222531172943
NC_CAS_R9	0.6381629079040675	0.5976588666670599	0.4050965568948092	0.6556472026555102	0.0	0.6264771018631677	0.6801844612363152	0.43271866796955505	0.30883881829932075	0.2731271703014704	0.9572376399657494	0.6295024274076577	0.6580727168689974	0.6563080124808965	0.6655940929423302	0.17722378105638828	0.6552074611105256	0.6292234078403715	0.6775269178812251	0.6438865354206474	0.6101544963350265	0.6286834355492783	0.606131215043918	0.6266153569166588	0.5936386159706074	0.6757027091129397	0.660482724030203	0.6334115556697456	0.6648141649241797	0.4324946025266597	0.6585903184068788	0.6091271311912732	0.6071354128186846	0.5910348913926686	0.9574674728718348	0.6430946533991265	0.6428357309474493	0.28428443222705874	0.19323283265533242	0.4016884299823622	0.6475922614965156	0.428144655076102	0.619287353749686	0.6380137889073786	0.4062028538754827	0.6237397135452192	0.3256399907614179	0.27430562363651984	0.6434463070076379	0.6068970484324091	0.6326742057288476	0.5915545340666715	0.6285748432276257	0.625057107078762	0.6048759659210673	0.6506577458656292	0.6577114932594191	0.42322374726925327	0.6318998712490073	0.6267108017625355	0.6576399609350877	0.6535012470455969	0.6653143313620568	0.656125176111469	0.6000025926713689	0.3209562242170107	0.952874668925246	0.42806033513825076	0.614832046100548	0.42991433874164325	0.6507201675868285	0.5985200821867076	0.6442357826233645	0.9557918661513625	0.9592691783334172	0.9788349002851388	0.9489746807369493	0.796622486893437	0.6741010969164914	0.9610121024748907	0.635631140227953	0.9208630696989848	0.9552317751661138	0.8935455116944486	0.9509219847670597	0.946492025965975	0.9546605045413215
NC_SF_M3	0.2998957925258198	0.3731778894145651	0.6789400180332598	0.719937652037109	0.6264771018631677	0.0	0.3523363372798692	0.7011060418323578	0.6478674018175827	0.5929689980777315	0.9492634438443538	0.14622197963520414	0.3798782795494962	0.30286087983871074	0.3218605213226349	0.628071102730145	0.30413740361468866	0.13160021630509916	0.35280740805891825	0.3113201401091896	0.38712013933415673	0.38325132402594275	0.6905590027603368	0.7030338045469625	0.34778289480002345	0.36152173644176794	0.31480520032975645	0.35549446997720735	0.32747986200960244	0.6692438481383558	0.3142352352626797	0.6881646187264654	0.39051333198023036	0.34077803410132396	0.9502917317541207	0.7079887658322813	0.7054691587111371	0.6179228371707826	0.6395520530755433	0.6865533258815963	0.36544493513247694	0.6677859188401157	0.6928226519897075	0.7042979237818194	0.676921926903583	0.36267531611749754	0.6608411673342285	0.6015532113466007	0.2946510173058379	0.6894516617657569	0.7127212809675582	0.36933472912289567	0.3673618050356178	0.698618146216182	0.39745652163804884	0.7248305144985548	0.7171769961209534	0.7025072363678809	0.4010085470285154	0.7068713912765361	0.30435682883014303	0.400026333526054	0.3231441669948091	0.7150668081891297	0.3640137193174933	0.6478388216843126	0.9441907324232309	0.6970626684143887	0.6962184942837963	0.6690915782163163	0.7231071868495964	0.3682891079840218	0.7267004975825155	0.9406845009648818	0.957450812394072	0.9665422543934555	0.9469549362308418	0.7402337091389101	0.3620687469830139	0.9516637162236767	0.38669576148844303	0.9396367026095568	0.960170032489451	0.9134576355429052	0.9508068425219005	0.9401707811509151	0.9731360613843253
LP_SF_M9	0.3089727924692522	0.3351626644071787	0.7560391615829564	0.8197943963749669	0.6801844612363152	0.3523363372798692	0.0	0.7644992777235449	0.7052885132657984	0.662110154320829	0.9408785230969737	0.36392974866710315	0.2940597102427453	0.3248384338390828	0.2884069120624493	0.6799892892146031	0.33279195903021047	0.3497821752752119	0.1580128177767729	0.3104415823417818	0.3474084206356733	0.3448264129872481	0.7922968583114234	0.8061101676184262	0.33390028980858116	0.16404659485286363	0.2869741998797927	0.31823285169708987	0.3020007639948102	0.7536473411589532	0.28718387061913303	0.7925055977107445	0.3577369291248602	0.335957109266082	0.943851761883268	0.8116013598478702	0.8071718238035324	0.672389651088074	0.6801626495470772	0.757835083240659	0.2959252509977359	0.7465212127162633	0.7934433089194586	0.8058451252729403	0.7531183599586367	0.34188500842850217	0.7129263777072058	0.6635960658563956	0.30742995799726375	0.7913512012642655	0.8140031137025652	0.3292682106210852	0.32150702511557955	0.7994266141473595	0.3451109735872443	0.8210748276691034	0.8214553368734705	0.765437367551704	0.36193441044582386	0.8141028776389836	0.328386055898687	0.3001833618707612	0.2959060449964216	0.8150029196261694	0.33819208541858853	0.7021575000938814	0.9383265087135221	0.7653378035403525	0.7956504703361057	0.7501813515231063	0.8210784700312261	0.3462264803402823	0.8258857147550863	0.9335213799556817	0.9573757146712358	0.9666667230658211	0.930335544377348	0.68654814833167	0.31159191310558665	0.9448354316984275	0.34163782510786106	0.9228453458466449	0.9539998334276352	0.8850245591360011	0.9423654574783703	0.9429642506200224	0.9651268840357934
LP_CAS_R4	0.729991933857163	0.7122837217546912	0.33166156201655234	0.5807979923259077	0.43271866796955505	0.7011060418323578	0.7644992777235449	0.0	0.4532087897394138	0.46816083993275026	0.9586448794370293	0.7059179135332639	0.7564889666097718	0.7437557135975873	0.756293402999942	0.43187852488151185	0.747282495754743	0.70181543959938	0.7676856163980282	0.7337436154921705	0.7125650040160902	0.7314574977335832	0.5527770899803228	0.5530867366554778	0.7060228663859596	0.7625783166439538	0.7523345415786146	0.7323109322075488	0.7605226342015117	0.3773150530950054	0.7535001939313121	0.5593833422354416	0.7121844993344932	0.7064315992678334	0.9601801850806968	0.5741931282873907	0.5758935614677256	0.4783428208983058	0.42837761673274916	0.31803505383247166	0.7500709694798026	0.3781982945562593	0.5649516359317778	0.5681541908915001	0.32612797928699405	0.7300015376569294	0.452425876910284	0.4676666823033007	0.7376616089463462	0.559415872545448	0.5478037694534631	0.7111027093638038	0.7338932178856479	0.5694150467230332	0.7161415366223011	0.5725872157758061	0.5758707349537806	0.2066255137329039	0.7313030228974295	0.5543891905525463	0.7507254593843615	0.756612048482855	0.7610479154917866	0.5744187881517924	0.7031577534103929	0.4502800691682374	0.9624962897406478	0.2060903513475224	0.5628524818745088	0.3801059943133965	0.5672247213055936	0.7061574397896873	0.5644711653458695	0.9591034679350932	0.9589972696118054	0.9770795117879985	0.9550119997809544	0.8360970636835579	0.7670277067851663	0.9625021199195326	0.7449930266165233	0.9276194926641229	0.9586979515903269	0.9031041032112094	0.9586027935010114	0.9350062644542384	0.949719581840234
NC_CAS_R3	0.660128496274462	0.6272957590548163	0.4132013382639375	0.6476012883376174	0.30883881829932075	0.6478674018175827	0.7052885132657984	0.4532087897394138	0.0	0.31508307016709275	0.9574731411250617	0.6525621418230482	0.6813617125216932	0.6825024145279891	0.679907961858038	0.3055258223798346	0.6765676199979652	0.6480823267946801	0.6977771691699146	0.6634817733612788	0.6362455273647923	0.6576852866710949	0.5978634725198317	0.6141232452283403	0.6317021645754431	0.6905198398721866	0.6758965669244844	0.6570485227055463	0.683611279461045	0.4295243546345772	0.6723758829412184	0.6023084325083655	0.6366550382566816	0.6325928718946475	0.9577483255237266	0.6353570753223844	0.6364566300546057	0.31024336132638497	0.30693782878859	0.40349946990169966	0.6750528105329545	0.4266421945596359	0.6110030527995481	0.632642749156439	0.409999312675665	0.6507385177197152	0.21644736588018665	0.3126477968317477	0.6625301160788248	0.6025681119357653	0.6126316327647612	0.6241508943224108	0.6525030287480063	0.6124147046742897	0.6304259341245904	0.6396775766716654	0.6498282215993197	0.44898511854490636	0.6594127050975205	0.6182135407077864	0.6781670898145042	0.6774062560607513	0.6851231404917065	0.6429718154259518	0.6339508442353677	0.21868587787578014	0.9497746859857299	0.4506141369291147	0.6080646960294751	0.4282780448846838	0.6344875416884107	0.6294483822392195	0.6355295596583886	0.954822070607921	0.9541725323002087	0.9766987062492091	0.9456638290326054	0.7876263091433805	0.6901583106977084	0.9545063468790125	0.6588299547619306	0.9206394974855613	0.9530530361144322	0.8787783538987533	0.953340648093265	0.9348658050260137	0.9542465759161144
NC_CAS_R5	0.6189405923843979	0.584795315476122	0.4235565282625237	0.6421234168293228	0.2731271703014704	0.5929689980777315	0.662110154320829	0.46816083993275026	0.31508307016709275	0.0	0.9594952611815815	0.5930885975635092	0.6426270028054131	0.6352527367644445	0.6385796700387857	0.2735081421822545	0.6314012267231677	0.5960142100804594	0.6574544207640788	0.6249351919835966	0.5982267008692215	0.6211042496901383	0.5904514421487312	0.6112010394894959	0.5762075304161158	0.6578639461235233	0.6344041226736133	0.6191036519014473	0.6440421810069592	0.436432991554267	0.6334537434939744	0.5942810029344631	0.593893275425271	0.5757686010151464	0.9614732445117972	0.6265984720370392	0.6255712808836189	0.20520483920910265	0.291606897385491	0.42336145315548435	0.6279607371971985	0.4371105406781809	0.6010764595103535	0.6229978464963757	0.4237862555051579	0.6136580376681476	0.3301026919871311	0.17652005285600147	0.616964560307862	0.5922638617903802	0.6163132005590799	0.5780058424995355	0.618330405765605	0.6069029090593097	0.5926829462203818	0.6404369121834016	0.6448281274516697	0.4568676524468731	0.6299973012216484	0.6131252524416004	0.638524558852551	0.642517567108129	0.6466043905376231	0.6400840057332383	0.5860220284332615	0.32447082367899843	0.9544837680654854	0.4584659005880526	0.5974988286533855	0.44079632077029374	0.6375851608695722	0.5850486491910513	0.637800234411431	0.9573559502444051	0.961472623575773	0.9796092848082462	0.9546986957447896	0.7915210861805348	0.6564478659548918	0.9614663291755815	0.6305666873851836	0.928396188542286	0.9612028483067746	0.8994935795266443	0.9540320098825312	0.948624515429676	0.9595822814304723
