X1R.9.1	X1R.9.3	X1R.9.2	X1R.9.4	X1R.6.2	X1R.6.4	X1R.6.1	X1R.6.3	X2R.9.2	X2R.9.4	X2R.9.1	X2R.9.3	X2R.6.1	X2R.6.4	X2R.6.2	X2R.6.3	X3R.9.3	X3R.9.4	X3R.9.1	X3R.9.2	X3R.6.3	X3R.6.1	X3R.6.4	X3R.6.2
Root935	0.193928129809329	0.607782409558821	0.415817150130797	0.618264110308863	0.641016066485446	0.872308132593462	0	1	0	0.080180947804811	0.0137661360168784	0.074869684082207	0.574678335643222	0.537800087841311	1	0.700930857789326	0.0724150385941339	0.170271433408306	0	0.123844024877497	1	0.519486522731206	0.596713800169902	0.387424810952995
Root773	1	0.75319005349801	0.671181618580822	0.825776549925643	0.633047014882991	0.406677803885053	0.557998470244195	0	0.298130240395524	1	0.169957658243954	0.443863683889793	0.295688371745854	0.101001522983211	0	0.0372467825093483	0.945551548822006	0.0668036920607172	0.269618694588208	0.393507652479332	0	0.204690927901429	0.160949272518879	1
Root569	0.684986935044923	0.412861961266504	0.255333937839586	1	0.278504059672166	0	0.258256054141796	0.36865037170615	0.790734180893006	1	0.87535574566594	0.739608611930741	0.0855394574177824	0	0.307790281762007	0.56398859333496	0.907813800058963	0.636818119293499	1	0.999595837144546	0	0.527504493119605	0.444782004094139	0.537574865000756
Root690	0.189834290233468	0.0939176896688347	0.264767765076112	0	0.349453344133801	0.429194161274917	1	0.572539128199674	0.391200475054245	0	0.1639653348454	0.520297877837694	0.866862819264401	1	0.398814876110862	0.0998496993837143	0.227218407636617	0.396077384149788	0.111290216470597	0	1	0.834424255572017	0.489732376353123	0.949128907389338
Root83	0.412033807688322	0	1	0.808846437459674	0.466240015594483	0.218264141654628	0.594955378848971	0.229992834017941	0.292295372418484	0	0.568019802258048	1	0.378821318507539	0.118585362341933	0.619619301304713	0.333770321564903	0.613501230084191	1	0.441580546550364	0.529685867152179	0.216194979048453	0.186107061492121	0.331908952846644	0
Root9	0.908221699098594	0.476295437381415	0.216958625084359	0.795077388279516	1	0	0.609080279681241	0.607521136636078	0.884919540692193	1	0.963686619996604	0.90840655062193	0.0376329277165013	0	0.163989649819782	0.0379533905523017	0.690963984532181	0.476041253752462	1	0.449002112379988	0	0.0287386811149509	0.120900568470714	0.0597092928764436
Root217	0.791639113503157	1	0.93976462886481	0.590546723902071	0.0755358513887846	0	0.30609116109226	0.0829226777991908	0.798002215269155	0.903311349621368	1	0.718307023126852	0.195242850948474	0.189533077975267	0	0.0644186897721694	0.158714647865477	1	0.333242974806129	0.707733681066135	0.64982259436982	0.25091737656096	0	0.629869488434735
Root401	0.631319458313373	0.70111369670513	0.618940003916051	1	0.00704348953617085	0.342653634033057	0.333550229254047	0	0.322824822973378	0.775087265020157	0.985616029292611	1	0.372755315775803	0.280133423647834	0	0.510296899847928	1	0.186219178793702	0.387711421400843	0.759832335083267	0.507505616933989	0	0.0834664680351129	0.457347174854278
Root480	0.632364719428015	0	1	0.420628605530137	0.258883089422106	0.338169891800865	0.383335519047615	0.120369528010934	0.927652484935147	0.803569242848701	0.872351509105866	0.551726002300499	1	0.386360392277665	0	0.222424254127124	0.735701211790952	0.476230003978505	0.500943897604649	1	0	0.107035035170716	0.0569466879998707	0.247009835652545
Root241	1	0.301302410398881	0.699169302791205	0.122651483960621	0.515149751611664	0.433273578638757	0.771092777407105	0	0.970504763976882	0.870812354609933	0.688357596075603	1	0.308429039689818	0.440659537307849	0	0.32993792824966	1	0.611544346457736	0.95926655031829	0.747962349524114	0	0.358596669901221	0.297056914653892	0.349660874546249
Root61	1	0.209009212682982	0.340156262832845	0	0.00728307189095616	0.684258644321894	0.88005461101789	0.0278717667752954	0.817969108679732	1	0.53435114229022	0.937950517875634	0.216035802092586	0.512182341816885	0	0.558719617175149	0.334643708111231	0.402820250235981	0.330999553210159	1	0	0.209928954120529	0.321580703317233	0.130279227945404
Root491	1	0.453017564719452	0.301057189651371	0.0528943173977849	0.645127329625261	0.526789319588392	0.93194084904693	0	0.574271785571359	0.356333526592953	0.523850973550392	0	0.576947793196277	1	0.198494431690292	0.158298822740946	0.475188839550177	0.823577738069719	0.69638388941367	1	0	0.489480941372535	0.700971824925112	0.96515693195027
Root562	0.436806514709046	0.117860550952141	0.484063043810438	0.40555844854839	0	1	0.00551144575907246	0.00101652063358586	1	0.583923093134424	0.968737062258422	0.89914608718185	0.258975741344635	0.468294683092668	0	0.304421560743943	1	0.484671037790321	0.806246399175049	0.636756967630413	0	0.0475342754794629	0.414750757643264	0.535080188122229
Root772	1	0.312489743461043	0.425293729080459	0.242310848676926	0.125115106357185	0.548953163468015	0.356651604210685	0	0.457824272791708	0.769200686518323	1	0.690317567752367	0.0846143767019574	0.364228995967226	0	0.222093582662115	0.646925024080662	0.329926610510783	1	0.546362043313038	0	0.301419545980073	0.399695587886596	0.188292772537569
Root559	0	0.398140742058024	0.247459326339544	0.174779255717103	0.385804487413218	0.0482763678309311	1	0.0899076835711095	0	0.0788192035657578	1	0.181944893512943	0.807995757648311	0.732261488944123	0.271985331321976	0.798744490372026	0.654218492710252	1	0	0.56187039142218	0.678215868701582	0.805211486075126	0.168654431835747	0.331309535691008
Root227	0.915126098614872	0	0.741291585572979	0.404681548781957	0.860534753469688	0.513777726679398	1	0.324705763685164	0.716911891130523	1	0.753584598857454	0.976079627268489	0.114002453847019	0.305821575011799	0	0.307609450743061	0.8682335678432	0.785653639370223	0.823599471164205	1	0	0.472139668932338	0.485790621529387	0.462107284397261
Root135	0.459979508887192	0.58232828188294	0.53970585260969	1	0.267516262193377	0	0.220475061529549	0.238691495351361	0.833488287940748	1	0.551456852291108	0.302934490686523	0.200398071939041	0	0.220077725279988	0.108948420336693	0	0.272697409977271	1	0.195677104099429	0.153029743131522	0.217940369742738	0.352793723379669	0.674707583999435
Root564	0.69936201130553	0.457481560453548	0.953794532379353	0.302481293795133	1	0.412737122574129	0.526612921888484	0	1	0.420394328808742	0	0.541563401767499	0.0982162546876211	0.322687602003713	0.510682736994311	0.196951593658924	0.150724402803675	1	0.733256338618266	0.0709162516670722	0	0.209392175157839	0.300913763131007	0.08030360926164
Root123D2	0.116640775010463	0.174141181216108	0.30362236553642	0.51680291177592	0.707731802884634	0	1	0.205832896677753	0.358170811871414	0.831983943719603	1	0.877797881098302	0.0791957260818344	0.362643462915269	0.0746235807334555	0	0.613292684605158	0.150189654243905	0.194195945443044	0.43056453968075	0	0.446318805357433	1	0.646825944594457
Root170	0.746687312551495	0.937908220317592	1	0	0.861178626838286	0.856690593965683	0.72878642898509	0.688839831467171	0.263272946077253	0	0.141686213543719	0.436264771582092	0.563768471483373	0.778169505380317	0.449114058631153	1	0.457858591909394	0	1	0.59336113132541	0.336206822278155	0.672840515662577	0.721867021229045	0.517695918374102
Root172	0.215662136098092	0.210228408508264	0.262615856921226	0	0.148590924728143	0.0116961284396374	1	0.184810509869979	0.920042787335002	0.232215054918971	0.724547655811916	1	0.483363538020636	0.213236802967854	0.0745450342062171	0	0.358784498676776	0.361155011039262	0.226597847017034	0	0.295116533247121	0.945492004522414	0.552617412914906	1
Root1257	1	0	0.00657275877773699	0.512696578815022	0.111422949994934	0.553649300932351	0.814800626179211	0.102141893606974	0.162877636281883	0.411741468465725	0.284131628858732	0.57336063367686	0.117106556520826	0.894229011515508	0	1	1	0.557879199933485	0.0910815648960446	0.21709662227559	0.330092227329028	0.379671076735995	0.147953588098409	0
Root329	0.76935879760994	0.393461586340959	0.950723748104922	1	0.551122357317991	0.991109378881239	0.272689261853221	0	0.700076838156391	0.625001110993534	0.812459685453959	1	0.543524847081818	0.584174027212337	0	0.513388961034646	0.561925981689462	0.457161555439541	1	0.527733595470263	0	0.0831256586292173	0.185891941551646	0.119351881285703
