2M.9.2	1M.8.4	2M.10.4	1M.10.1	1M.6.1	1M.9.2	1M.10.2	1M.8.2	1M.6.3	1M.8.1	1M.9.1	1M.10.4	2M.9.4	2R.6.3	1R.9.2	2M.6.4	1M.7.3	1M.7.1	1M.9.3	1M.6.2	2R.7.2	2M.6.1	2R.8.2	1M.7.2	2M.8.2	2M.6.2	2M.9.1	1M.8.3	1R.9.4	2R.9.1	2M.9.3	2R.9.2	2R.7.3	1M.7.4	1R.8.4	1M.10.3	2M.8.3	1R.6.2	2R.8.4	1R.6.1	1R.6.4	2R.7.1	Input3	Input1	3M.7.4	Input2	3R.10.3	3M.9.2	3M.7.1	3R.7.4	3R.7.2	3R.9.4	3R.10.1	3R.9.3	3R.6.3	3M.9.1	3M.10.4	3M.7.3	3R.7.1	3M.10.3	3R.8.3	3M.10.1	3R.8.4	3R.10.4	3M.8.1	3M.8.3	3R.10.2	3R.6.1	3R.6.2	3R.6.4	3M.6.2	3R.7.3	3M.9.4	3R.9.2	3M.10.2	3R.8.1	3M.6.4	3R.8.2	3R.9.1	3M.8.2	3M.7.2	3M.9.3	3M.6.1	3M.6.3	3M.8.4
2M.9.2	0.0	0.624410073469	0.648903894004	0.40860910686	0.473258885674	0.525061364714	0.535418603662	0.630011299857	0.234231350745	0.500829673261	0.536649989774	0.623863702536	0.394124660993	0.548477045293	0.578835105449	0.625617901894	0.291029008515	0.575111230541	0.256846548947	0.617309550618	1.0	0.69620589185	0.886845480707	0.519177826393	0.714470780155	0.496590981988	0.287247208141	0.667332251688	0.658418427382	0.645271224417	0.288253111473	0.626961453415	0.651269851453	0.708087442062	1.0	0.572817611114	0.650331212639	0.667648791986	0.583175694726	0.524327446891	0.698406950927	0.888114490356	0.819528317325	0.758356420296	0.600865837983	0.781061300292	0.933052574979	0.693286099638	0.578112955421	0.591017101373	0.45724512161	0.622499851281	0.551914108345	0.769071139494	0.831446233975	0.75417713893	0.765645459504	0.741398789847	0.740392330465	0.785076912381	0.693615400061	0.591383665305	0.533389152099	0.467972937485	0.420728390737	0.620900164625	0.559688114648	0.811007999778	0.496712129756	0.61626097362	0.585591816176	0.942950595944	0.501025336725	0.664761062441	0.435967141314	0.919766150878	0.715866461381	0.741829234767	0.685791888339	0.754846843544	0.68164735185	0.800411301233	0.749445100906	0.601352735599	0.625591680877
1M.8.4	0.624410073469	0.0	0.676572658124	0.631208023813	0.67046707682	0.517281668553	0.708013577859	0.660155098773	0.545795802279	1.0	0.528404079303	0.61311383922	0.602845374399	0.715627188403	0.774914055975	0.656350866684	0.55270892056	0.565541131749	0.539730967944	0.640879267288	1.0	0.718098815013	0.845552809727	0.501011461083	0.734296581782	0.74929379756	0.644480302847	1.0	0.684876862963	0.623080309811	0.651777449437	0.657513701373	0.67317064451	0.89903429072	0.786109756046	0.782867807349	0.673534122008	1.0	0.858309194595	0.770503457051	0.71535643704	0.847177718315	0.901682415196	0.85150731921	0.558964862869	0.863497388442	0.935352860008	0.8248849601	0.816308351805	0.602957135989	0.659571944602	0.805928086604	0.522350480394	0.752912139413	0.83896333498	0.731230937187	0.78017246285	0.752819491949	0.753567273272	0.797784863964	0.715808910981	0.746130398704	0.563916404258	0.771399320636	0.639004790263	0.602020169479	0.751188314354	0.819100432665	0.735308829206	0.83613448833	0.5633216424	0.919639940046	0.695019352786	0.78523447257	0.832081330524	0.88845734429	0.901617678592	1.0	1.0	0.594183116338	0.815549898222	0.809320413917	0.72787134152	0.864148182313	0.648762084112
2M.10.4	0.648903894004	0.676572658124	0.0	0.556685013172	0.672546143086	0.422038055808	0.677204411056	0.411630165522	0.523992256399	1.0	0.515831309644	0.608375561717	0.685397093696	0.77855518524	0.649691575329	0.430633663437	0.55097238608	0.483831623718	0.564865073014	0.561462233674	1.0	0.644212992365	1.0	0.57714640657	0.657832614773	0.711370014004	0.490483249553	1.0	0.544613266998	0.708551058077	0.574144993957	0.42481584873	0.599150147289	1.0	1.0	0.755651766263	0.606361535649	1.0	1.0	0.736625706859	0.65900839692	1.0	0.827148800585	0.786617905702	0.827781244525	0.744229260028	0.928087594042	0.884729288841	0.795551860816	0.836440494942	0.710554291128	0.784951146014	0.771784469816	0.711452696852	0.814659025255	0.814977086686	0.483650619354	0.715931476841	0.710344465659	0.745877285071	0.336868273155	0.807679331213	0.690614371416	0.726902415962	0.680469834975	0.674429068339	0.854064900763	0.793044091103	0.686626099532	0.814465046509	0.577718596449	1.0	0.767220846178	0.757901574715	0.81345006171	1.0	1.0	1.0	1.0	0.537927021333	0.794744840579	0.78051277415	0.806264004938	1.0	0.570632130357
1M.10.1	0.40860910686	0.631208023813	0.556685013172	0.0	0.406942412606	0.284960386258	0.302097335597	0.547473227552	0.256827097414	0.810539082698	0.257600558313	0.432202864131	0.21059453555	0.482362604171	0.539633156012	0.563446058273	0.197471259995	0.354416880004	0.229636883585	0.670779848816	1.0	0.713259447311	0.704630046703	0.389916332527	0.720654460544	0.549702438421	0.333429251724	0.714343342371	0.642654802268	0.429402680141	0.389504443458	0.558566588438	0.700872751935	0.665478282301	1.0	0.610743438758	0.693932898367	0.714577731201	0.45570725751	0.57356914763	0.737140800546	0.678135079373	0.774964697576	0.694964120255	0.633508031258	0.693675100173	0.938470443185	0.551714944557	0.825208117961	0.486730610637	0.348513464804	0.65271319352	0.506822734378	0.747804982142	0.848900477187	0.557027558993	0.7098332585	0.76793289688	0.770725538946	0.69508491565	0.658731077384	0.565538567668	0.413648373178	0.535417268686	0.345066643416	0.508009953128	0.719602887219	0.829844487011	0.547504908052	0.652685982711	0.426612299533	0.844995335735	0.432730117433	0.796743151271	0.674137027669	0.809566806783	0.616588171031	0.771254927613	0.728115666986	0.778520731748	0.707491441372	0.707880437727	0.632417623341	0.518117120379	0.678135079373
1M.6.1	0.473258885674	0.67046707682	0.672546143086	0.406942412606	0.0	0.495085360776	0.115923203576	0.460247895728	0.347780806134	0.830912782867	0.51270523048	0.424885170994	0.451781716197	0.177829799707	0.213289132387	0.656051411916	0.327264858723	0.536596764085	0.322848129376	0.714820861334	1.0	0.24551424719	0.825178068153	0.552153975492	0.274805583279	0.594986034471	0.418609447118	0.699603655868	0.310646114794	0.472021189035	0.470244138264	0.656989695634	0.74151093746	0.692784128603	1.0	0.253279860276	0.539816194165	0.750938304305	0.549494756227	0.114878525578	0.584376242141	0.826637193999	0.657948349818	0.614757705139	0.374873381855	0.575725929648	0.562154499804	0.368032914749	0.539448968767	0.653058880557	0.484897368662	0.278913726949	0.567508596411	0.429773955306	0.387377688996	0.426531316977	0.763414443764	0.480327859374	0.615491901636	0.435847560314	0.705664381342	0.229177603605	0.480175343237	0.5925125856	0.270203860202	0.626476405356	0.607988181586	0.846729087772	0.136466815299	0.367264722069	0.450108285288	0.546399876173	0.377460735115	0.39517749956	0.687394557352	0.548784416013	0.25772274824	0.251138556899	0.712253134843	0.646607575419	0.349112564313	0.528256536408	0.730820104617	0.394576151294	0.721356250873
1M.9.2	0.525061364714	0.517281668553	0.422038055808	0.284960386258	0.495085360776	0.0	0.458391816036	0.384256916489	0.335474651744	1.0	0.113707933236	0.298963005697	0.314647248	0.57557486552	0.634207085841	0.388339137331	0.231330281645	0.136042214602	0.291767680204	0.525663910547	1.0	0.623613371355	0.571758175186	0.118075386102	0.63940087205	0.695658765005	0.450928265143	1.0	0.514327509951	0.343274212903	0.539076369011	0.382275757899	0.565572389481	0.827217239174	1.0	0.744732338859	0.578982484208	1.0	0.617473000668	0.722653519362	0.634302369031	0.577718275488	0.864661574987	0.804282771696	0.687964564759	0.810741317628	0.925219496492	0.71813466251	0.78735155463	0.687685368198	0.450197892852	0.776714639571	0.58933309047	0.701679163955	0.804594369412	0.534417339019	0.642467118794	0.700687464022	0.691902550185	0.735960844925	0.550971477687	0.668408019105	0.491998684004	0.707470036917	0.426142128277	0.350637289047	0.848824773959	0.782344973951	0.669823255891	0.805696150851	0.513125039224	0.81363973156	0.528822361006	0.746908954665	0.806108199609	0.752856350527	0.760895967437	1.0	1.0	0.719132992462	0.786527421181	0.768580976893	0.54246413924	0.695127737591	0.535359612256
1M.10.2	0.535418603662	0.708013577859	0.677204411056	0.302097335597	0.115923203576	0.458391816036	0.0	0.476432931062	0.432315944195	0.850351638715	0.512441298813	0.410837211226	0.392401241	0.229997299333	0.280370391132	0.669045287067	0.38075434181	0.503633337198	0.409198269844	0.754492812045	1.0	0.342897281187	0.780527037218	0.54591479548	0.35876542955	0.639751907654	0.497387843897	0.736257338314	0.395406959743	0.424852398361	0.544273652069	0.665093291009	0.777950747727	0.724113986031	1.0	0.339147526374	0.601295553034	0.785204700102	0.504205246313	0.226485146406	0.638637221111	0.760246159227	0.65067123358	0.575799975763	0.402775994084	0.580576761905	0.605210828687	0.31580447784	0.593361449159	0.597636170017	0.470001486143	0.324138480747	0.591139240506	0.47879645224	0.459332749026	0.371701128521	0.760193344488	0.538233827879	0.665588601024	0.486778000297	0.730748782049	0.292286569977	0.456813527504	0.645185488892	0.312212566845	0.612639973611	0.629024504924	0.863134502395	0.222021543	0.400899225052	0.417265941537	0.548160367209	0.40727855925	0.462208654523	0.715343222549	0.570130222582	0.300354646504	0.349363926892	0.710633612249	0.674181396223	0.411554157456	0.595225553667	0.702339569741	0.424799368292	0.760246159227
1M.8.2	0.630011299857	0.660155098773	0.411630165522	0.547473227552	0.460247895728	0.384256916489	0.476432931062	0.0	0.49383811676	1.0	0.485108808613	0.588937793007	0.666446859042	0.595418972377	0.468273496943	0.393174639975	0.524321395937	0.454289965284	0.538091869777	0.529781480059	1.0	0.363204985533	1.0	0.546269462619	0.377084907185	0.697425563507	0.455463039067	1.0	0.223269064092	0.691179610079	0.543112375917	0.387138034906	0.569441292704	1.0	1.0	0.568769030512	0.582100499542	1.0	1.0	0.491495037128	0.637122728958	1.0	0.817225979472	0.803722753424	0.674917418793	0.776254602951	0.721396540089	0.741511306039	0.653926719903	0.832357642797	0.698227770869	0.584827417978	0.763256768294	0.632037943563	0.528202201046	0.543034378601	0.644108555278	0.448383084577	0.693992528369	0.552058616046	0.553770651482	0.650743540749	0.679545804489	0.70968599544	0.45559631164	0.657320493983	0.849404841514	0.783545364395	0.407219322279	0.613352589311	0.563872045644	0.808198959519	0.757236748372	0.53913357569	0.806923328792	0.744079849575	0.791802905647	0.733008644758	1.0	0.492148123995	0.58431922402	0.539845357089	0.797755688161	0.661405942988	0.539418424943
1M.6.3	0.234231350745	0.545795802279	0.523992256399	0.256827097414	0.347780806134	0.335474651744	0.432315944195	0.49383811676	0.0	0.757278023036	0.35450233911	0.49257093619	0.263185846131	0.485567230959	0.490069646667	0.486747502111	0.0804853414403	0.416486276008	0.0620586819417	0.541959285722	1.0	0.632877087365	0.826320753739	0.386055396371	0.6476722755	0.430070270456	0.0838653460745	0.603584493775	0.538974350427	0.556660719671	0.147431968431	0.488919066227	0.580873388836	0.65094973447	1.0	0.526045104759	0.591369210817	0.604034450142	0.474697272432	0.463051210055	0.645496349664	0.828654402667	0.812032249434	0.792995364618	0.645626412313	0.745694394551	0.926497108892	0.654829619895	0.791004874181	0.631953484584	0.362667015473	0.587218785002	0.486285574353	0.734121409931	0.809111999956	0.698336516166	0.698953050519	0.707527614504	0.700220768889	0.740376157745	0.59324536148	0.537071210234	0.429591097784	0.376257552433	0.304787848128	0.539062674503	0.669876908322	0.787140840094	0.429818280078	0.572169281842	0.494854265808	0.920364463134	0.419833493108	0.751820074146	0.610983123226	0.883647584752	0.661331064564	0.705109610291	0.629551107095	0.725082723353	0.650357668307	0.773936858538	0.696381601533	0.501518588154	0.551419835776
1M.8.1	0.500829673261	1.0	1.0	0.810539082698	0.830912782867	1.0	0.850351638715	1.0	0.757278023036	0.0	1.0	0.774603600025	0.779275659285	0.67959620165	0.652279139278	1.0	0.769653041002	1.0	0.762874360847	1.0	1.0	1.0	1.0	1.0	1.0	0.586044737883	0.741091289746	0.434582524086	1.0	1.0	0.729014292096	1.0	1.0	0.717788629639	0.732957960512	0.651253146601	0.731305073317	0.435095970024	0.749515481971	0.809704598355	0.722014809743	1.0	0.870029074625	0.754258379163	0.685025347108	0.860098226342	0.831013105051	0.740387572154	0.423825991007	0.616812325139	0.825263642605	0.782289612083	0.843899653534	0.85366691084	1.0	1.0	0.819625213404	0.82311190436	1.0	0.834203767952	1.0	0.700891030729	0.849714860785	0.758216884436	0.636739470188	1.0	0.576368977452	1.0	0.808000961104	0.827395447904	0.860806179841	0.840029076359	0.62494407289	0.891319836789	0.353625599183	0.777221165763	0.826874060587	0.792192983663	0.749038934841	0.827337303611	0.706418401704	1.0	0.796690144037	0.759986714706	1.0
