LP_R3_1	NC_R3_1	NC_R1_1	NC_R2_3	LP_R3_2	LP_R1_3	LP_R2_3	LP_R3_3	NC_R2_2	LP_R1_1	LP_R2_1	NC_R1_2	NC_R3_3	NC_R2_1	LP_R1_2	NC_R1_3	NC_R3_2	LP_R2_2
Root564	247	418	499	513	269	375	120	186	453	281	230	391	301	423	539	254	373	408
Root491	2894	4988	8474	4903	4730	4405	2994	3888	3610	5406	3149	9296	7697	7366	3111	3850	4362	4707
Root690	6018	11853	21536	11530	6752	7485	6906	11005	24558	14064	6797	9922	20757	22142	12726	17002	14827	10182
Root217	1998	1192	3717	1744	3468	2484	3174	4550	2132	4251	2476	1400	1962	3224	3004	4323	4525	3729
Root186	1019	4011	14459	3375	6998	4568	3415	4078	1643	7156	3225	1579	2171	3535	1859	3149	5971	3718
Root630	756	1929	4604	1741	963	1330	955	651	1320	1123	587	3093	1909	1038	742	1362	1152	883
Root240	54	264	340	265	54	95	69	96	74	52	39	166	148	202	77	165	303	74
Root685	771	1629	944	1083	1246	2008	671	964	1027	1049	999	2020	1691	2102	1439	757	812	1811
Root420	3313	2801	2798	3853	2681	3885	5135	3703	2731	6195	3035	2301	3415	4121	6442	2488	3052	3502
Root935	2491	4792	1615	5312	5049	3660	5200	2267	3885	4999	5266	4226	2755	1865	11965	1727	3654	6255
Root604	51	532	105	1119	1302	1753	372	464	720	518	1398	3625	537	303	402	754	1144	2138
Root280D1	136	266	304	196	258	317	138	216	270	280	172	433	238	290	138	129	131	356
Root278	714	1313	2930	2628	587	772	625	764	2402	1268	491	1538	2194	2815	745	946	2306	858
Root241	492	607	810	773	476	979	308	754	275	509	451	1031	745	1080	840	520	906	765
Root559	854	678	573	1397	1026	1646	1429	913	902	2471	1510	3743	1077	762	884	950	1247	2303
Root329	34	116	164	45	375	143	34	275	9	51	97	26	132	148	153	44	66	125
Root105	78	134	158	171	66	142	42	142	271	126	69	229	208	244	88	138	154	126
Root1277	76	92	58	74	130	127	50	78	123	75	61	61	136	156	80	45	47	111
Root166	57	50	10	48	137	225	40	128	88	0	118	446	72	100	197	105	86	215
Root472D3	10	12	8	6	4	13	33	11	12	32	11	15	9	1	4	4	4	11
Root83	99	125	96	70	111	199	44	119	66	40	156	140	63	42	283	114	114	235
Root170	697	2631	914	739	1554	1526	338	682	895	900	879	873	1332	1239	945	323	427	1376
Root149	324	633	1260	485	332	443	223	335	615	670	215	1705	631	558	295	530	329	380
Root482	313	481	735	765	341	401	195	445	785	662	217	759	827	839	380	414	734	418
Root154	166	192	294	213	169	205	125	256	148	237	124	345	217	229	234	227	153	252
Root565	123	502	216	132	277	284	52	150	190	166	181	174	267	256	245	104	121	279
Root569	8	10	59	18	29	18	17	29	16	23	35	17	21	96	10	22	32	44
Root318D1	95	120	224	289	109	148	128	172	103	151	126	131	113	215	171	124	174	204
Root172	151	276	309	224	200	299	120	275	362	273	139	407	507	415	291	242	343	274
Root135	14	92	10	15	6	19	1	17	182	5	3	18	69	56	26	8	14	11
Root381	3	13	2	3	7	6	2	3	9	6	4	11	15	7	7	6	3	9
Root190	88	11	25	23	51	75	63	30	12	59	40	6	25	31	143	83	105	80
Root1240	25	58	107	58	15	34	13	40	49	31	24	47	123	69	27	32	35	27
Root483D1	235	225	449	297	320	382	174	459	505	425	227	445	475	539	341	257	338	400
Root61	38	13	18	16	35	61	32	36	21	33	16	50	37	25	23	12	21	32
Root236	8	5	7	4	2	11	10	2	4	23	1	20	2	4	5	0	5	2
Root9	0	2	8	4	4	12	1	31	2	3	6	7	3	35	3	2	6	7
Root797	0	2	13	5	1	1	1	5	11	2	1	5	17	3	1	6	7	1
Root670	54	94	143	131	88	105	40	121	132	66	54	124	145	188	66	204	113	101
Root1203	6	10	24	9	5	15	9	17	2	4	6	3	17	31	10	13	14	10
Root710	25	7	2	11	12	17	17	8	4	24	13	20	17	15	26	5	14	21
Root750	2	5	5	3	1	9	3	11	0	8	1	1	4	5	6	0	2	7
Root140	1	9	25	9	2	3	1	5	83	1	0	19	19	14	3	10	16	1
Root1252	3	74	6	8	2	1	4	1	0	0	3	18	14	0	0	2	23	7
Root708	2	8	16	3	1	4	1	10	3	5	6	3	7	9	5	1	8	4
Root102	2	4	2	4	8	5	1	4	5	5	1	8	10	10	9	2	6	4
Root100	2	4	6	9	5	10	3	6	9	4	3	8	16	7	17	5	7	12
Root1221	0	3	8	4	0	2	1	1	0	7	0	0	0	42	0	13	3	1
Root656	3	0	0	0	4	1	0	0	0	0	17	0	0	0	42	0	0	25
Root123D2	2	4	7	3	4	5	1	6	16	8	0	6	7	8	1	2	6	0
Root1294	5	8	4	7	2	6	11	6	0	12	5	8	9	11	10	2	8	7
