Library	Sample	Group	Condition	Microbes_Innoculation	Tissue	Replicate	Description
3470.A	NC_Root_N_1	NC_Root_N	NC_Root	No	Root	1	Normal_Condition
3470.B	NC_Root_N_2	NC_Root_N	NC_Root	No	Root	2	Normal_Condition
3470.C	NC_Root_N_3	NC_Root_N	NC_Root	No	Root	3	Normal_Condition
3470.D	NC_Shoot_N_1	NC_Shoot_N	NC_Shoot	No	Shoot	1	Normal_Condition
3470.E	NC_Shoot_N_2	NC_Shoot_N	NC_Shoot	No	Shoot	2	Normal_Condition
3470.F	NC_Shoot_N_3	NC_Shoot_N	NC_Shoot	No	Shoot	3	Normal_Condition
3470.G	SC_Root_N_1	SC_Root_N	SC_Root	No	Root	1	Shade_Condition
3470.H	SC_Root_N_2	SC_Root_N	SC_Root	No	Root	2	Shade_Condition
3470.I	SC_Root_N_3	SC_Root_N	SC_Root	No	Root	3	Shade_Condition
3470.J	SC_Shoot_N_1	SC_Shoot_N	SC_Shoot	No	Shoot	1	Shade_Condition
3470.K	SC_Shoot_N_2	SC_Shoot_N	SC_Shoot	No	Shoot	2	Shade_Condition
3470.L	SC_Shoot_N_3	SC_Shoot_N	SC_Shoot	No	Shoot	3	Shade_Condition
3470.M	NC_Root_Y_1	NC_Root_Y	NC_Root	Yes	Root	1	Normal_Condition
3470.N	NC_Root_Y_2	NC_Root_Y	NC_Root	Yes	Root	2	Normal_Condition
3470.O	NC_Root_Y_3	NC_Root_Y	NC_Root	Yes	Root	3	Normal_Condition
3470.P	NC_Shoot_Y_1	NC_Shoot_Y	NC_Shoot	Yes	Shoot	1	Normal_Condition
3470.Q	NC_Shoot_Y_2	NC_Shoot_Y	NC_Shoot	Yes	Shoot	2	Normal_Condition
3470.R	NC_Shoot_Y_3	NC_Shoot_Y	NC_Shoot	Yes	Shoot	3	Normal_Condition
3470.S	SC_Root_Y_1	SC_Root_Y	SC_Root	Yes	Root	1	Shade_Condition
3470.T	SC_Root_Y_2	SC_Root_Y	SC_Root	Yes	Root	2	Shade_Condition
3470.U	SC_Root_Y_3	SC_Root_Y	SC_Root	Yes	Root	3	Shade_Condition
3470.V	SC_Shoot_Y_1	SC_Shoot_Y	SC_Shoot	Yes	Shoot	1	Shade_Condition
3470.W	SC_Shoot_Y_2	SC_Shoot_Y	SC_Shoot	Yes	Shoot	2	Shade_Condition
3470.X	SC_Shoot_Y_3	SC_Shoot_Y	SC_Shoot	Yes	Shoot	3	Shade_Condition
