lab	canopysize	rep	geno	light	lab1
NC	3.992	I	col0	NC	NC_col0
NC	3.846	I	col0	NC	NC_col0
NC	2.564	I	col0	NC	NC_col0
NC	2.845	I	col0	NC	NC_col0
NC	2.556	I	col0	NC	NC_col0
NC	3.812	I	col0	NC	NC_col0
NC	3.579	I	col0	NC	NC_col0
NC	3.412	I	col0	NC	NC_col0
NC	3.655	I	col0	NC	NC_col0
NC	3.671	I	col0	NC	NC_col0
NC	3.71	I	col0	NC	NC_col0
NC	3.429	I	col0	NC	NC_col0
NC+M	4.343	I	col0	NC	NC+M_col0
NC+M	3.814	I	col0	NC	NC+M_col0
NC+M	3.615	I	col0	NC	NC+M_col0
NC+M	3.411	I	col0	NC	NC+M_col0
NC+M	3.206	I	col0	NC	NC+M_col0
NC+M	2.975	I	col0	NC	NC+M_col0
NC+M	2.847	I	col0	NC	NC+M_col0
NC+M	2.541	I	col0	NC	NC+M_col0
NC+M	2.649	I	col0	NC	NC+M_col0
NC+M	2.597	I	col0	NC	NC+M_col0
NC+M	2.811	I	col0	NC	NC+M_col0
NC+M	2.622	I	col0	NC	NC+M_col0
LP	1.624	I	col0	LP	LP_col0
LP	1.822	I	col0	LP	LP_col0
LP	1.653	I	col0	LP	LP_col0
LP	1.441	I	col0	LP	LP_col0
LP	1.661	I	col0	LP	LP_col0
LP	1.339	I	col0	LP	LP_col0
LP	1.416	I	col0	LP	LP_col0
LP	1.681	I	col0	LP	LP_col0
LP	1.624	I	col0	LP	LP_col0
LP	1.711	I	col0	LP	LP_col0
LP	1.703	I	col0	LP	LP_col0
LP	1.634	I	col0	LP	LP_col0
LP+M	4.517	I	col0	LP	LP+M_col0
LP+M	4.136	I	col0	LP	LP+M_col0
LP+M	3.91	I	col0	LP	LP+M_col0
LP+M	3.871	I	col0	LP	LP+M_col0
LP+M	2.941	I	col0	LP	LP+M_col0
LP+M	2.893	I	col0	LP	LP+M_col0
LP+M	2.599	I	col0	LP	LP+M_col0
LP+M	2.431	I	col0	LP	LP+M_col0
LP+M	2.478	I	col0	LP	LP+M_col0
LP+M	3.168	I	col0	LP	LP+M_col0
LP+M	2.561	I	col0	LP	LP+M_col0
LP+M	2.987	I	col0	LP	LP+M_col0
NC	3.473	I	dde2	NC	NC_dde2
NC	3.019	I	dde2	NC	NC_dde2
NC	3.843	I	dde2	NC	NC_dde2
NC	4.019	I	dde2	NC	NC_dde2
NC	3.517	I	dde2	NC	NC_dde2
NC	2.931	I	dde2	NC	NC_dde2
NC	3.294	I	dde2	NC	NC_dde2
NC	2.816	I	dde2	NC	NC_dde2
NC	2.887	I	dde2	NC	NC_dde2
NC	3.469	I	dde2	NC	NC_dde2
NC	3.295	I	dde2	NC	NC_dde2
NC	2.998	I	dde2	NC	NC_dde2
NC+M	4.536	I	dde2	NC	NC+M_dde2
NC+M	2.917	I	dde2	NC	NC+M_dde2
NC+M	2.869	I	dde2	NC	NC+M_dde2
