geno	condition	lab	"total number
of leaves"
sid2	LP	sid2_LP	11
sid2	LP	sid2_LP	10
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	7
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	8
sid2	LP	sid2_LP	8
sid2	LP	sid2_LP	7
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	10
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	10
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	8
sid2	LP	sid2_LP	9
sid2	LP	sid2_LP	8
sid2	LPM	sid2_LPM	11
sid2	LPM	sid2_LPM	10
sid2	LPM	sid2_LPM	10
sid2	LPM	sid2_LPM	10
sid2	LPM	sid2_LPM	10
sid2	LPM	sid2_LPM	9
sid2	LPM	sid2_LPM	9
sid2	LPM	sid2_LPM	12
sid2	LPM	sid2_LPM	15
sid2	LPM	sid2_LPM	9
sid2	LPM	sid2_LPM	14
sid2	LPM	sid2_LPM	11
sid2	LPM	sid2_LPM	9
sid2	LPM	sid2_LPM	15
sid2	LPM	sid2_LPM	8
sid2	LPM	sid2_LPM	14
sid2	LPM	sid2_LPM	13
sid2	LPM	sid2_LPM	12
sid2	NC	sid2_NC	16
sid2	NC	sid2_NC	15
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	14
sid2	NC	sid2_NC	13
sid2	NC	sid2_NC	13
sid2	NC	sid2_NC	13
sid2	NC	sid2_NC	13
sid2	NC	sid2_NC	13
sid2	NC	sid2_NC	12
sid2	NC	sid2_NC	12
sid2	NC	sid2_NC	11
sid2	NC	sid2_NC	11
sid2	NCM	sid2_NCM	17
sid2	NCM	sid2_NCM	15
sid2	NCM	sid2_NCM	15
sid2	NCM	sid2_NCM	15
sid2	NCM	sid2_NCM	14
sid2	NCM	sid2_NCM	14
sid2	NCM	sid2_NCM	13
sid2	NCM	sid2_NCM	13
sid2	NCM	sid2_NCM	15
sid2	NCM	sid2_NCM	13
sid2	NCM	sid2_NCM	16
sid2	NCM	sid2_NCM	13
sid2	NCM	sid2_NCM	13
sid2	NCM	sid2_NCM	16
sid2	NCM	sid2_NCM	12
sid2	NCM	sid2_NCM	12
sid2	NCM	sid2_NCM	12
sid2	NCM	sid2_NCM	11
sav	NCM	sav_NCM	14
sav	NCM	sav_NCM	14
sav	NCM	sav_NCM	14
sav	NCM	sav_NCM	14
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	11
sav	NCM	sav_NCM	10
