geno	condition	lab	leaf length	leaf width	y
sid2	NCM	sid2_NCM	0.9800 	0.6070 	1.614497529
sid2	NCM	sid2_NCM	0.9200 	0.4420 	2.081447964
sid2	NCM	sid2_NCM	0.8600 	0.4050 	2.12345679
sid2	NCM	sid2_NCM	0.8390 	0.4950 	1.694949495
sid2	NCM	sid2_NCM	0.8330 	0.4730 	1.761099366
sid2	NCM	sid2_NCM	0.7840 	0.4110 	1.907542579
sid2	NCM	sid2_NCM	0.7780 	0.5200 	1.496153846
sid2	NCM	sid2_NCM	0.7730 	0.4860 	1.590534979
sid2	NCM	sid2_NCM	0.7710 	0.5690 	1.355008787
sid2	NCM	sid2_NCM	0.7490 	0.3240 	2.311728395
sid2	NCM	sid2_NCM	0.7490 	0.4600 	1.62826087
sid2	NCM	sid2_NCM	0.7480 	0.5900 	1.26779661
sid2	NCM	sid2_NCM	0.7370 	0.4500 	1.637777778
sid2	NCM	sid2_NCM	0.7350 	0.3910 	1.879795396
sid2	NCM	sid2_NCM	0.7120 	0.4560 	1.561403509
sid2	NCM	sid2_NCM	0.7060 	0.4810 	1.467775468
sid2	NCM	sid2_NCM	0.7030 	0.4200 	1.673809524
sid2	NCM	sid2_NCM	0.6940 	0.3990 	1.739348371
sid2	NCM	sid2_NCM	0.6910 	0.3930 	1.75826972
sid2	NCM	sid2_NCM	0.6900 	0.5110 	1.350293542
sid2	NCM	sid2_NCM	0.6890 	0.4630 	1.48812095
sid2	NCM	sid2_NCM	0.6840 	0.4210 	1.624703088
sid2	NCM	sid2_NCM	0.6830 	0.4480 	1.524553571
sid2	NCM	sid2_NCM	0.6790 	0.5000 	1.358
sid2	NCM	sid2_NCM	0.6760 	0.4160 	1.625
sid2	NCM	sid2_NCM	0.6720 	0.4210 	1.596199525
sid2	NCM	sid2_NCM	0.6660 	0.5700 	1.168421053
sid2	NCM	sid2_NCM	0.6660 	0.3970 	1.677581864
sid2	NCM	sid2_NCM	0.6610 	0.4210 	1.570071259
sid2	NCM	sid2_NCM	0.6500 	0.4140 	1.570048309
sid2	NCM	sid2_NCM	0.6480 	0.5190 	1.248554913
sid2	NCM	sid2_NCM	0.6440 	0.4270 	1.508196721
sid2	NCM	sid2_NCM	0.6440 	0.4890 	1.316973415
sid2	NCM	sid2_NCM	0.6420 	0.3330 	1.927927928
sid2	NCM	sid2_NCM	0.6340 	0.4970 	1.275653924
sid2	NCM	sid2_NCM	0.6340 	0.3020 	2.099337748
sid2	NCM	sid2_NCM	0.6330 	0.5440 	1.163602941
sid2	NCM	sid2_NCM	0.6320 	0.5860 	1.078498294
sid2	NCM	sid2_NCM	0.6280 	0.3320 	1.891566265
sid2	NCM	sid2_NCM	0.6240 	0.3840 	1.625
sid2	NCM	sid2_NCM	0.6240 	0.3890 	1.604113111
sid2	NCM	sid2_NCM	0.6190 	0.2200 	2.813636364
sid2	NCM	sid2_NCM	0.6160 	0.3840 	1.604166667
sid2	NCM	sid2_NCM	0.6130 	0.3950 	1.551898734
sid2	NCM	sid2_NCM	0.6120 	0.3960 	1.545454545
sid2	NCM	sid2_NCM	0.6120 	0.3960 	1.545454545
sid2	NCM	sid2_NCM	0.6090 	0.4410 	1.380952381
sid2	NCM	sid2_NCM	0.6070 	0.4220 	1.438388626
sid2	NCM	sid2_NCM	0.6030 	0.4330 	1.3926097
sid2	NCM	sid2_NCM	0.6000 	0.4270 	1.405152225
sid2	NCM	sid2_NCM	0.5990 	0.4760 	1.258403361
sid2	NCM	sid2_NCM	0.5970 	0.4740 	1.259493671
sid2	NCM	sid2_NCM	0.5960 	0.3270 	1.822629969
sid2	NCM	sid2_NCM	0.5950 	0.3800 	1.565789474
sid2	NCM	sid2_NCM	0.5940 	0.4490 	1.322939866
sid2	NCM	sid2_NCM	0.5930 	0.4080 	1.453431373
sid2	NCM	sid2_NCM	0.5920 	0.2570 	2.303501946
sid2	NCM	sid2_NCM	0.5880 	0.4940 	1.190283401
sid2	NCM	sid2_NCM	0.5880 	0.4660 	1.261802575
sid2	NCM	sid2_NCM	0.5870 	0.3720 	1.577956989
sid2	NCM	sid2_NCM	0.5870 	0.4130 	1.421307506
sid2	NCM	sid2_NCM	0.5860 	0.4080 	1.43627451
sid2	NCM	sid2_NCM	0.5840 	0.5380 	1.085501859
sid2	NCM	sid2_NCM	0.5830 	0.5240 	1.11259542
sid2	NCM	sid2_NCM	0.5800 	0.5280 	1.098484848
sid2	NCM	sid2_NCM	0.5800 	0.3760 	1.542553191
sid2	NCM	sid2_NCM	0.5790 	0.3490 	1.659025788
sid2	NCM	sid2_NCM	0.5770 	0.3960 	1.457070707
sid2	NCM	sid2_NCM	0.5750 	0.4390 	1.309794989
sid2	NCM	sid2_NCM	0.5750 	0.4910 	1.17107943
sid2	NCM	sid2_NCM	0.5740 	0.4310 	1.331786543
sid2	NCM	sid2_NCM	0.5730 	0.4160 	1.377403846
sid2	NCM	sid2_NCM	0.5700 	0.3240 	1.759259259
sid2	NCM	sid2_NCM	0.5700 	0.4170 	1.366906475
sid2	NCM	sid2_NCM	0.5670 	0.3270 	1.733944954
sid2	NCM	sid2_NCM	0.5670 	0.3860 	1.468911917
sid2	NCM	sid2_NCM	0.5660 	0.4530 	1.249448124
sid2	NCM	sid2_NCM	0.5650 	0.3300 	1.712121212
sid2	NCM	sid2_NCM	0.5650 	0.4360 	1.29587156
sid2	NCM	sid2_NCM	0.5640 	0.3690 	1.528455285
sid2	NCM	sid2_NCM	0.5630 	0.3770 	1.4933687
sid2	NCM	sid2_NCM	0.5610 	0.3980 	1.409547739
sid2	NCM	sid2_NCM	0.5600 	0.3750 	1.493333333
sid2	NCM	sid2_NCM	0.5590 	0.4120 	1.356796117
sid2	NCM	sid2_NCM	0.5570 	0.3820 	1.458115183
sid2	NCM	sid2_NCM	0.5550 	0.3680 	1.508152174
sid2	NCM	sid2_NCM	0.5550 	0.2900 	1.913793103
sid2	NCM	sid2_NCM	0.5540 	0.4300 	1.288372093
sid2	NCM	sid2_NCM	0.5540 	0.3550 	1.56056338
sid2	NCM	sid2_NCM	0.5530 	0.4870 	1.135523614
sid2	NCM	sid2_NCM	0.5440 	0.3970 	1.370277078
sid2	NCM	sid2_NCM	0.5440 	0.3310 	1.643504532
sid2	NCM	sid2_NCM	0.5390 	0.3340 	1.613772455
sid2	NCM	sid2_NCM	0.5360 	0.4380 	1.223744292
sid2	NCM	sid2_NCM	0.5350 	0.3540 	1.511299435
sid2	NCM	sid2_NCM	0.5340 	0.3830 	1.394255875
sid2	NCM	sid2_NCM	0.5340 	0.3460 	1.543352601
sid2	NCM	sid2_NCM	0.5330 	0.3670 	1.452316076
sid2	NCM	sid2_NCM	0.5310 	0.5910 	0.898477157
