geno	condition	lab	petiole_length
dde2	LP	dde2_LP	0.351 
dde2	LP	dde2_LP	0.616 
dde2	LP	dde2_LP	0.646 
dde2	LP	dde2_LP	0.535 
dde2	LP	dde2_LP	0.345 
dde2	LP	dde2_LP	0.584 
dde2	LP	dde2_LP	0.523 
dde2	LP	dde2_LP	0.282 
dde2	LP	dde2_LP	0.473 
dde2	NC	dde2_NC	0.372 
dde2	NC	dde2_NC	0.487 
dde2	NC	dde2_NC	0.379 
dde2	NC	dde2_NC	0.554 
dde2	NC	dde2_NC	0.618 
dde2	NC	dde2_NC	0.350 
dde2	NC	dde2_NC	0.441 
dde2	NC	dde2_NC	0.459 
dde2	NC	dde2_NC	0.499 
dde2	LPM	dde2_LPM	0.588 
dde2	LPM	dde2_LPM	0.553 
dde2	LPM	dde2_LPM	0.341 
dde2	LPM	dde2_LPM	0.534 
dde2	LPM	dde2_LPM	0.659 
dde2	LPM	dde2_LPM	0.760 
dde2	LPM	dde2_LPM	0.403 
dde2	LPM	dde2_LPM	0.489 
dde2	LPM	dde2_LPM	0.425 
dde2	NCM	dde2_NCM	0.625 
dde2	NCM	dde2_NCM	0.481 
dde2	NCM	dde2_NCM	0.685 
dde2	NCM	dde2_NCM	0.399 
dde2	NCM	dde2_NCM	0.861 
dde2	NCM	dde2_NCM	0.867 
dde2	NCM	dde2_NCM	0.550 
dde2	NCM	dde2_NCM	0.474 
dde2	NCM	dde2_NCM	0.762 
col0	LP	col0_LP	0.504 
col0	LP	col0_LP	0.649 
col0	LP	col0_LP	0.315 
col0	LP	col0_LP	0.352 
col0	LP	col0_LP	0.365 
col0	LP	col0_LP	0.540 
col0	LP	col0_LP	0.579 
col0	LP	col0_LP	0.361 
col0	LP	col0_LP	0.396 
col0	LP	col0_LP	0.332 
col0	LP	col0_LP	0.335 
col0	LP	col0_LP	0.336 
col0	LP	col0_LP	0.388 
col0	LP	col0_LP	0.296 
col0	LP	col0_LP	0.376 
col0	LP	col0_LP	0.236 
col0	LP	col0_LP	0.218 
col0	LP	col0_LP	0.176 
col0	LP	col0_LP	0.255 
col0	LP	col0_LP	0.160 
col0	LP	col0_LP	0.250 
col0	LP	col0_LP	0.230 
col0	LP	col0_LP	0.201 
col0	LP	col0_LP	0.194 
col0	LP	col0_LP	0.448 
col0	LP	col0_LP	0.392 
col0	LP	col0_LP	0.565 
col0	LP	col0_LP	0.576 
col0	LP	col0_LP	0.439 
col0	LP	col0_LP	0.338 
col0	LP	col0_LP	0.357 
col0	LP	col0_LP	0.517 
col0	LP	col0_LP	0.506 
col0	LP	col0_LP	0.466 
col0	LP	col0_LP	0.405 
col0	LP	col0_LP	0.490 
dellap	LP	dellap_LP	0.485 
dellap	LP	dellap_LP	0.387 
dellap	LP	dellap_LP	0.476 
dellap	LP	dellap_LP	0.465 
dellap	LP	dellap_LP	0.433 
dellap	LP	dellap_LP	0.470 
dellap	LP	dellap_LP	0.587 
dellap	LP	dellap_LP	0.309 
dellap	LP	dellap_LP	0.380 
dellap	LP	dellap_LP	0.566 
dellap	LP	dellap_LP	0.343 
dellap	LP	dellap_LP	0.577 
dellap	LP	dellap_LP	0.552 
dellap	LP	dellap_LP	0.437 
dellap	LP	dellap_LP	0.395 
dellap	LP	dellap_LP	0.611 
dellap	LP	dellap_LP	0.477 
dellap	LP	dellap_LP	0.441 
dellap	LP	dellap_LP	0.537 
dellap	LP	dellap_LP	0.544 
dellap	LP	dellap_LP	0.429 
dellap	LP	dellap_LP	0.449 
dellap	LP	dellap_LP	0.418 
dellap	LP	dellap_LP	0.492 
dellap	LP	dellap_LP	0.338 
dellap	LP	dellap_LP	0.546 
dellap	LP	dellap_LP	0.402 
dellap	LPM	dellap_LPM	0.742 
dellap	LPM	dellap_LPM	0.886 
dellap	LPM	dellap_LPM	0.612 
dellap	LPM	dellap_LPM	0.863 
dellap	LPM	dellap_LPM	0.800 
dellap	LPM	dellap_LPM	0.635 
dellap	LPM	dellap_LPM	0.805 
dellap	LPM	dellap_LPM	0.712 
dellap	LPM	dellap_LPM	0.711 
jazq	LP	jazq_LP	0.156 
jazq	LP	jazq_LP	0.168 
jazq	LP	jazq_LP	0.175 
jazq	LP	jazq_LP	0.196 
jazq	LP	jazq_LP	0.197 
jazq	LPM	jazq_LPM	0.200 
jazq	LP	jazq_LP	0.212 
jazq	LP	jazq_LP	0.214 
jazq	LPM	jazq_LPM	0.245 
jazq	LP	jazq_LP	0.248 
jazq	NC	jazq_NC	0.254 
jazq	LP	jazq_LP	0.255 
jazq	NC	jazq_NC	0.256 
jazq	NC	jazq_NC	0.265 
jazq	LPM	jazq_LPM	0.267 
jazq	NCM	jazq_NCM	0.272 
jazq	LP	jazq_LP	0.275 
jazq	NCM	jazq_NCM	0.277 
jazq	NC	jazq_NC	0.278 
jazq	NC	jazq_NC	0.283 
