geno	lab	microbe	light	condition	y
col_0	NC	-BFO	NC	col_0_NC	6.554068213
col_0	NC	-BFO	NC	col_0_NC	6.483515477
col_0	NC	-BFO	NC	col_0_NC	6.708729842
col_0	NC	-BFO	NC	col_0_NC	6.407823243
col_0	NC	-BFO	NC	col_0_NC	6.475336655
col_0	NC	-BFO	NC	col_0_NC	6.237253253
col_0	NC	-BFO	NC	col_0_NC	6.584099662
col_0	NC	-BFO	NC	col_0_NC	6.530565574
col_0	NC	-BFO	NC	col_0_NC	6.91139768
col_0	NC+M	+BFO	NC	col_0_NC+M	6.408935393
col_0	NC+M	+BFO	NC	col_0_NC+M	5.960045377
col_0	NC+M	+BFO	NC	col_0_NC+M	6.193066696
col_0	NC+M	+BFO	NC	col_0_NC+M	6.116338565
col_0	NC+M	+BFO	NC	col_0_NC+M	5.746108401
col_0	NC+M	+BFO	NC	col_0_NC+M	6.063821491
col_0	NC+M	+BFO	NC	col_0_NC+M	6.408935393
col_0	NC+M	+BFO	NC	col_0_NC+M	6.382427842
col_0	NC+M	+BFO	NC	col_0_NC+M	6.318005433
col_0	LP	-BFO	LP	col_0_LP	7.632023215
col_0	LP	-BFO	LP	col_0_LP	7.510979522
col_0	LP	-BFO	LP	col_0_LP	7.193203568
col_0	LP	-BFO	LP	col_0_LP	7.459329322
col_0	LP	-BFO	LP	col_0_LP	7.647817482
col_0	LP	-BFO	LP	col_0_LP	7.519362172
col_0	LP	-BFO	LP	col_0_LP	7.116906641
col_0	LP	-BFO	LP	col_0_LP	7.319223
col_0	LP	-BFO	LP	col_0_LP	7.614148491
col_0	LP+M	+BFO	LP	col_0_LP+M	6.25929413
col_0	LP+M	+BFO	LP	col_0_LP+M	6.583400079
col_0	LP+M	+BFO	LP	col_0_LP+M	6.594751979
col_0	LP+M	+BFO	LP	col_0_LP+M	6.620413193
col_0	LP+M	+BFO	LP	col_0_LP+M	6.665969744
col_0	LP+M	+BFO	LP	col_0_LP+M	6.552841969
col_0	LP+M	+BFO	LP	col_0_LP+M	6.697845513
col_0	LP+M	+BFO	LP	col_0_LP+M	6.542393322
col_0	LP+M	+BFO	LP	col_0_LP+M	6.893666508
sav	NC	-BFO	NC	sav_NC	6.664207898
sav	NC	-BFO	NC	sav_NC	6.583026827
sav	NC	-BFO	NC	sav_NC	6.420851801
sav	NC	-BFO	NC	sav_NC	6.361126921
sav	NC	-BFO	NC	sav_NC	6.415668776
sav	NC	-BFO	NC	sav_NC	6.444407711
sav	NC	-BFO	NC	sav_NC	6.394560268
sav	NC	-BFO	NC	sav_NC	6.409521881
sav	NC	-BFO	NC	sav_NC	6.409521881
sav	NC+M	+BFO	NC	sav_NC+M	6.116023288
sav	NC+M	+BFO	NC	sav_NC+M	6.259637311
sav	NC+M	+BFO	NC	sav_NC+M	6.229147988
sav	NC+M	+BFO	NC	sav_NC+M	6.211831629
