lab	y	rep
NC	-0.068838039	1
NC	-0.627648762	1
NC	-0.579642458	1
NC+(B-P)	-1.641907284	1
NC+(B-P)	-1.765889874	1
NC+(B-P)	-1.819746555	1
NC+P	-1.211011639	1
NC+P	-1.495714427	1
NC+P	-0.84150881	1
NC+B	-1.82635467	1
NC+B	-1.799403868	1
NC+B	-2.386218968	1
LP	0.226833742	1
LP	0.352443473	1
LP	0.271947608	1
LP+(B-P)	-1.765250875	1
LP+(B-P)	-1.866416112	1
LP+(B-P)	-2.089514896	1
LP+P	-0.764376171	1
LP+P	-1.083074301	1
LP+P	-1.428241223	1
LP+B	-1.685227996	1
LP+B	-1.555821949	1
LP+B	-1.608034661	1
NC	-0.379630111	2
NC	-0.639293554	2
NC	-0.452841406	2
NC+(B-P)	-2.039320309	2
NC+(B-P)	-1.995451063	2
NC+(B-P)	-1.808462028	2
NC+P	-1.118524358	2
NC+P	-0.947166903	2
NC+P	-1.380370729	2
NC+B	-2.175476223	2
NC+B	-1.795106561	2
NC+B	-1.87835132	2
LP	0.217203374	2
LP	0.248719606	2
LP	0.283588167	2
LP+(B-P)	-1.576949289	2
LP+(B-P)	-2.071045593	2
LP+(B-P)	-1.77929768	2
LP+P	-1.450595265	2
LP+P	-0.151524157	2
LP+P	-0.881980449	2
LP+B	-1.403613051	2
LP+B	-1.257099597	2
LP+B	-1.659463997	2
NC	-0.173565885	3
NC	-0.721780766	3
NC	-0.457603293	3
NC+(B-P)	-2.025568013	3
NC+(B-P)	-1.925171875	3
NC+(B-P)	-1.729822263	3
NC+P	-1.30841402	3
NC+P	-1.074808108	3
NC+P	-1.237389933	3
NC+B	-2.086171411	3
NC+B	-1.745340701	3
NC+B	-1.92085981	3
LP	0.495682696	3
LP	0.320323777	3
LP	0.356441448	3
LP+(B-P)	-1.666622225	3
LP+(B-P)	-2.149771076	3
LP+(B-P)	-1.863027058	3
LP+P	-1.200585634	3
LP+P	-0.965339496	3
LP+P	-0.79516756	3
LP+B	-1.440566583	3
LP+B	-1.343522597	3
LP+B	-1.573916481	3
