lab	light	y	lab1
NC-BFO	NC	2.39	1
NC-BFO	NC	3.78	1
NC-BFO	NC	3.24	1
NC-BFO	NC	2.99	1
NC-BFO	NC	3.76	1
NC-BFO	NC	3.27	1
NC-BFO	NC	3.91	1
NC-BFO	NC	3.85	1
NC-BFO	NC	2.41	1
NC-BFO	NC	3.53	1
NC-BFO	NC	3	1
NC-BFO	NC	2.86	1
NC-BFO	NC	3.97	1
NC-BFO	NC	2.34	1
NC-BFO	NC	2.83	1
NC-BFO	NC	2.22	1
NC-BFO	NC	2.59	1
NC-BFO	NC	3.48	1
NC-BFO	NC	3.4	1
NC-BFO	NC	2.81	1
NC-BFO	NC	3.75	1
NC-BFO	NC	2.83	1
NC-BFO	NC	2.63	1
NC-BFO	NC	2.92	1
NC-BFO	NC	2.86	1
NC-BFO	NC	3.12	1
NC-BFO	NC	3.57	1
NC-BFO	NC	4.13	1
NC-BFO	NC	3.63	1
NC-BFO	NC	3.8	1
NC-BFO	NC	3.33	1
NC-BFO	NC	3.45	1
NC-BFO	NC	2.77	1
NC-BFO	NC	3.34	1
NC-BFO	NC	3.78	1
NC-BFO	NC	3.39	1
NC+Pseu	NC	3.96	3
NC+Pseu	NC	3.23	3
NC+Pseu	NC	3.56	3
NC+Pseu	NC	4.18	3
NC+Pseu	NC	2.15	3
NC+Pseu	NC	3.45	3
NC+Pseu	NC	3.9	3
NC+Pseu	NC	3.19	3
NC+Pseu	NC	3.67	3
NC+Pseu	NC	3.04	3
NC+Pseu	NC	3.59	3
NC+Pseu	NC	3.06	3
NC+Pseu	NC	4.07	3
NC+Pseu	NC	3.61	3
NC+Pseu	NC	2.36	3
NC+Pseu	NC	4.06	3
NC+Pseu	NC	3.15	3
NC+Pseu	NC	3.46	3
NC+Pseu	NC	3.6	3
NC+Pseu	NC	3.67	3
NC+Pseu	NC	3.17	3
NC+Pseu	NC	3.44	3
NC+Pseu	NC	3.67	3
NC+Pseu	NC	2.52	3
NC+Pseu	NC	3.12	3
NC+Pseu	NC	3.39	3
NC+Pseu	NC	2.66	3
NC+Pseu	NC	2.78	3
