lab	y
NC	6.456585522
NC	6.594678038
NC	6.427903232
NC	6.567400689
NC	6.536355819
NC	6.723659152
NC	6.496449635
NC	6.647817482
NC	6.627087997
NC+(B-Pseu)	6.091514981
NC+(B-Pseu)	6.121095398
NC+(B-Pseu)	6.152251121
NC+(B-Pseu)	5.929592678
NC+(B-Pseu)	5.665546249
NC+(B-Pseu)	5.91721463
NC+(B-Pseu)	5.957621402
NC+(B-Pseu)	6.045068681
NC+(B-Pseu)	6.105130343
NC+Pseu	6.258203994
NC+Pseu	6.362874306
NC+Pseu	6.262807357
NC+Pseu	6.233463228
NC+Pseu	6.340888659
NC+Pseu	6.380211242
NC+Pseu	6.365270892
NC+Pseu	6.396954096
NC+Pseu	6.436087639
NC+B	5.943095149
NC+B	6.005096557
NC+B	5.835647144
NC+B	6.047368975
NC+B	6.092857469
NC+B	5.798602876
NC+B	6.107905397
NC+B	6.132728981
NC+B	5.940815382
LP	7.27572413
LP	7.476253533
LP	7.585026652
LP	7.387216143
LP	7.525298219
LP	7.728933228
LP	7.576754126
LP	7.229147988
LP	7.091514981
LP+(B-Pseu)	5.948847478
LP+(B-Pseu)	6.017728767
LP+(B-Pseu)	6.153353671
LP+(B-Pseu)	6.075720714
LP+(B-Pseu)	5.948847478
LP+(B-Pseu)	5.982966661
LP+(B-Pseu)	6.190440285
LP+(B-Pseu)	5.943095149
LP+(B-Pseu)	5.984360866
LP+Pseu	6.13076828
LP+Pseu	6.236572006
LP+Pseu	6.380211242
LP+Pseu	6.443697499
LP+Pseu	6.318758763
LP+Pseu	6.494850022
LP+Pseu	6.165897344
LP+Pseu	6.441691517
LP+Pseu	6.289600534
LP+B	6.296708622
LP+B	6.238072162
LP+B	6.262277407
LP+B	6.173925197
LP+B	6.325598187
LP+B	6.122053048
LP+B	6.251811973
LP+B	6.342944147
LP+B	6.283996656
