names,strains
Root102,Root102-Root695
Root105,Root105-Root413D1
Root1212,Root1212
Root1252,Root31-Root127-Root142-Root231-Root258-Root1252
Root1280,Root1280
Root1293,Root60-Root1293
Root1294,Root50-Root720-Root1294
Root1295,Root63-Root1295-Root1319
Root135,Root135
Root157,Root157
Root179,Root179-Root561
Root811,Root85-Root181-Soil810-Soil811
Root217,Root217-Root219-Root402-Root568
Root240,Root79-Root240
Root265,Root265
Root267,Root267-Root275
Root318D1,Root318D1
Root369,Root369
Root381,Root381
Root401,Root401
Root444D2,Root444D2-Soil724D2
Root482,Root73-Root482-Root1334-Root483D2
Root491,Root491-Root651
Root53,Root53
Root559,Root76-Root96-Root559-Root667
Root562,Root562
Root565,Root565
Root61,Root61
Root630,Root65-Root630
Root685,Root685
Root710,Root710
Root763,Soil763
Root764,Soil764
Root772,Soil772
Root773,Soil773
Root787,Soil787
Root83,Root83
