NC_Shoot_N_1	NC_Shoot_N_2	NC_Shoot_N_3	NC_Shoot_Y_1	NC_Shoot_Y_2	NC_Shoot_Y_3	SC_Shoot_N_1	SC_Shoot_N_2	SC_Shoot_N_3	SC_Shoot_Y_1	SC_Shoot_Y_2	SC_Shoot_Y_3	NC_Root_N_1	NC_Root_N_2	NC_Root_N_3	NC_Root_Y_1	NC_Root_Y_2	NC_Root_Y_3	SC_Root_N_1	SC_Root_N_2	SC_Root_N_3	SC_Root_Y_1	SC_Root_Y_2	SC_Root_Y_3
AT1G01010	2	5	12	10	8	33	4	5	12	2	11	4	188	166	98	61	151	132	93	114	173	66	181	239
AT1G01020	5	18	26	44	65	76	21	34	55	12	106	21	31	28	14	14	40	29	6	25	18	11	32	65
AT1G01030	1	10	9	11	23	17	6	8	19	6	24	8	16	14	10	7	25	13	9	9	10	5	10	20
AT1G01040	19	54	143	199	232	352	72	155	207	57	231	69	274	240	113	117	342	286	121	187	212	94	419	580
AT1G01046	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	2
AT1G01050	16	50	89	162	190	257	53	107	100	28	131	68	173	180	116	105	253	194	127	162	249	54	230	320
AT1G01060	10	24	33	34	46	54	20	40	50	4	11	7	79	106	40	18	70	107	82	157	207	84	233	388
AT1G01070	1	2	4	9	1	14	2	3	3	1	5	0	60	65	38	69	126	114	31	64	65	92	236	352
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AT1G01080	31	78	169	269	333	437	101	215	214	50	297	73	9	16	7	11	17	25	6	14	5	3	22	36
AT1G01090	85	221	410	665	865	1091	239	532	587	148	908	241	467	483	264	275	807	560	249	470	594	176	668	869
AT1G01100	50	161	289	397	515	688	241	375	522	123	1160	333	714	586	455	330	815	508	442	617	803	155	657	728
AT1G01110	1	2	11	1	11	10	5	5	6	1	23	3	85	63	28	29	98	71	40	77	108	4	47	67
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	11	31	44	56	163	156	21	51	64	19	106	15	251	251	128	74	141	75	118	124	187	66	236	300
AT1G01130	0	3	6	2	4	6	3	3	2	0	13	2	4	0	0	1	0	1	1	0	1	0	1	4
AT1G01140	57	148	309	331	479	634	126	321	301	58	324	85	18	21	8	0	3	2	8	12	15	1	1	4
AT1G01150	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AT1G01160	18	42	67	116	120	210	43	115	154	29	186	60	178	175	78	73	242	198	88	114	145	79	192	268
AT1G01170	27	93	140	179	238	335	81	163	196	50	427	107	9	9	4	17	15	25	4	6	8	5	23	19
AT1G01180	9	21	37	91	101	150	35	50	75	24	113	23	67	48	37	29	46	45	32	28	44	19	83	98
AT1G01183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01190	0	1	1	10	17	13	4	7	13	3	31	4	223	234	179	152	394	358	125	193	259	246	652	714
AT1G01200	0	0	0	1	1	0	3	0	0	0	0	0	7	16	7	4	10	6	2	12	9	0	11	15
AT1G01210	3	7	13	27	44	26	11	27	38	9	32	8	36	26	15	17	35	33	14	17	28	18	59	74
AT1G01220	10	31	73	109	134	190	38	115	118	28	119	43	105	109	46	51	135	100	60	100	138	45	128	162
AT1G01225	1	2	1	1	13	16	10	10	5	2	19	2	16	39	21	6	20	10	10	13	25	10	25	36
AT1G01230	14	31	51	139	153	219	46	95	77	29	125	38	127	127	97	77	184	109	82	90	140	51	195	209
AT1G01240	32	71	134	292	306	498	53	197	219	77	473	121	124	102	74	80	158	134	62	45	98	39	201	275
AT1G01250	1	6	5	4	3	14	6	2	12	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01260	12	24	41	122	148	226	32	81	111	38	138	54	122	131	77	51	119	104	56	78	106	40	187	207
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	6	16	33	38	54	72	12	28	47	4	49	12	44	37	19	15	62	51	32	36	41	17	60	70
AT1G01300	10	32	55	114	136	240	64	92	120	21	185	53	220	259	116	108	355	276	145	253	294	94	287	356
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AT1G01320	291	745	1644	1725	2124	2689	544	1518	1460	257	983	376	133	129	48	81	215	205	74	80	122	61	167	271
AT1G01340	2	2	8	69	57	119	17	40	26	5	58	34	215	290	139	98	311	217	126	207	311	113	410	459
AT1G01350	6	17	59	72	129	140	29	75	79	32	123	52	103	105	46	52	134	107	47	71	115	47	129	218
AT1G01355	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
AT1G01360	9	17	46	51	65	82	19	34	44	8	60	13	141	126	83	71	165	136	48	60	105	53	185	270
AT1G01370	2	2	3	4	11	8	2	11	10	0	18	5	18	9	2	11	18	11	7	18	17	0	12	11
AT1G01380	0	0	1	1	3	0	0	1	2	1	4	1	32	34	19	6	18	13	8	3	7	4	29	36
AT1G01390	1	7	27	8	14	12	4	13	16	0	3	2	1	0	0	2	0	0	0	0	0	0	0	3
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	7	22	60	29	37	55	15	51	53	9	89	19	6	3	2	6	10	14	3	2	4	2	8	7
