geno	lab	microbe	light	condition	y
myc2flag	NC	-BFO	NC	myc2flag_NC	7.068881289
myc2flag	NC	-BFO	NC	myc2flag_NC	6.800076132
myc2flag	NC	-BFO	NC	myc2flag_NC	6.878032503
myc2flag	NC	-BFO	NC	myc2flag_NC	6.607051937
myc2flag	NC	-BFO	NC	myc2flag_NC	6.800935889
myc2flag	NC	-BFO	NC	myc2flag_NC	6.866461092
myc2flag	NC	-BFO	NC	myc2flag_NC	6.671249838
myc2flag	NC	-BFO	NC	myc2flag_NC	6.397368944
myc2flag	NC	-BFO	NC	myc2flag_NC	6.42148813
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	5.875821945
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.178268178
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.337242168
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.340688968
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.446723954
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.330218385
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.112804823
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.432866652
myc2flag	NC+M	+BFO	NC	myc2flag_NC+M	6.283162277
myc2flag	LP	-BFO	LP	myc2flag_LP	7.448431001
myc2flag	LP	-BFO	LP	myc2flag_LP	7.245982429
myc2flag	LP	-BFO	LP	myc2flag_LP	7.266498345
myc2flag	LP	-BFO	LP	myc2flag_LP	7.678952891
myc2flag	LP	-BFO	LP	myc2flag_LP	7.37804518
myc2flag	LP	-BFO	LP	myc2flag_LP	7.655935372
myc2flag	LP	-BFO	LP	myc2flag_LP	7.326058001
myc2flag	LP	-BFO	LP	myc2flag_LP	7.400732909
myc2flag	LP	-BFO	LP	myc2flag_LP	7.569622149
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.602059991
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.566543246
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.616940915
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.539603363
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.649344002
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.879151979
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.775396315
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.695642061
myc2flag	LP+M	+BFO	LP	myc2flag_LP+M	6.387216143
myc2	NC	-BFO	NC	myc2_NC	5.778846678
myc2	NC	-BFO	NC	myc2_NC	5.83342189
myc2	NC	-BFO	NC	myc2_NC	5.693932564
myc2	NC	-BFO	NC	myc2_NC	5.632644079
myc2	NC	-BFO	NC	myc2_NC	5.948461609
myc2	NC	-BFO	NC	myc2_NC	5.82198282
myc2	NC	-BFO	NC	myc2_NC	6.188042187
myc2	NC	-BFO	NC	myc2_NC	6.332547047
myc2	NC	-BFO	NC	myc2_NC	6.321351573
myc2	NC+M	+BFO	NC	myc2_NC+M	5.661045748
myc2	NC+M	+BFO	NC	myc2_NC+M	5.469800302
myc2	NC+M	+BFO	NC	myc2_NC+M	5.751209622
myc2	NC+M	+BFO	NC	myc2_NC+M	5.54668166
myc2	NC+M	+BFO	NC	myc2_NC+M	5.350665141
myc2	NC+M	+BFO	NC	myc2_NC+M	5.309360988
myc2	NC+M	+BFO	NC	myc2_NC+M	5.473014931
myc2	NC+M	+BFO	NC	myc2_NC+M	5.661543506
myc2	NC+M	+BFO	NC	myc2_NC+M	5.687716834
myc2	LP	-BFO	LP	myc2_LP	7.10720997
myc2	LP	-BFO	LP	myc2_LP	6.869666232
myc2	LP	-BFO	LP	myc2_LP	6.729750339
myc2	LP	-BFO	LP	myc2_LP	7.102765758
myc2	LP	-BFO	LP	myc2_LP	7.177831921
myc2	LP	-BFO	LP	myc2_LP	7.107905397
myc2	LP	-BFO	LP	myc2_LP	6.837844519
myc2	LP	-BFO	LP	myc2_LP	6.978810701
myc2	LP	-BFO	LP	myc2_LP	6.810493173
myc2	LP+M	+BFO	LP	myc2_LP+M	5.798906472
myc2	LP+M	+BFO	LP	myc2_LP+M	5.548981548
myc2	LP+M	+BFO	LP	myc2_LP+M	5.453868795
myc2	LP+M	+BFO	LP	myc2_LP+M	5.728933228
myc2	LP+M	+BFO	LP	myc2_LP+M	5.402304814
myc2	LP+M	+BFO	LP	myc2_LP+M	5.433758977
myc2	LP+M	+BFO	LP	myc2_LP+M	5.452401087
myc2	LP+M	+BFO	LP	myc2_LP+M	5.311580178
myc2	LP+M	+BFO	LP	myc2_LP+M	5.402304814
