lab	cs	light	microbe
NCM	4.018	NC	+BFO
NCM	3.857	NC	+BFO
NCM	3.732	NC	+BFO
NCM	2.531	NC	+BFO
NCM	3.57	NC	+BFO
NCM	2.622	NC	+BFO
NCM	3.552	NC	+BFO
NCM	3.79	NC	+BFO
NCM	3.654	NC	+BFO
NCM	3.442	NC	+BFO
NCM	2.346	NC	+BFO
NCM	3.411	NC	+BFO
NCM	3.511	NC	+BFO
NCM	3.28	NC	+BFO
NCM	3.201	NC	+BFO
NCM	3.083	NC	+BFO
NCM	3.15	NC	+BFO
NCM	2.88	NC	+BFO
NCB	3.188	NC	+B
NCB	3.862	NC	+B
NCB	3.509	NC	+B
NCB	3.6	NC	+B
NCB	3.611	NC	+B
NCB	3.511	NC	+B
NCB	3.442	NC	+B
NCB	3.654	NC	+B
NCB	3.11	NC	+B
NCB	3.193	NC	+B
NCB	3.07	NC	+B
NCB	3.016	NC	+B
NCB	3.142	NC	+B
NCB	2.996	NC	+B
NCB	3.093	NC	+B
NCB	2.22	NC	+B
NCB	2.214	NC	+B
NCB	1.995	NC	+B
NC	3.956	NC	-BFO
NC	3.875	NC	-BFO
NC	3.429	NC	-BFO
NC	3.981	NC	-BFO
NC	3.71	NC	-BFO
NC	3.98	NC	-BFO
NC	2.845	NC	-BFO
NC	3.812	NC	-BFO
NC	3.579	NC	-BFO
NC	3.521	NC	-BFO
NC	3.064	NC	-BFO
NC	3.146	NC	-BFO
NC	2.556	NC	-BFO
NC	2.453	NC	-BFO
NC	3.412	NC	-BFO
NC	2.174	NC	-BFO
NC	1.942	NC	-BFO
NC	1.965	NC	-BFO
LPM	3.94	LP	+BFO
LPM	3.9	LP	+BFO
LPM	3.801	LP	+BFO
LPM	3.649	LP	+BFO
LPM	3.66	LP	+BFO
LPM	3.794	LP	+BFO
LPM	3.552	LP	+BFO
LPM	3.812	LP	+BFO
LPM	3.559	LP	+BFO
LPM	3.479	LP	+BFO
LPM	3.354	LP	+BFO
LPM	3.559	LP	+BFO
LPM	3.119	LP	+BFO
LPM	3.173	LP	+BFO
LPM	3.111	LP	+BFO
LPM	2.549	LP	+BFO
LPM	2.519	LP	+BFO
LPM	2.612	LP	+BFO
LPB	2.88	LP	+B
LPB	2.971	LP	+B
LPB	2.753	LP	+B
LPB	2.579	LP	+B
LPB	3.346	LP	+B
LPB	2.753	LP	+B
LPB	2.511	LP	+B
LPB	3.442	LP	+B
LPB	3.347	LP	+B
LPB	3.135	LP	+B
LPB	3.014	LP	+B
LPB	3.197	LP	+B
LPB	2.996	LP	+B
LPB	3.09	LP	+B
LPB	2.693	LP	+B
LPB	2.061	LP	+B
LPB	1.892	LP	+B
LPB	2.581	LP	+B
LP	1.853	LP	-BFO
LP	1.888	LP	-BFO
LP	1.387	LP	-BFO
LP	1.873	LP	-BFO
LP	2.075	LP	-BFO
LP	1.886	LP	-BFO
LP	1.085	LP	-BFO
LP	2.184	LP	-BFO
LP	2.07	LP	-BFO
LP	1.193	LP	-BFO
LP	0.723	LP	-BFO
LP	0.717	LP	-BFO
LP	0.694	LP	-BFO
LP	0.591	LP	-BFO
LP	1.479	LP	-BFO
LP	0.445	LP	-BFO
LP	1.442	LP	-BFO
LP	0.881	LP	-BFO
