lab	canopysize	light	microbe
NC	2.992	NC	-M
NC	3.846	NC	-M
NC	2.564	NC	-M
NC	2.845	NC	-M
NC	2.556	NC	-M
NC	3.812	NC	-M
NC	3.579	NC	-M
NC	3.412	NC	-M
NC	3.655	NC	-M
NC	3.671	NC	-M
NC	3.71	NC	-M
NC	3.429	NC	-M
LP	1.624	LP	-M
LP	1.822	LP	-M
LP	1.653	LP	-M
LP	1.441	LP	-M
LP	1.661	LP	-M
LP	1.339	LP	-M
LP	1.416	LP	-M
LP	1.681	LP	-M
LP	1.624	LP	-M
LP	1.711	LP	-M
LP	1.703	LP	-M
LP	1.634	LP	-M
NC+M	4.343	NC	+M
NC+M	3.814	NC	+M
NC+M	3.615	NC	+M
NC+M	3.411	NC	+M
NC+M	3.206	NC	+M
NC+M	2.975	NC	+M
NC+M	2.847	NC	+M
NC+M	2.541	NC	+M
NC+M	2.649	NC	+M
NC+M	2.597	NC	+M
NC+M	2.811	NC	+M
NC+M	2.622	NC	+M
LP+M	4.517	LP	+M
LP+M	4.136	LP	+M
LP+M	3.91	LP	+M
LP+M	3.871	LP	+M
LP+M	2.941	LP	+M
LP+M	2.893	LP	+M
LP+M	2.599	LP	+M
LP+M	2.431	LP	+M
LP+M	2.478	LP	+M
LP+M	3.168	LP	+M
LP+M	2.561	LP	+M
LP+M	2.987	LP	+M
NC	3.724	NC	-M
NC	2.283	NC	-M
NC	2.704	NC	-M
NC	1.835	NC	-M
NC	1.639	NC	-M
NC	2.285	NC	-M
NC	2.164	NC	-M
NC	1.938	NC	-M
NC	2.235	NC	-M
NC	2.845	NC	-M
NC	3.012	NC	-M
NC	2.248	NC	-M
LP	0.948	LP	-M
LP	1.667	LP	-M
LP	1.275	LP	-M
LP	0.451	LP	-M
LP	0.513	LP	-M
LP	1.154	LP	-M
LP	1.561	LP	-M
LP	1.123	LP	-M
LP	1.098	LP	-M
LP	1.054	LP	-M
LP	1.125	LP	-M
LP	1.056	LP	-M
NC+M	3.148	NC	+M
NC+M	1.812	NC	+M
NC+M	2.6	NC	+M
NC+M	2.288	NC	+M
NC+M	1.919	NC	+M
NC+M	3.276	NC	+M
NC+M	2.033	NC	+M
NC+M	1.29	NC	+M
NC+M	2.111	NC	+M
NC+M	2.245	NC	+M
NC+M	3.017	NC	+M
NC+M	1.978	NC	+M
LP+M	2.648	LP	+M
LP+M	3.096	LP	+M
LP+M	3.014	LP	+M
LP+M	2.948	LP	+M
LP+M	2.971	LP	+M
LP+M	2.843	LP	+M
LP+M	4.217	LP	+M
LP+M	3.597	LP	+M
LP+M	2.986	LP	+M
LP+M	2.547	LP	+M
LP+M	2.367	LP	+M
LP+M	2.841	LP	+M
NC	3.118	NC	-M
NC	3.044	NC	-M
NC	3.263	NC	-M
NC	1.986	NC	-M
NC	2.159	NC	-M
NC	2.547	NC	-M
NC	2.514	NC	-M
NC	2.146	NC	-M
NC	1.896	NC	-M
NC	2.457	NC	-M
NC	1.996	NC	-M
NC	2.697	NC	-M
LP	0.63	LP	-M
LP	0.688	LP	-M
LP	0.714	LP	-M
LP	0.729	LP	-M
LP	0.718	LP	-M
LP	0.591	LP	-M
LP	0.483	LP	-M
LP	0.666	LP	-M
LP	0.272	LP	-M
LP	0.987	LP	-M
LP	1.367	LP	-M
LP	1.069	LP	-M
NC+M	2.226	NC	+M
NC+M	2.998	NC	+M
NC+M	2.018	NC	+M
NC+M	2.749	NC	+M
NC+M	1.888	NC	+M
NC+M	3.613	NC	+M
NC+M	2.113	NC	+M
NC+M	2.07	NC	+M
NC+M	2.221	NC	+M
NC+M	2.265	NC	+M
NC+M	2.347	NC	+M
NC+M	1.993	NC	+M
LP+M	4.045	LP	+M
LP+M	4.141	LP	+M
LP+M	4.005	LP	+M
LP+M	2.618	LP	+M
LP+M	2.847	LP	+M
LP+M	2.977	LP	+M
LP+M	3.358	LP	+M
LP+M	2.349	LP	+M
LP+M	2.824	LP	+M
LP+M	1.963	LP	+M
LP+M	2.947	LP	+M
LP+M	2.658	LP	+M
FR	2.356	FR	-M
FR	1.782	FR	-M
FR	1.813	FR	-M
FR	1.167	FR	-M
FR	1.137	FR	-M
FR	1.684	FR	-M
FR	0.993	FR	-M
FR	0.647	FR	-M
FR	0.517	FR	-M
FR+M	4.61	FR	+M
FR+M	4.676	FR	+M
FR+M	4.96	FR	+M
FR+M	3.022	FR	+M
FR+M	3.33	FR	+M
FR+M	2.509	FR	+M
FR+M	4.482	FR	+M
FR+M	3.29	FR	+M
FR+M	3.036	FR	+M
