lab	shootfreshweight	light	microbe
NC	0.0539	NC	-M
NC	0.1203	NC	-M
NC	0.0145	NC	-M
NC	0.0349	NC	-M
NC	0.0213	NC	-M
NC	0.0252	NC	-M
NC	0.0359	NC	-M
NC	0.0264	NC	-M
NC	0.0215	NC	-M
NC	0.0299	NC	-M
NC	0.0463	NC	-M
NC	0.0186	NC	-M
LP	0.0272	LP	-M
LP	0.0219	LP	-M
LP	0.0124	LP	-M
LP	0.0243	LP	-M
LP	0.0286	LP	-M
LP	0.0216	LP	-M
LP	0.0198	LP	-M
LP	0.016	LP	-M
LP	0.0021	LP	-M
LP	0.0153	LP	-M
LP	0.0074	LP	-M
LP	0.0083	LP	-M
NC+M	0.0666	NC	+M
NC+M	0.064	NC	+M
NC+M	0.0097	NC	+M
NC+M	0.0352	NC	+M
NC+M	0.0515	NC	+M
NC+M	0.029	NC	+M
NC+M	0.1104	NC	+M
NC+M	0.0828	NC	+M
NC+M	0.0902	NC	+M
NC+M	0.0397	NC	+M
NC+M	0.0421	NC	+M
NC+M	0.0184	NC	+M
LP+M	0.0573	LP	+M
LP+M	0.0434	LP	+M
LP+M	0.0472	LP	+M
LP+M	0.0471	LP	+M
LP+M	0.0377	LP	+M
LP+M	0.0236	LP	+M
LP+M	0.0459	LP	+M
LP+M	0.0491	LP	+M
LP+M	0.0296	LP	+M
LP+M	0.0371	LP	+M
LP+M	0.0295	LP	+M
LP+M	0.0303	LP	+M
NC	0.0538	NC	-M
NC	0.05	NC	-M
NC	0.0546	NC	-M
NC	0.0886	NC	-M
NC	0.0707	NC	-M
NC	0.0175	NC	-M
NC	0.0369	NC	-M
NC	0.034	NC	-M
NC	0.0268	NC	-M
NC	0.0681	NC	-M
NC	0.017	NC	-M
NC	0.0216	NC	-M
LP	0.0314	LP	-M
LP	0.0248	LP	-M
LP	0.0155	LP	-M
LP	0.0295	LP	-M
LP	0.0197	LP	-M
LP	0.0148	LP	-M
LP	0.038	LP	-M
LP	0.0276	LP	-M
LP	0.008	LP	-M
LP	0.0247	LP	-M
LP	0.0166	LP	-M
LP	0.0122	LP	-M
NC+M	0.1851	NC	+M
NC+M	0.0588	NC	+M
NC+M	0.0081	NC	+M
NC+M	0.0747	NC	+M
NC+M	0.036	NC	+M
NC+M	0.0195	NC	+M
NC+M	0.0463	NC	+M
NC+M	0.0337	NC	+M
NC+M	0.0209	NC	+M
NC+M	0.0506	NC	+M
NC+M	0.046	NC	+M
NC+M	0.0331	NC	+M
LP+M	0.0715	LP	+M
LP+M	0.056	LP	+M
LP+M	0.0318	LP	+M
LP+M	0.0365	LP	+M
LP+M	0.043	LP	+M
LP+M	0.0594	LP	+M
LP+M	0.0756	LP	+M
LP+M	0.0383	LP	+M
LP+M	0.0147	LP	+M
LP+M	0.0466	LP	+M
LP+M	0.017	LP	+M
LP+M	0.0115	LP	+M
NC	0.0659	NC	-M
NC	0.0396	NC	-M
NC	0.0363	NC	-M
NC	0.0445	NC	-M
NC	0.0316	NC	-M
NC	0.033	NC	-M
NC	0.0434	NC	-M
NC	0.0355	NC	-M
NC	0.03	NC	-M
NC	0.0625	NC	-M
NC	0.037	NC	-M
NC	0.0287	NC	-M
LP	0.021	LP	-M
LP	0.0174	LP	-M
LP	0.018	LP	-M
LP	0.0126	LP	-M
LP	0.025	LP	-M
LP	0.0142	LP	-M
LP	0.0165	LP	-M
LP	0.0227	LP	-M
LP	0.0092	LP	-M
LP	0.0113	LP	-M
LP	0.0158	LP	-M
LP	0.0179	LP	-M
NC+M	0.0638	NC	+M
NC+M	0.108	NC	+M
NC+M	0.0848	NC	+M
NC+M	0.1383	NC	+M
NC+M	0.1136	NC	+M
NC+M	0.0725	NC	+M
NC+M	0.1154	NC	+M
NC+M	0.0736	NC	+M
NC+M	0.0687	NC	+M
NC+M	0.0755	NC	+M
NC+M	0.0903	NC	+M
NC+M	0.0829	NC	+M
LP+M	0.0672	LP	+M
LP+M	0.0466	LP	+M
LP+M	0.0346	LP	+M
LP+M	0.0399	LP	+M
LP+M	0.0376	LP	+M
LP+M	0.027	LP	+M
LP+M	0.0429	LP	+M
LP+M	0.032	LP	+M
LP+M	0.0286	LP	+M
LP+M	0.0561	LP	+M
LP+M	0.0301	LP	+M
LP+M	0.0289	LP	+M
FR	0.0193	FR	-M
FR	0.0219	FR	-M
FR	0.0081	FR	-M
FR	0.0161	FR	-M
FR	0.0163	FR	-M
FR	0.0169	FR	-M
FR	0.0127	FR	-M
FR	0.0093	FR	-M
FR	0.0103	FR	-M
FR+M	0.0832	FR	+M
FR+M	0.077	FR	+M
FR+M	0.0257	FR	+M
FR+M	0.0864	FR	+M
FR+M	0.052	FR	+M
FR+M	0.0507	FR	+M
FR+M	0.0565	FR	+M
FR+M	0.0321	FR	+M
FR+M	0.0465	FR	+M
