lab	leaf number	light	microbe
NCM	13	NC	+M
NCM	13	NC	+M
NCM	12	NC	+M
NCM	13	NC	+M
NCM	13	NC	+M
NCM	12	NC	+M
NCM	13	NC	+M
NCM	13	NC	+M
NCM	13	NC	+M
NCM	15	NC	+M
NCM	13	NC	+M
NCM	13	NC	+M
NCM	13	NC	+M
NCM	14	NC	+M
NCM	13	NC	+M
NCM	15	NC	+M
NCM	14	NC	+M
NCM	14	NC	+M
NCM	16	NC	+M
NCM	14	NC	+M
NCM	14	NC	+M
NCM	17	NC	+M
NCM	14	NC	+M
NCM	14	NC	+M
NCM	13	NC	+M
NCM	14	NC	+M
NCM	13	NC	+M
NCM	15	NC	+M
NCM	14	NC	+M
NCM	15	NC	+M
NCM	14	NC	+M
NCM	15	NC	+M
NCM	14	NC	+M
NCM	15	NC	+M
NCM	14	NC	+M
NCM	14	NC	+M
NC	12	NC	-M
NC	12	NC	-M
NC	14	NC	-M
NC	14	NC	-M
NC	13	NC	-M
NC	12	NC	-M
NC	13	NC	-M
NC	13	NC	-M
NC	12	NC	-M
NC	11	NC	-M
NC	12	NC	-M
NC	9	NC	-M
NC	14	NC	-M
NC	13	NC	-M
NC	12	NC	-M
NC	13	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	13	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	11	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	12	NC	-M
NC	11	NC	-M
NC	13	NC	-M
NC	11	NC	-M
NC	11	NC	-M
NC	12	NC	-M
NC	11	NC	-M
NC	12	NC	-M
LP	9	LP	-M
LP	9	LP	-M
LP	8	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	10	LP	-M
LP	9	LP	-M
LP	8	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	10	LP	-M
LP	10	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	10	LP	-M
LP	10	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	10	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	9	LP	-M
LP	10	LP	-M
LP	10	LP	-M
LP	10	LP	-M
LP	11	LP	-M
LP	10	LP	-M
LP	11	LP	-M
LP	10	LP	-M
LP	11	LP	-M
LP	10	LP	-M
LP	10	LP	-M
LP	10	LP	-M
LP	9	LP	-M
LPM	11	LP	+M
LPM	11	LP	+M
LPM	10	LP	+M
LPM	11	LP	+M
LPM	11	LP	+M
LPM	10	LP	+M
LPM	10	LP	+M
LPM	12	LP	+M
LPM	11	LP	+M
LPM	11	LP	+M
LPM	12	LP	+M
LPM	11	LP	+M
LPM	15	LP	+M
LPM	14	LP	+M
LPM	14	LP	+M
LPM	13	LP	+M
LPM	15	LP	+M
LPM	14	LP	+M
LPM	14	LP	+M
LPM	14	LP	+M
LPM	13	LP	+M
LPM	14	LP	+M
LPM	14	LP	+M
LPM	14	LP	+M
LPM	13	LP	+M
LPM	11	LP	+M
LPM	12	LP	+M
LPM	12	LP	+M
LPM	14	LP	+M
LPM	12	LP	+M
LPM	11	LP	+M
LPM	12	LP	+M
LPM	12	LP	+M
LPM	11	LP	+M
LPM	12	LP	+M
LPM	13	LP	+M
FR	9	FR	-M
FR	12	FR	-M
FR	12	FR	-M
FR	11	FR	-M
FR	10	FR	-M
FR	10	FR	-M
FR	11	FR	-M
FR	9	FR	-M
FR	10	FR	-M
FRM	15	FR	+M
FRM	14	FR	+M
FRM	13	FR	+M
FRM	13	FR	+M
FRM	15	FR	+M
FRM	12	FR	+M
FRM	11	FR	+M
FRM	14	FR	+M
FRM	14	FR	+M
