lab	length	width	light	y	microbe
SCM	0.38	0.532	LP	0.714	+M
NCM	0.179	0.248	NC	0.722	+M
SC	0.382	0.519	LP	0.736	-M
NC	0.301	0.397	NC	0.758	-M
NC	0.259	0.336	NC	0.771	-M
FRM	0.15	0.192	FR	0.78125	+M
SC	0.294	0.369	LP	0.797	-M
NCM	0.398	0.499	NC	0.798	+M
SC	0.437	0.546	LP	0.8	-M
SCM	0.534	0.642	LP	0.832	+M
SCM	0.434	0.491	LP	0.884	+M
NC	0.281	0.309	NC	0.909	-M
SC	0.425	0.467	LP	0.91	-M
NCM	0.515	0.563	NC	0.915	+M
SC	0.285	0.311	LP	0.916	-M
SC	0.151	0.164	LP	0.921	-M
NC	0.38	0.409	NC	0.929	-M
FR	0.123	0.132	FR	0.931818182	-M
NC	0.467	0.498	NC	0.938	-M
SC	0.428	0.455	LP	0.941	-M
SC	0.344	0.364	LP	0.945	-M
SC	0.613	0.648	LP	0.946	-M
SC	0.458	0.483	LP	0.948	-M
SC	0.31	0.324	LP	0.957	-M
SC	0.411	0.429	LP	0.958	-M
SC	0.239	0.246	LP	0.972	-M
NC	0.233	0.239	NC	0.975	-M
NC	0.287	0.294	NC	0.976	-M
SC	0.364	0.373	LP	0.976	-M
SC	0.491	0.503	LP	0.976	-M
SC	0.335	0.341	LP	0.982	-M
SC	0.392	0.399	LP	0.982	-M
SC	0.498	0.507	LP	0.982	-M
SC	0.565	0.574	LP	0.984	-M
SCM	0.246	0.25	LP	0.984	+M
SC	0.292	0.294	LP	0.993	-M
NC	0.492	0.492	NC	1	-M
NCM	0.403	0.403	NC	1	+M
SC	0.507	0.504	LP	1.006	-M
SC	0.542	0.538	LP	1.007	-M
SC	0.361	0.358	LP	1.008	-M
SC	0.547	0.54	LP	1.013	-M
SC	0.445	0.439	LP	1.014	-M
SC	0.399	0.392	LP	1.018	-M
SCM	0.69	0.677	LP	1.019	+M
SC	0.496	0.482	LP	1.029	-M
NC	0.239	0.23	NC	1.039	-M
NC	0.318	0.306	NC	1.039	-M
SC	0.251	0.241	LP	1.041	-M
SC	0.312	0.299	LP	1.043	-M
NC	0.275	0.263	NC	1.046	-M
FR	0.184	0.175	FR	1.051428571	-M
SC	0.316	0.299	LP	1.057	-M
SC	0.534	0.505	LP	1.057	-M
SCM	0.604	0.571	LP	1.058	+M
SC	0.64	0.604	LP	1.06	-M
SCM	0.166	0.156	LP	1.064	+M
SC	0.511	0.48	LP	1.065	-M
SC	0.55	0.515	LP	1.068	-M
FR	0.358	0.335	FR	1.068656716	-M
SC	0.356	0.333	LP	1.069	-M
SCM	0.772	0.722	LP	1.069	+M
NC	0.285	0.266	NC	1.071	-M
SCM	0.495	0.462	LP	1.071	+M
SCM	0.241	0.225	LP	1.071	+M
SC	0.297	0.277	LP	1.072	-M
NC	0.412	0.384	NC	1.073	-M
SC	0.446	0.415	LP	1.075	-M
SC	0.319	0.295	LP	1.081	-M
SC	0.305	0.281	LP	1.085	-M
FRM	0.199	0.183	FR	1.087431694	+M
SC	0.492	0.452	LP	1.088	-M
SCM	0.471	0.433	LP	1.088	+M
SCM	0.36	0.33	LP	1.091	+M
SC	0.497	0.455	LP	1.092	-M
SCM	0.616	0.564	LP	1.092	+M
SCM	0.597	0.543	LP	1.099	+M
SC	0.462	0.42	LP	1.1	-M
NC	0.404	0.363	NC	1.113	-M
SC	0.433	0.389	LP	1.113	-M
NC	0.492	0.441	NC	1.116	-M
NC	0.492	0.441	NC	1.116	-M
SCM	0.742	0.664	LP	1.117	+M
SCM	0.613	0.548	LP	1.119	+M
FR	0.256	0.228	FR	1.122807018	-M
SCM	0.746	0.663	LP	1.125	+M
SCM	0.786	0.698	LP	1.126	+M
SCM	0.698	0.62	LP	1.126	+M
SC	0.649	0.574	LP	1.131	-M
SCM	0.608	0.535	LP	1.136	+M
NC	0.368	0.323	NC	1.139	-M
SC	0.344	0.302	LP	1.139	-M
SC	0.409	0.358	LP	1.142	-M
SCM	0.678	0.593	LP	1.143	+M
SCM	0.632	0.553	LP	1.143	+M
FR	0.314	0.274	FR	1.145985401	-M
SCM	0.516	0.45	LP	1.147	+M
NC	0.392	0.341	NC	1.15	-M
SC	0.577	0.501	LP	1.152	-M
SCM	0.723	0.627	LP	1.153	+M
NC	0.217	0.188	NC	1.154	-M
FR	0.216	0.187	FR	1.155080214	-M
SCM	0.896	0.775	LP	1.156	+M
FR	0.262	0.226	FR	1.159292035	-M
SCM	0.687	0.592	LP	1.16	+M
SCM	0.688	0.593	LP	1.16	+M
SCM	0.731	0.63	LP	1.16	+M
FR	0.406	0.349	FR	1.163323782	-M
NC	0.341	0.293	NC	1.164	-M
FR	0.369	0.317	FR	1.164037855	-M
FR	0.543	0.466	FR	1.165236052	-M
SCM	0.554	0.475	LP	1.166	+M
FR	0.351	0.301	FR	1.166112957	-M
FR	0.447	0.383	FR	1.167101828	-M
FR	0.334	0.286	FR	1.167832168	-M
NC	0.414	0.354	NC	1.169	-M
SCM	0.822	0.7	LP	1.174	+M
SCM	0.77	0.655	LP	1.176	+M
SCM	0.45	0.382	LP	1.178	+M
NC	0.242	0.205	NC	1.18	-M
FR	0.569	0.482	FR	1.180497925	-M
FR	0.298	0.252	FR	1.182539683	-M
FR	0.519	0.438	FR	1.184931507	-M
FR	0.322	0.271	FR	1.188191882	-M
FR	0.277	0.233	FR	1.188841202	-M
SC	0.683	0.573	LP	1.192	-M
FR	0.266	0.223	FR	1.192825112	-M
SC	0.445	0.372	LP	1.196	-M
SC	0.265	0.221	LP	1.199	-M
FR	0.362	0.301	FR	1.202657807	-M
FR	0.421	0.35	FR	1.202857143	-M
SCM	0.651	0.541	LP	1.203	+M
SC	0.171	0.142	LP	1.204	-M
FR	0.422	0.35	FR	1.205714286	-M
SC	0.326	0.27	LP	1.207	-M
SC	0.344	0.285	LP	1.207	-M
FR	0.402	0.333	FR	1.207207207	-M
SC	0.261	0.216	LP	1.208	-M
NCM	0.395	0.327	NC	1.208	+M
FRM	0.566	0.466	FR	1.214592275	+M
FR	0.518	0.426	FR	1.215962441	-M
NC	0.446	0.366	NC	1.219	-M
SC	0.446	0.366	LP	1.219	-M
SCM	0.189	0.155	LP	1.219	+M
FRM	0.166	0.136	FR	1.220588235	+M
FR	0.229	0.187	FR	1.22459893	-M
FR	0.458	0.374	FR	1.22459893	-M
NC	0.259	0.211	NC	1.227	-M
SC	0.219	0.178	LP	1.23	-M
FR	0.432	0.35	FR	1.234285714	-M
SC	0.581	0.47	LP	1.236	-M
SCM	0.299	0.242	LP	1.236	+M
NC	0.255	0.206	NC	1.238	-M
SC	0.264	0.213	LP	1.239	-M
SCM	0.757	0.61	LP	1.241	+M
FRM	0.266	0.214	FR	1.242990654	+M
SCM	0.703	0.565	LP	1.244	+M
NCM	0.385	0.309	NC	1.246	+M
NC	0.449	0.36	NC	1.247	-M
SC	0.176	0.141	LP	1.248	-M
FRM	0.503	0.402	FR	1.251243781	+M
FR	0.443	0.353	FR	1.254957507	-M
NCM	0.565	0.45	NC	1.256	+M
FR	0.424	0.336	FR	1.261904762	-M
SCM	0.492	0.39	LP	1.262	+M
NC	0.514	0.407	NC	1.263	-M
SC	0.197	0.156	LP	1.263	-M
SCM	0.899	0.712	LP	1.263	+M
FR	0.566	0.448	FR	1.263392857	-M
FR	0.436	0.345	FR	1.263768116	-M
SC	0.502	0.397	LP	1.264	-M
FR	0.497	0.393	FR	1.264631043	-M
FR	0.382	0.302	FR	1.264900662	-M
FR	0.383	0.302	FR	1.268211921	-M
FR	0.26	0.205	FR	1.268292683	-M
FR	0.183	0.144	FR	1.270833333	-M
FR	0.318	0.25	FR	1.272	-M
SCM	0.424	0.333	LP	1.273	+M
NCM	0.4	0.314	NC	1.274	+M
SCM	0.907	0.712	LP	1.274	+M
SC	0.489	0.383	LP	1.277	-M
NCM	0.24	0.188	NC	1.277	+M
SCM	0.631	0.494	LP	1.277	+M
FR	0.202	0.158	FR	1.278481013	-M
SC	0.514	0.402	LP	1.279	-M
FR	0.503	0.393	FR	1.279898219	-M
FRM	0.744	0.581	FR	1.280550775	+M
FR	0.346	0.27	FR	1.281481481	-M
SCM	0.305	0.238	LP	1.282	+M
FR	0.309	0.241	FR	1.282157676	-M
SC	0.195	0.152	LP	1.283	-M
FRM	0.184	0.143	FR	1.286713287	+M
NC	0.202	0.157	NC	1.287	-M
SCM	0.522	0.405	LP	1.289	+M
NC	0.489	0.379	NC	1.29	-M
SCM	0.885	0.686	LP	1.29	+M
FR	0.234	0.181	FR	1.29281768	-M
FR	0.481	0.372	FR	1.293010753	-M
SCM	0.827	0.639	LP	1.294	+M
FR	0.457	0.353	FR	1.294617564	-M
SCM	0.505	0.39	LP	1.295	+M
SC	0.545	0.42	LP	1.298	-M
FR	0.587	0.452	FR	1.298672566	-M
NCM	0.251	0.193	NC	1.301	+M
SC	0.28	0.215	LP	1.302	-M
