lab	leaf length	petiole length	y
NC	3.367	2.670	0.792990793
NC	3.569	2.756	0.772205099
NC	3.698	2.080	0.562466198
NC	4.131	3.634	0.879690148
NC	4.485	4.623	1.030769231
NC	4.750	5.048	1.062736842
NC	4.762	3.419	0.71797564
NC	4.790	6.410	1.338204593
NC	4.835	3.077	0.636401241
NC	4.872	3.343	0.686165846
NC	4.872	4.103	0.842159278
NC	5.409	5.336	0.986503975
NC	5.439	5.693	1.046699761
NC	5.523	5.307	0.96089082
NC	5.647	5.192	0.919426244
NC	5.734	3.671	0.640216254
NC	5.785	5.451	0.942264477
NC	5.802	4.117	0.709582902
NC	5.822	4.650	0.798694607
NC	5.847	6.159	1.053360698
NC	6.163	7.645	1.240467305
NC	6.175	4.013	0.649878543
NC	6.239	5.847	0.937169418
NC	6.304	7.317	1.160691624
NC	6.348	3.284	0.517328292
NC	6.410	5.535	0.86349454
NC	6.410	6.592	1.028393136
NC	6.537	7.334	1.121921371
NC	6.572	4.728	0.719415703
NC	6.652	5.762	0.866205652
NC	6.667	5.600	0.839958002
NC	6.672	5.986	0.897182254
NC	6.717	8.234	1.225844871
NC	6.734	7.244	1.075735076
NC	6.786	6.923	1.020188624
NC	6.899	5.439	0.788375127
NC	6.923	4.615	0.666618518
NC	6.966	6.572	0.943439564
NC	6.975	4.714	0.675842294
NC	7.110	3.846	0.54092827
NC	7.188	4.978	0.692543127
NC	7.239	6.552	0.905097389
NC	7.529	5.082	0.674990039
NC	7.591	6.880	0.906336451
NC	7.611	3.450	0.453291289
NC	7.611	5.734	0.753383261
NC	7.649	6.415	0.838671722
NC	7.649	5.600	0.732121846
NC	8.027	5.280	0.657779993
NC	8.149	7.383	0.906000736
NC	8.155	4.750	0.582464746
NC	8.205	4.952	0.60353443
NC	8.219	5.980	0.727582431
NC	8.219	6.734	0.819321085
NC	8.257	5.624	0.681119051
NC	8.489	4.536	0.534338556
NC	8.570	7.489	0.87386231
NC	8.722	5.128	0.587938546
NC	8.771	7.899	0.900581462
NC	8.771	8.051	0.917911299
NC	8.778	5.641	0.642629301
NC	8.889	7.048	0.792890089
NC	9.105	8.600	0.944535969
NC	9.291	6.975	0.75072651
NC	9.291	4.728	0.508879561
NC	9.323	7.152	0.767135042
NC	9.333	7.899	0.846351655
NC	9.515	5.109	0.536941671
NC	9.529	8.257	0.866512751
NC	9.601	6.617	0.689199042
NC	9.635	5.629	0.584224183
NC	9.790	5.659	0.578038815
NC	9.864	7.124	0.722222222
NC	9.957	5.487	0.551069599
NC	10.000	6.079	0.6079
NC	10.082	6.789	0.673378298
NC	10.269	7.221	0.703184341
NC	10.809	8.145	0.753538718
NC	11.052	7.506	0.679153094
NCM	4.536	5.09	1.122134039
NCM	5.336	4.952	0.928035982
NCM	6.552	6.369	0.972069597
NCM	6.923	5.391	0.778708652
NCM	7.184	7.436	1.035077951
NCM	7.383	4.952	0.670730056
NCM	7.684	6.196	0.806350859
NCM	7.798	4.229	0.542318543
NCM	7.798	6.369	0.816747884
NCM	7.798	6.369	0.816747884
NCM	7.828	8.619	1.101047522
NCM	7.845	6.73	0.857871256
NCM	7.986	6.165	0.771975958
NCM	7.986	6.999	0.876408715
NCM	8.011	8.523	1.063912121
NCM	8.181	7.073	0.864564234
NCM	8.257	6.035	0.730894998
NCM	8.399	7.454	0.887486606
NCM	8.458	7.4	0.874911327
NCM	8.465	7.454	0.880567041
NCM	8.523	6.657	0.781063006
NCM	8.619	7.541	0.874927486
NCM	8.676	6.567	0.756915629
NCM	8.763	10	1.141161703
NCM	8.901	7.436	0.835411751
NCM	8.956	9.018	1.006922733
NCM	8.956	8.108	0.905314873
NCM	9.018	6.904	0.765579951
NCM	9.087	8.193	0.901617696
NCM	9.094	6.667	0.733120739
NCM	9.333	6.711	0.719061395
NCM	9.333	10.052	1.077038466
NCM	9.487	7.697	0.811320755
NCM	9.625	7.798	0.810181818
NCM	9.638	6.207	0.644013281
NCM	9.814	6.686	0.681271653
NCM	10	7.786	0.7786
NCM	10.03	10.263	1.023230309
NCM	10.144	9.131	0.900138013
NCM	10.208	9.706	0.950822884
NCM	10.256	7.436	0.725039002
NCM	10.336	6.537	0.63244969
NCM	10.39	5.505	0.529836381
NCM	10.463	7.383	0.705629361
NCM	10.466	8.285	0.791610931
NCM	10.513	8.462	0.804908209
NCM	10.522	7.572	0.71963505
NCM	10.711	8.177	0.763420782
NCM	10.739	6.41	0.596889841
NCM	10.879	6.686	0.614578546
NCM	11.073	10.03	0.905806918
NCM	11.073	7.815	0.705770794
NCM	11.132	9.291	0.834620913
NCM	11.215	7.961	0.709852876
NCM	11.238	8.93	0.794625378
NCM	11.308	10.208	0.902723735
NCM	11.329	8.596	0.758760703
NCM	11.663	8.616	0.738746463
NCM	11.82	8.496	0.718781726
NCM	12.163	8.108	0.666611856
NCM	12.233	10.818	0.884329273
NCM	12.374	9.539	0.770890577
NCM	12.504	8.031	0.642274472
NCM	13.097	8.956	0.683820722
NCM	14.441	7.692	0.532650093
NCM	7.986	9.814	1.228900576
LP	1.953	3.786	1.938556068
LP	2.142	6.382	2.97945845
LP	2.364	4.359	1.843908629
LP	2.417	4.287	1.773686388
LP	2.433	5.135	2.110563091
LP	2.541	3.507	1.380165289
LP	2.726	4.426	1.623624358
LP	2.756	4.6	1.669085631
LP	2.804	5.062	1.805278174
LP	2.821	4.103	1.454448777
LP	2.83	3.393	1.198939929
LP	3.143	4.75	1.511294941
LP	3.284	3.989	1.214677223
LP	3.333	7.342	2.202820282
LP	3.333	2.433	0.729972997
LP	3.45	6.175	1.789855072
LP	3.52	7.212	2.048863636
LP	3.765	4.814	1.278618858
LP	3.784	3.765	0.994978858
LP	3.796	6.287	1.656217071
LP	3.857	6.346	1.645320197
LP	3.898	9.494	2.435608004
LP	4.103	5.128	1.249817207
LP	4.103	5.1	1.242992932
LP	4.142	6.813	1.644857557
LP	4.149	5.166	1.245119306
LP	4.174	5.624	1.347388596
LP	4.298	6.552	1.524429967
LP	4.312	6.7	1.55380334
LP	4.412	5.969	1.352901179
LP	4.444	6.498	1.46219622
LP	4.478	7.184	1.604287628
LP	4.516	3.058	0.677147919
LP	4.587	9.487	2.06823632
LP	4.587	10.541	2.298016133
LP	4.603	6.578	1.429067999
LP	4.623	6.348	1.373134328
LP	4.77	5.92	1.241090147
LP	4.79	5.286	1.103549061
LP	4.817	5.814	1.206975296
LP	4.899	6.966	1.421922841
LP	5.057	6.774	1.339529365
LP	5.082	7.182	1.41322314
LP	5.128	6.667	1.300117005
LP	5.168	7.157	1.384868421
LP	5.192	7.866	1.515023112
LP	5.286	6.472	1.22436625
LP	5.354	9.263	1.73010833
LP	5.409	7.961	1.471806249
LP	5.433	4.79	0.881649181
LP	5.47	7.43	1.358318099
LP	5.523	9.898	1.792141952
LP	5.547	6.711	1.209843158
LP	5.624	10.809	1.921941679
LP	5.644	8.209	1.454464918
LP	5.762	6.667	1.15706352
LP	6.051	8.901	1.470996529
LP	6.154	8.08	1.312967176
LP	6.175	8.205	1.328744939
LP	6.285	8.159	1.298170247
LP	6.362	6.734	1.058472179
LP	6.431	10.591	1.646866739
LP	6.567	8.161	1.242728795
LP	6.603	6.505	0.985158261
LP	8.221	11.308	1.375501764
LP	8.383	8.971	1.070141954
LP	9.501	9.542	1.004315335
LPM	1.993	3.152	1.581535374
LPM	2.189	3.524	1.609867519
LPM	2.489	4.222	1.69626356
LPM	2.659	4.358	1.638962016
LPM	2.703	2.57	0.950795413
LPM	2.756	4.159	1.509071118
LPM	2.819	4.287	1.52075204
LPM	3.024	3.406	1.126322751
LPM	3.143	5.131	1.632516704
LPM	3.243	5.705	1.759173605
LPM	3.461	6.916	1.998266397
LPM	4.023	8.811	2.1901566
LPM	4.106	5.971	1.454213346
LPM	4.191	4.358	1.039847292
LPM	4.222	4.513	1.06892468
LPM	4.358	5.607	1.286599358
LPM	4.458	6.382	1.43158367
LPM	4.474	7.303	1.632320072
LPM	4.544	6.774	1.490757042
LPM	4.587	6.734	1.468061914
LPM	4.716	6.702	1.421119593
LPM	4.768	6.346	1.330956376
LPM	4.826	7.467	1.547244094
LPM	5.028	6.163	1.225735879
LPM	5.028	5.266	1.047334924
LPM	5.21	6.983	1.340307102
LPM	5.454	7.639	1.400623396
LPM	5.473	8.383	1.531701078
LPM	5.505	4.714	0.856312443
LPM	5.536	6.175	1.115426301
LPM	5.607	7.57	1.350098092
LPM	5.644	6.128	1.085754784
LPM	5.682	6.552	1.1531151
LPM	5.734	9.898	1.726194629
LPM	5.812	8.251	1.419649002
LPM	5.847	7.624	1.303916538
LPM	5.934	7.88	1.327940681
LPM	6.012	6.532	1.086493679
