2M.10.2	2M.10.4	2M.6.1	2M.9.2	2R.10.4	2R.6.1	2M.7.2	1R.8.2	1R.8.3	2M.10.3	1M.6.4	1M.9.3	2R.9.2	2R.9.4	2M.7.3	2R.7.1	2R.10.1	2M.6.4	1R.6.2	2R.8.3	2R.10.3	2R.6.4	2R.9.1	1M.9.2	2R.10.2	2R.7.2	1R.6.4	1M.7.1	2R.8.2	2M.7.1	1R.10.1	2M.8.4	2M.10.1	2M.9.4	1R.9.1	1M.7.2	1R.7.4	1R.7.1	2R.9.3	1R.7.2	2M.9.3	2R.6.2	2R.8.1	1M.7.3	1M.8.1	1M.8.2	2M.8.2	1R.10.4	1R.9.3	2M.8.3	2R.7.3	2R.7.4	2M.6.2	1M.10.4	2M.8.1	1M.9.4	2R.8.4	1R.10.2	2M.9.1	1R.8.4	1R.10.3	1M.6.3	1R.9.2	1M.10.1	1R.8.1	2R.6.3	1R.6.1	2M.6.3	1M.8.4	1R.7.3	1R.9.4	1M.10.2	1R.6.3	1M.6.2	1M.6.1	1M.10.3	1M.9.1	1M.8.3	1M.7.4	3M.10.1	3R.10.4	3M.8.3	3R.6.3	3R.7.4	3R.9.3	3R.7.1	3R.6.1	3R.10.2	3R.9.4	Input2	3M.7.3	3R.8.2	3R.10.1	3M.6.2	3R.7.2	3R.9.1	3R.8.3	3M.8.2	3M.9.2	3M.7.4	3R.10.3	3M.7.1	3R.7.3	3R.9.2	3M.10.3	3R.6.4	3M.10.4	3M.9.4	3R.6.2	3M.6.1	3M.6.4	Input1	3M.10.2	3M.8.4	3R.8.1	3R.8.4	3M.9.3	3M.9.1	3M.8.1	3M.7.2	Input3
Root935	15.072	15.188	15.039	15.143	14.628	14.717	14.368	14.027	13.647	14.968	15.079	14.841	13.831	13.96	14.671	13.395	14.823	15.065	14.451	14.497	14.308	14.301	14.01	14.888	14.48	13.807	14.227	14.569	14.022	14.466	13.7	14.938	14.945	15.142	13.516	14.705	13.209	13.414	14.078	14.255	15.227	14.856	14.138	14.697	15.344	15.315	15.223	14.177	14.065	15.065	14.153	13.046	14.87	15.634	14.89	15.196	14.016	13.921	15.11	13.989	13.874	15.375	13.89	14.727	14.461	14.852	13.669	15.416	15.461	13.032	14.169	14.992	14.557	15.6	15.338	15.059	14.482	15.043	14.794	15.261	13.414	15.638	14.288	13.607	13.198	13.146	13.354	13.177	12.964	11.493	14.874	13.09	13.984	15.145	12.977	12.902	13.085	15.659	15.316	14.788	13.506	14.315	14.133	12.966	15.498	13.418	14.943	15.708	13.728	14.985	15.026	11.212	15.228	15.217	13.348	13.522	14.772	15.29	15.317	15.0	10.834
Root773	8.2649	9.5678	9.8577	8.729	8.935	8.755	10.615	10.654	10.083	8.1858	10.048	8.8434	8.1649	8.74	11.048	9.8734	7.8844	8.9322	10.19	9.4322	8.1531	8.184	8.225	9.3932	8.0076	10.506	9.505	11.414	8.0377	10.567	8.7764	10.902	9.0549	7.9419	9.9567	12.136	10.205	10.212	8.4862	10.47	9.5341	8.4388	9.0227	10.406	10.955	11.051	10.469	9.7572	9.9741	10.693	10.961	10.131	9.8776	10.552	10.328	10.172	8.7359	9.0036	8.3457	9.8005	9.6065	10.045	9.8148	9.5794	9.9601	8.5978	9.7333	9.8736	10.86	10.649	10.155	10.423	8.8604	10.774	9.9277	10.243	9.7181	11.356	10.425	9.9245	8.6526	11.703	9.0824	11.519	9.4988	10.988	8.6779	9.0667	8.3582	6.0985	11.002	9.415	9.3017	9.8432	11.155	8.666	9.3414	11.507	9.447	11.459	9.5758	10.823	12.758	8.7628	9.6069	8.6437	9.4236	9.7681	9.8415	9.7715	10.086	5.971	10.425	11.281	9.3692	10.039	9.3747	10.617	10.452	11.433	6.5117
Root569	10.997	11.705	11.818	12.517	9.2288	8.2824	13.026	11.063	9.944	10.085	9.9107	11.648	9.8848	10.27	13.579	11.449	8.5091	9.5646	9.425	11.887	8.9548	7.0633	10.186	10.452	9.1137	12.007	7.1106	13.54	10.698	13.385	9.3326	13.778	10.924	12.908	9.8356	13.733	11.113	10.609	10.006	11.307	13.092	9.3272	12.294	13.651	13.07	12.612	13.867	7.5173	9.5015	13.697	12.353	11.658	12.444	10.354	13.274	11.493	11.583	9.5744	12.279	10.481	9.9201	12.145	8.9086	12.049	11.175	10.138	8.9905	12.212	12.186	11.236	10.706	11.983	9.6491	12.674	12.633	12.236	10.809	12.959	13.043	12.579	9.3994	13.82	8.561	10.81	9.3262	10.315	8.766	9.5245	8.7419	10.741	12.666	9.3569	10.54	12.972	9.9225	9.1708	9.6828	13.836	12.813	12.861	9.6841	11.612	9.3219	9.1385	12.406	8.677	11.788	12.992	9.2365	12.642	11.756	8.8475	12.111	13.417	9.5654	10.32	12.324	12.4	13.903	12.136	8.5569
Root690	11.69	11.833	11.736	11.001	11.28	11.737	6.4731	11.084	9.8903	11.051	10.881	10.762	10.751	10.406	7.0216	9.9525	11.586	11.871	11.13	10.8	10.514	11.43	10.689	11.337	11.47	9.0535	10.973	6.321	10.332	6.0491	9.5999	10.326	11.013	10.787	9.988	5.9887	8.3739	9.6124	11.073	9.596	10.798	11.306	11.393	6.6822	9.405	9.1718	10.189	10.739	9.8678	9.8928	10.796	7.7391	11.081	10.57	9.8569	11.139	10.344	10.938	11.129	10.734	10.667	10.785	10.465	8.9848	11.749	11.115	11.898	11.843	8.4257	8.4934	9.416	9.7112	11.533	10.42	11.123	10.075	9.823	7.7879	5.7638	9.6769	10.871	9.1017	11.439	8.1294	9.778	8.2836	10.597	10.18	9.8131	5.9158	5.879	10.875	10.524	9.6345	8.1097	9.2459	11.11	8.6635	9.9889	6.558	10.605	7.0889	9.2556	8.8621	10.169	10.143	10.139	10.121	11.184	9.8356	8.5772	5.3535	8.9512	8.6943	11.003	11.203	9.9507	9.419	9.3659	6.0699	5.2321
Root83	5.0883	6.413	6.6229	6.3355	4.2475	5.2341	6.4731	5.2054	4.858	5.3638	6.9773	8.0492	4.5628	4.2562	5.9248	5.8042	4.8421	5.4838	6.0704	5.415	4.3385	4.5313	5.0175	6.8491	5.1251	5.515	5.3446	5.9636	4.0624	5.7905	5.0112	5.2756	6.1489	6.4551	5.3576	6.2479	6.6188	5.3101	5.4121	4.4154	6.284	5.4328	5.2947	4.1658	6.284	7.1019	6.2741	4.7238	4.8861	5.02	5.4033	5.7204	6.1569	8.078	6.2227	6.9026	5.0301	5.8364	5.0238	6.0006	5.3322	7.6106	6.2355	6.9611	5.7933	5.2588	5.8852	6.4765	5.8615	5.5812	6.2065	8.0046	5.6238	6.9075	7.5713	7.3895	6.3285	6.3399	6.9189	7.1995	5.4458	6.0338	5.4284	5.9887	5.409	5.6724	4.7434	5.1542	5.4547	7.0248	6.6464	3.9184	4.52	6.7017	6.1872	4.9907	4.8812	6.6742	6.7423	7.34	5.4226	7.2513	8.0212	5.0575	6.3335	4.9566	6.6238	5.6261	4.8861	7.4562	6.4382	7.694	6.8512	6.5221	4.8522	4.4511	6.1204	7.6691	6.1617	7.6405	7.5037
Root9	10.448	11.135	11.17	12.4	9.3977	6.5496	11.618	11.07	11.045	8.862	10.939	12.296	9.9159	10.172	12.495	8.0062	6.8478	7.6511	11.244	11.151	7.4829	4.6631	10.208	11.612	8.1966	9.3433	8.4453	11.504	10.241	11.877	10.129	12.992	10.197	12.922	10.482	11.906	7.6398	7.8473	10.158	7.812	13.05	8.1695	10.732	11.845	13.896	13.929	13.175	8.5788	10.073	13.198	9.5083	8.7741	12.004	11.766	12.773	12.676	10.663	10.419	12.294	11.514	10.51	12.551	9.3477	12.964	11.522	6.6338	10.335	11.149	13.746	8.3851	10.711	13.198	10.6	13.446	13.317	13.403	11.803	13.933	11.814	12.901	10.704	13.864	9.5988	9.5527	10.853	9.3599	9.0749	10.804	10.188	8.2353	12.802	10.218	10.389	13.301	9.4602	11.009	10.181	13.774	13.615	12.613	10.816	12.088	8.4481	10.173	13.442	9.4586	12.637	13.741	9.6673	13.406	12.107	10.82	13.205	13.338	9.9926	11.032	12.718	13.655	13.751	12.778	8.6562
Root217	10.805	11.345	10.614	10.386	10.255	10.74	6.5789	10.284	9.5718	10.706	10.035	10.511	10.875	11.055	6.5266	9.2496	10.65	10.907	10.257	10.3	10.5	10.332	11.226	11.229	10.762	9.1701	9.7289	7.3895	10.004	7.0382	9.8254	10.448	10.619	10.952	10.674	6.2479	7.9203	9.0079	11.002	8.7072	10.676	10.35	10.549	7.7901	10.452	10.113	10.532	10.862	11.162	10.468	9.1156	8.5927	10.407	10.821	10.292	10.713	9.6795	9.5876	10.623	10.015	9.9041	10.119	11.047	10.349	10.375	10.595	10.338	11.084	11.007	7.9715	10.826	9.9333	10.186	10.275	11.28	10.418	9.514	9.0795	5.7638	10.227	9.1835	9.7681	10.41	4.7963	9.606	7.1488	9.5122	9.0399	9.776	11.116	5.879	10.018	10.437	10.321	5.8474	9.48	10.024	10.135	10.208	7.1806	9.4998	6.1552	8.0212	9.664	9.6393	9.3574	10.714	10.1	10.197	10.559	9.1121	11.006	9.4383	9.6634	9.33	10.445	10.404	9.9489	9.728	6.0699	10.755
Root401	9.035	9.6266	9.488	9.3607	8.1089	8.4782	8.8679	8.4918	8.4136	9.1943	10.161	10.119	7.8023	8.5125	9.4232	10.248	8.222	9.3185	8.4774	7.861	7.9152	7.9198	8.8191	10.067	8.5134	9.8819	9.0204	10.123	6.4055	9.29	7.7797	8.6788	9.5664	9.161	9.2048	10.439	9.6485	10.565	8.8663	10.823	9.4572	7.6389	7.9478	9.1301	10.436	9.5671	9.29	9.3142	9.5843	8.9596	10.887	9.58	8.9468	11.047	8.1016	9.892	7.5778	8.3851	9.8733	8.5179	8.4106	10.412	9.4121	9.7012	8.3564	8.7645	8.9992	9.6881	10.195	11.208	10.033	9.5415	8.3641	10.382	9.4588	9.7424	10.86	9.6812	9.9479	10.079	8.3095	10.1	8.6868	11.557	8.5648	11.413	7.4845	7.8435	7.5557	8.0764	10.54	7.8179	9.1186	10.213	11.728	7.8323	8.2399	10.776	10.132	10.845	8.2401	9.7759	12.101	8.1203	10.078	7.6057	9.7728	10.163	8.4394	10.303	9.2762	8.3603	9.5352	10.208	8.0409	8.6624	9.82	9.5708	10.187	11.569	6.9981
Root480	7.9163	8.5291	8.6119	7.9449	7.1795	7.9715	9.7122	6.4624	7.96	7.8651	7.1822	7.2647	7.2981	7.2278	10.047	8.2179	7.5534	8.3487	7.0215	6.3166	6.1921	6.6519	7.4023	7.1685	6.8506	9.0793	6.8304	10.263	6.6507	9.8102	8.0755	10.029	8.9746	8.4844	7.0031	10.552	8.472	8.6295	6.9743	8.1239	8.1772	5.8035	7.1045	10.084	8.9463	8.7321	8.1585	6.7406	5.9751	7.6145	8.8574	8.8115	8.6182	8.6612	7.9254	8.0885	6.3654	6.6329	7.9322	7.5382	7.5989	8.7534	7.6564	8.4012	7.1756	6.7291	6.9101	8.2124	8.5408	8.7935	7.0602	8.6306	6.6091	7.3895	6.5789	7.3895	7.8023	9.1319	10.466	8.8932	6.7156	10.749	6.3788	9.3206	7.7134	9.2421	6.1842	7.4838	6.9854	7.1834	9.9553	7.0296	6.4721	8.0717	9.8139	7.0995	7.6545	11.142	9.447	10.713	6.873	9.8954	8.2654	7.775	7.5457	6.0048	6.9908	9.3358	7.0775	8.2786	8.3435	6.4809	9.0692	10.67	7.6254	8.4361	8.4015	9.0909	10.143	10.442	7.0253
Root241	11.875	12.306	12.341	11.849	10.472	10.486	11.024	10.296	10.013	11.914	11.688	11.571	10.589	10.587	11.581	10.002	10.911	12.073	10.738	10.07	9.9741	10.255	10.504	11.422	10.015	10.985	10.324	11.318	9.8977	11.562	9.5406	11.848	12.013	11.973	10.414	11.214	9.3461	9.375	10.818	9.19	12.251	9.9489	9.9192	11.378	11.644	11.594	11.724	10.691	10.201	11.499	10.406	10.024	12.028	11.692	11.852	11.96	9.9737	10.161	11.772	10.357	10.506	12.011	10.446	10.61	10.167	10.592	10.565	12.374	10.768	9.2287	10.138	11.494	10.198	11.966	11.99	11.755	10.758	11.277	10.825	11.969	10.894	12.049	10.529	10.604	11.038	11.002	10.318	10.294	10.415	5.3427	10.906	10.162	10.286	11.411	10.592	10.769	10.117	11.966	11.847	10.997	10.67	10.654	9.8169	10.57	11.815	10.267	11.905	12.146	10.767	11.908	10.925	5.512	11.801	11.72	10.291	10.803	11.855	11.901	11.579	10.94	4.6662
