2M.10.2	2M.10.4	2M.6.1	2M.9.2	2R.10.4	2R.6.1	2M.7.2	1R.8.2	1R.8.3	2M.10.3	1M.6.4	1M.9.3	2R.9.2	2R.9.4	2M.7.3	2R.7.1	2R.10.1	2M.6.4	1R.6.2	2R.8.3	2R.10.3	2R.6.4	2R.9.1	1M.9.2	2R.10.2	2R.7.2	1R.6.4	1M.7.1	2R.8.2	2M.7.1	1R.10.1	2M.8.4	2M.10.1	2M.9.4	1R.9.1	1M.7.2	1R.7.4	1R.7.1	2R.9.3	1R.7.2	2M.9.3	2R.6.2	2R.8.1	1M.7.3	1M.8.1	1M.8.2	2M.8.2	1R.10.4	1R.9.3	2M.8.3	2R.7.3	2R.7.4	2M.6.2	1M.10.4	2M.8.1	1M.9.4	2R.8.4	1R.10.2	2M.9.1	1R.8.4	1R.10.3	1M.6.3	1R.9.2	1M.10.1	1R.8.1	2R.6.3	1R.6.1	2M.6.3	1M.8.4	1R.7.3	1R.9.4	1M.10.2	1R.6.3	1M.6.2	1M.6.1	1M.10.3	1M.9.1	1M.8.3	1M.7.4	3M.10.1	3R.10.4	3M.8.3	3R.6.3	3R.7.4	3R.9.3	3R.7.1	3R.6.1	3R.10.2	3R.9.4	Input2	3M.7.3	3R.8.2	3R.10.1	3M.6.2	3R.7.2	3R.9.1	3R.8.3	3M.8.2	3M.9.2	3M.7.4	3R.10.3	3M.7.1	3R.7.3	3R.9.2	3M.10.3	3R.6.4	3M.10.4	3M.9.4	3R.6.2	3M.6.1	3M.6.4	Input1	3M.10.2	3M.8.4	3R.8.1	3R.8.4	3M.9.3	3M.9.1	3M.8.1	3M.7.2	Input3
2M.10.2	0.0	0.07214427562961531	0.08359086005414622	0.07583533094645424	0.12380540592827437	0.14788218024562808	0.1505883270524088	0.15374673198098918	0.1708996291729076	0.08739564706296693	0.12087217307028379	0.13355955438361677	0.13902740554286733	0.1342306044978099	0.14042656074069654	0.1777853259528846	0.1607137610134701	0.08941469224888726	0.14796677665263394	0.15018359328502315	0.15383902563587062	0.15071139761527214	0.1384298270634698	0.13093661751787808	0.1281999794261696	0.18350426946011728	0.1419251432454653	0.16363077026830086	0.15767728468822237	0.15147778178638333	0.1562792152771983	0.10436431989802472	0.08204793768123927	0.0964225171699857	0.14455900585599754	0.14999150343733228	0.20383722557171605	0.1584954991435505	0.13350210201953244	0.1873005156904169	0.0996393103597968	0.14177956025685357	0.16278332650184207	0.14510352873415677	0.16520898290989094	0.13513074527409194	0.10911865537214746	0.14310972157369625	0.1520643581318001	0.11821519123382519	0.18055731556215546	0.17264628499619833	0.07803098823068108	0.13100094617330332	0.14144650613837165	0.13418968591206576	0.14055304928728593	0.13683734115476076	0.09208893682200484	0.14753472280597804	0.1372819394193194	0.10732681712899754	0.14786870486491968	0.12781679307973337	0.15924008159923111	0.15063778276328646	0.15340071524350377	0.10008097378336729	0.22518567177158644	0.17653731699486858	0.13785902195892252	0.1731893362677336	0.15699784119640167	0.11664923482102472	0.12230287463089504	0.09307232346443739	0.17318883367030172	0.23518465957273085	0.1554464614128626	0.10046685722474388	0.1684496078556356	0.13780437717430513	0.15175460906238072	0.20390335869059512	0.14965300283855973	0.1960387125333637	0.1500081564944782	0.14780935524575445	0.15987962991834373	0.30882980991875963	0.15039394226562874	0.1549943964446717	0.12488874017507966	0.13017817230632103	0.20871086432688615	0.14944027425881548	0.1572613763555804	0.14945452526579747	0.11633744288779264	0.15760703663398098	0.1594161089437129	0.14966080296194925	0.18511193584353533	0.15432181367470035	0.1313327340565701	0.14936657966686728	0.10100280036422783	0.12015882882945807	0.15544595744301945	0.13933024462599677	0.14972350531464684	0.3106395096778104	0.12595814642953268	0.13823793978558174	0.16462440027895103	0.16211366797227164	0.11428238769732384	0.15411967741560353	0.16361170903780686	0.16051690390456794	0.3213169918243762
2M.10.4	0.07214427562961531	0.0	0.07197277977295317	0.07834550782942266	0.11406129691896208	0.1327589806700846	0.13631804152676816	0.1550125446223985	0.18795397030854655	0.08186029906919254	0.13802626730999312	0.15325575872606953	0.12402861692829756	0.11010004344379962	0.12028488158494627	0.16237004910494665	0.13510714063586204	0.09179212103882098	0.14285233364557307	0.13350580922497401	0.14187031703673	0.14068959381537574	0.12884539016929583	0.15042359913061154	0.12958099313694185	0.15815670159248937	0.16209518800246908	0.13598435449968857	0.14508357390422766	0.12961650723131604	0.19419798781671943	0.10366944487718752	0.07123891737031764	0.09795332640320503	0.15210663709569733	0.13640050402554874	0.18857465934362402	0.14898169584185028	0.11831600291221556	0.16374153677326497	0.09810443165153608	0.12507711986525927	0.14867208943069454	0.15598947894977142	0.16861336491330864	0.15931692346389806	0.0921408052504015	0.17048315810782408	0.15979461997122615	0.11638047132575129	0.1641023089893987	0.15534364973699719	0.06828016940727304	0.1398019058163416	0.145457202342888	0.1586158706943132	0.12853608410477754	0.15691883290898834	0.08509124174447669	0.15391648426661136	0.15716593322280853	0.1352350168084279	0.13813747863334638	0.14040073301959033	0.147500849159002	0.13575233370473896	0.14131671433175935	0.0775119413278812	0.24436696425607773	0.16082040714144102	0.14734265307669356	0.19464289211528082	0.1556622039506934	0.1390685334007726	0.13951488600494102	0.12544239776866267	0.19649644662930485	0.25518339735896484	0.14796563463959406	0.12010716320274152	0.15531857370218916	0.14441535512815087	0.14651945294283567	0.19164049510907624	0.1375913988408514	0.18528762965947992	0.14806595556130195	0.14133678032029862	0.14401992102124625	0.2855095268766357	0.1636375027173925	0.16022736583017846	0.13266831802817233	0.14497580361151213	0.19262665442724805	0.14831129472758506	0.15668827742843525	0.15475297458187956	0.13867854595875354	0.15736168854576915	0.15278167421926206	0.15111896459252078	0.1836626074796798	0.14528298117038557	0.13671388104506063	0.13930265135884293	0.11347615074829553	0.13241445380785868	0.14625202434420856	0.14448693316670255	0.1627005104733324	0.2790183759666365	0.11639957590924262	0.14388213560539323	0.16754833218793483	0.1537470497539829	0.11262821009470116	0.14423858097376335	0.18100475371884298	0.1562455668906448	0.29092772508131054
2M.6.1	0.08359086005414622	0.07197277977295317	0.0	0.07655216174294538	0.1311863899051345	0.13540402990673397	0.13843255160193085	0.14810814839675343	0.1974030966796238	0.08047336645303435	0.13859084795096838	0.15612959331168988	0.1268995609843411	0.11332116444731585	0.1114624795896765	0.17362473072752665	0.13419308086182238	0.09835594919575401	0.14435229958252896	0.1430452583607991	0.16604437562798866	0.15157544907034368	0.14332379240185086	0.1648964471354169	0.13332816852829585	0.15943114204855238	0.16200621422109873	0.13840778026550482	0.1608184881164606	0.12120464409620316	0.19298046658742096	0.1064238404754636	0.07739544059263938	0.0846994157718279	0.15000476466545393	0.13983926073213607	0.18994010792467264	0.16560869110144943	0.1268841718830308	0.1783913635310042	0.08311121146689779	0.12966023387669687	0.14699328892709837	0.16336431306990667	0.17145597208921445	0.16295261411982626	0.10870167115527099	0.17080317571422796	0.15848235811634936	0.11505270564855113	0.16726881204406197	0.15475481866022553	0.07199362623723425	0.16051162902679517	0.13527132428641395	0.1611811129042113	0.12206772461807881	0.1688180159929933	0.08010619522150887	0.1564907700140716	0.17625629098611142	0.13919665157566777	0.14836577163728126	0.15137033293179272	0.16186617833414696	0.15159141634170686	0.15207683589611998	0.07007030336727928	0.2490116576151009	0.17858510121711163	0.14542809028015785	0.19904769855011564	0.15969210854241614	0.13460058582537127	0.15451821668523305	0.1304831437146646	0.20592076809343104	0.24635052987354122	0.1443727658973591	0.1201806723919212	0.14908935469274548	0.15831370741279013	0.15027450167168158	0.18174556771859865	0.13503346683796177	0.18010808157191013	0.14918343403349793	0.13633021813843577	0.1411609780344583	0.2722227847405459	0.15248314124294282	0.16657759586920828	0.13108580382386778	0.1482614192645536	0.18670040930118587	0.12983332144666646	0.154820742430873	0.15824191165731377	0.13746759996089636	0.16205885538297113	0.1428419405150493	0.13750182848033454	0.181013390367923	0.14516768323287715	0.135865165883124	0.1447770200613377	0.1019741435377085	0.14302454155686853	0.14639549048190778	0.1449924579185318	0.1581946997634542	0.2693906019565434	0.10225801827450479	0.1485099886690194	0.17431247439061798	0.1580231685672472	0.10084489466172786	0.14624379360573883	0.19211317311718276	0.13872550019215535	0.27935890882219283
2M.9.2	0.07583533094645424	0.07834550782942266	0.07655216174294538	0.0	0.12675606442446305	0.14972095160762638	0.12981338056450487	0.15384506679632454	0.17740556334564928	0.09590672965058185	0.1273804142082422	0.1357821745973999	0.12144260985655277	0.12008620459805547	0.11012726689465947	0.1670607614840328	0.1546099910058155	0.0907042581168749	0.14845083225243333	0.1370450079826223	0.15228340106312777	0.15788691524841206	0.14429736743142552	0.14450974173824407	0.13409490470404256	0.16889017900021405	0.15759050137033304	0.15602452895446803	0.1617065389744239	0.12980750559949006	0.17679041322572267	0.08852487453401875	0.0925726769457715	0.0786781573563147	0.14977636489627974	0.13473719527930614	0.19211233426914354	0.16143096340355317	0.12636787613016107	0.16786581009654208	0.07248048069540065	0.1357478589265301	0.14964337753465695	0.13794075228354027	0.15845078668690046	0.1488410740243836	0.09212949086708769	0.15733202146895092	0.16194004562621775	0.10024471985069991	0.16507817801127808	0.1548128410764765	0.06559266431982969	0.14524819494382	0.12924078211951098	0.1413024834838565	0.1250028513671898	0.1564102428128347	0.07940613432824202	0.13932198645514213	0.15489335863853085	0.12237804657664364	0.15306046484244762	0.1351099949808874	0.1555117436025276	0.155675860170118	0.14935370756067676	0.08154338949744357	0.2106669723996215	0.170510863565426	0.14939194716245668	0.17851300083223268	0.1530249666148644	0.12891290243054587	0.13201867584796811	0.10499769542167098	0.18897177811282584	0.22337442126791388	0.13038596058675803	0.10660030902640844	0.15818013407716447	0.14153004103611344	0.15313555688116798	0.19237605471337682	0.14716690384531478	0.1885189241963378	0.1508663564147974	0.1384644636238055	0.15402578541021386	0.2878254428615499	0.1318055346604634	0.1517741907093341	0.13175636013508313	0.1250298047957634	0.19195544186245583	0.13765723019299414	0.1596684821035974	0.14723497879614003	0.12128527928176376	0.14405374939768006	0.15219726419706175	0.13349230042345736	0.18135646414916065	0.14872649701548132	0.11437957282372226	0.14417080395730655	0.10051500266719605	0.12315712459046582	0.1469468425973785	0.12193436683759588	0.135517472468624	0.2916334514016157	0.10619193757899556	0.13548132745149336	0.1676355023602662	0.16794222208854978	0.09915090044033645	0.13456661409043702	0.176271986800763	0.14380540554982538	0.2974503599650146
2R.10.4	0.12380540592827437	0.11406129691896208	0.1311863899051345	0.12675606442446305	0.0	0.07775318601091047	0.18178298624115732	0.13251121448901085	0.1613507939156237	0.11249880851150913	0.20633059031744305	0.20691050484302229	0.08693042585734342	0.08198300841063898	0.14721199644554228	0.12243014526883081	0.10249860214452644	0.12382658631100732	0.1135899473641534	0.10790247295604821	0.09507420880732466	0.07065772761324825	0.07907708095756744	0.2018269224275652	0.06850463290331951	0.1262251551151312	0.11390821933805162	0.19602889378426042	0.12208135862784436	0.154818061701358	0.1601459013065125	0.14264009437154418	0.12814125139728066	0.12809084298502996	0.1263872926959854	0.18346241301173016	0.1553673875336096	0.1100773071836891	0.07846749040901074	0.12991657697035328	0.15222321896596303	0.08217934310558307	0.10385423678190277	0.1936272365370314	0.22481512242274093	0.21958968382378968	0.13514919252529542	0.12758578463482106	0.13063249807449331	0.14851523086896942	0.13992786850130187	0.12690323049934826	0.11962308278067454	0.198353324691268	0.1814900341079148	0.21085642293502235	0.10440821697492508	0.1098622607628323	0.13597165481430545	0.1382645700371771	0.11626246554302473	0.1900212015788561	0.13078099189329942	0.18952448004432032	0.12614698306535407	0.0779947167406452	0.09842185651149117	0.13018370885840122	0.2975239267115956	0.13015599987471613	0.13107451828344316	0.24474445119748284	0.13578402775730927	0.1993477822723465	0.18689088892547917	0.16892107378098306	0.24327635637922831	0.31214760783618284	0.2007389925012617	0.18840176306807505	0.12415352436755016	0.19631160656548158	0.09697605265953585	0.16001635965660505	0.11894396695755143	0.1631984928718306	0.09439539423839768	0.10686853249147776	0.12493933289170518	0.28475468652098784	0.2057214718759763	0.10916720115772723	0.11024620991436469	0.20774738268920298	0.1675465122452145	0.12437550438504129	0.118412619467982	0.20642336186285898	0.19708244037700481	0.203739041843024	0.11379096997454334	0.19174205505406947	0.17039179859137388	0.12131926289612957	0.19539812642103424	0.09989010131432481	0.14697390760846274	0.19395720282607365	0.09720613447202094	0.21507528579531043	0.20402306357064137	0.2774929870977307	0.17891514855350416	0.19411251281677563	0.12720982843630094	0.1283304447628926	0.1738069710341288	0.209437329975476	0.2462150560126079	0.19118835446078303	0.2895287368508582
2R.6.1	0.14788218024562808	0.1327589806700846	0.13540402990673397	0.14972095160762638	0.07775318601091047	0.0	0.19291064735414665	0.14433070455743446	0.16597038756653273	0.13212501437393653	0.21947820875564186	0.2298809523943773	0.08629326140027967	0.07234969336874081	0.15404881069261914	0.10590588600377783	0.07462561257649492	0.1477834630341642	0.1225451184615624	0.10959379561626544	0.09574221891511611	0.08189477004220354	0.07365422441085707	0.22083330960857264	0.07919426407076237	0.10460370706789096	0.1378556735776563	0.1938166545399057	0.10677039044419327	0.162740561325467	0.18094085006154323	0.1656447373392272	0.15458371324644188	0.1384017122416017	0.13729575434438543	0.19712147950731113	0.13570978386589053	0.1080435984707591	0.08284233161839501	0.11651589715622643	0.1641325449092096	0.06723843551362002	0.09481010097465584	0.21229582239702297	0.23166250543453024	0.23172128563180844	0.14350405531590615	0.14453617854749312	0.14245161442433768	0.15015632094441203	0.12434654008046084	0.12964615212072442	0.14239379681569503	0.22871731022604908	0.1953239895161274	0.23548698237366003	0.0922160056553094	0.13070389167405186	0.14290350915714117	0.14875495541807643	0.14848303532913615	0.22060245342019116	0.14047874741976932	0.20961510452976964	0.1290757899467815	0.06337854106207144	0.11158218141171722	0.1372921886245751	0.3098498436933214	0.12189024437525317	0.14197553514136985	0.27502084373951047	0.15228203483334635	0.2148757714757747	0.21162396013503487	0.20118981821735968	0.2690503254793235	0.32633176499412436	0.21530804060984718	0.19840035831269492	0.126275577980862	0.20417983048754917	0.10301971019236486	0.1543119265123781	0.11599908607319696	0.15596792073455093	0.10122044740251514	0.11242663069998199	0.11542430091903251	0.26577966005153175	0.2271918166611926	0.11476789817465559	0.11868175666781476	0.22359516758754314	0.16954111180398276	0.12528469281304216	0.11546974225120321	0.2238282294491146	0.22115053189718142	0.21571776880955898	0.11674804185425626	0.20044703538577802	0.17333764500213145	0.1167963933631602	0.21674189156196383	0.10879127300572057	0.1643903169722277	0.20789608278734117	0.1075541185499362	0.22814415135373906	0.22790437465324487	0.26521544701426303	0.1905361540153729	0.20555939285433206	0.12178079437752903	0.12618433800723045	0.17942958457376007	0.2241083681509623	0.2583749229872655	0.20073423653283207	0.27974911754658977
2M.7.2	0.1505883270524088	0.13631804152676816	0.13843255160193085	0.12981338056450487	0.18178298624115732	0.19291064735414665	0.0	0.18630624188916567	0.20113094625594904	0.15860436274479772	0.15195861606554326	0.1950209995861717	0.17926076241368846	0.16808728109312668	0.09470843847402673	0.19805896710443735	0.20462552304130052	0.14306116924023216	0.19751004053489465	0.1922546118525219	0.19639931935117036	0.20734108872590049	0.18868689264535488	0.177336600148889	0.18679860763799047	0.18905296690098633	0.2058916422813553	0.10091676634950514	0.2009442581274862	0.08771975677584477	0.2157898089251524	0.13365809279147142	0.12701762455321042	0.13674578036048088	0.19526859562761983	0.10677228655506328	0.1956998002546345	0.1692469422575654	0.17564962257417147	0.18820329086590767	0.1503922213726544	0.17969696192867168	0.19858540683748152	0.12084800332601675	0.17165285627078214	0.16070309198799843	0.1299706181697607	0.20871493146143932	0.20727417075680124	0.13065225835657646	0.18045879401602075	0.15933085812612255	0.11724925454538308	0.21142452639640275	0.13795648899328103	0.17702548194355117	0.17290275994169418	0.19775308414129597	0.12494276296782189	0.19367258687618324	0.20492075900186632	0.1556536185764092	0.21115060117559745	0.15818284394765594	0.211728719177343	0.2101513115935001	0.2046951596922715	0.13107917724542284	0.2258031373748323	0.18071842501295335	0.21151478273484864	0.17804635809521904	0.18425458513449156	0.15787947304728706	0.17458926153992022	0.150033761070752	0.19054417503453833	0.2215563853094269	0.1076567828038234	0.14364745239504517	0.20849296030216063	0.19136281737292132	0.20801294113207905	0.21444210484951093	0.18755186083038927	0.2124393760793881	0.20748065393826964	0.20006894473412354	0.19773659238754077	0.32590237267148237	0.1308340031234156	0.21980956477611274	0.18938514491919284	0.16969939235968512	0.20418648639212425	0.19293940018577363	0.21635952279800313	0.16160917697046867	0.15955197209585584	0.12436133300706997	0.2023298851056957	0.13153091980938345	0.19623157975491	0.1981275897180747	0.15569921143652235	0.19461551582041317	0.16061039529507473	0.17185608410423628	0.20231560975662666	0.14901557464884285	0.16645786664420256	0.3207053009187716	0.14322742447968345	0.15798905947718025	0.2171371018518497	0.228093232239352	0.1499720218769098	0.15830264240102668	0.19675657376873604	0.1405972731265104	0.3388625142471296
1R.8.2	0.15374673198098918	0.1550125446223985	0.14810814839675343	0.15384506679632454	0.13251121448901085	0.14433070455743446	0.18630624188916567	0.0	0.11454404072335618	0.16948882304099366	0.17300541887589696	0.19550897271542697	0.13246579437572792	0.12821839824039333	0.16561850888683433	0.15307059939414877	0.16187285235790058	0.18202711029779922	0.08757704123291554	0.12187469653382825	0.14717674361571195	0.14634172485656546	0.14075124985587817	0.19791636263397705	0.14046025824938813	0.16161055749010547	0.11297676468389871	0.18390748773105825	0.14258509878600337	0.1642807198852589	0.13805947513955982	0.17104368540850962	0.16640918275756864	0.15887905609895941	0.10275626486206062	0.17841510560461693	0.15880799136210802	0.14256983928902028	0.12208939175137201	0.14328653254860127	0.17108015516400815	0.13274838609188083	0.12156641996340871	0.2027816945943679	0.17471250201405616	0.1958137065758931	0.1493015920215778	0.11798251498201051	0.10502117652491849	0.1450205343121787	0.16253216628988873	0.14049825170977853	0.14976018551744968	0.1937380250206095	0.17426823257132096	0.1804784501361253	0.11797927547393311	0.12505201913917413	0.16155452396230363	0.09163851247616414	0.11127787587617312	0.1729842125600993	0.10519478732156735	0.17296251596791715	0.09253160360152438	0.14767681576087047	0.11161442145258778	0.16867707094409976	0.2572482257523731	0.15065094762908085	0.11737202919475097	0.20195546422639007	0.10267358693759111	0.17585106969636605	0.16752476340940065	0.16419150127832505	0.2206187676349051	0.25971768471670925	0.1951553472182744	0.16528085979967339	0.13093829783938057	0.19179091458739775	0.11848839223406309	0.15037989158428583	0.1250002907278536	0.14229258844193943	0.11011553137047103	0.10960495243207115	0.12010295882884331	0.30868390627012743	0.18598881645874987	0.10760566112926047	0.09187832190904081	0.19325241376675506	0.1543705990745687	0.11424956871765382	0.10754938574180589	0.19060051803872674	0.18800308583572292	0.17186440392186622	0.11533645635400921	0.1425248911430913	0.16799630819366906	0.1285611432489705	0.21184953400611878	0.10320329595708519	0.1351317977751622	0.18855371045386912	0.11399974213867181	0.2230835727091498	0.18508223025599665	0.2878758304299256	0.17231413364632522	0.1852935758602799	0.11671076009745476	0.12316977300357172	0.15744428728065232	0.1949524112647926	0.2037666246227265	0.15220780992450053	0.3070804758055935
1R.8.3	0.1708996291729076	0.18795397030854655	0.1974030966796238	0.17740556334564928	0.1613507939156237	0.16597038756653273	0.20113094625594904	0.11454404072335618	0.0	0.19715979163994582	0.1948426346859672	0.19261164353696528	0.15566148421475845	0.15956916304162488	0.18709032263671999	0.1630693822571713	0.19572181609939038	0.19601937750212434	0.11894433780545881	0.1434851557311045	0.16575337405844157	0.1749565771022201	0.15606478551531275	0.1881857918414277	0.16750557617628392	0.17748736202420543	0.11416637892340992	0.21848668919431496	0.14893215224801526	0.18283245881521265	0.12583062315915225	0.19530826597725673	0.19831264623924352	0.1817826300283661	0.12317952487849344	0.20814242921174184	0.18407894459892746	0.1504126080274432	0.15050133805065655	0.16378601759192607	0.18148647772094087	0.15765025858173323	0.16446681641793345	0.19624661744350538	0.19777424060948237	0.20657849822416918	0.17737627216981303	0.11718505617685399	0.11908024786695662	0.16411516883726654	0.18771512049443012	0.16597081187071663	0.16702408870207816	0.21492227286908833	0.18716515896046382	0.18474166008685353	0.1498947551112739	0.11669444580910396	0.19063135499795264	0.10628368790827622	0.10983005969431522	0.18955078561265548	0.14077366267407954	0.17105129304707167	0.10185896775658851	0.17289467425928842	0.12882204638061348	0.19289059072588807	0.24757088487783435	0.17144918723313413	0.13798474612626616	0.2079329833223998	0.12968428684801042	0.19193615789954613	0.18203387692895592	0.18287358716031496	0.21955619805608284	0.2598076300784432	0.20304300218967694	0.1710803844294559	0.15685735663428788	0.18089702982060954	0.1364854358706121	0.16653546422388368	0.13925764699189097	0.15237564879143783	0.1351539583537855	0.1268731819870427	0.13212030196834387	0.3336717967459378	0.18781847496796705	0.10836483262709556	0.1278782769755487	0.22565328190714407	0.16916491908910852	0.13137169733603862	0.12733431705389373	0.20348460467258592	0.20120838271377242	0.1753263512696715	0.1405038934893074	0.16475315142878974	0.14764085190879042	0.126925352877491	0.19977241479939895	0.13146623710019864	0.14982874714292577	0.1925385988026592	0.14664814625873213	0.2210292580569447	0.19096384235616787	0.30990507251827754	0.19407918301465946	0.18781699164777302	0.11897686378736458	0.13617132700288467	0.16768375775763603	0.20832364627302263	0.21199169154645722	0.17293923463683775	0.3290728325856892
2M.10.3	0.08739564706296693	0.08186029906919254	0.08047336645303435	0.09590672965058185	0.11249880851150913	0.13212501437393653	0.15860436274479772	0.16948882304099366	0.19715979163994582	0.0	0.16757319309805735	0.1706241763288637	0.12097787906166	0.11505188516713255	0.12489101914664276	0.163910666538587	0.1241593161432754	0.08567260465954205	0.15315509392189536	0.13478809457001045	0.1310393187011464	0.12715131014232198	0.12137171213261011	0.18754905958423054	0.12109735872007187	0.15324273894037602	0.15044970760868384	0.15764071866121065	0.14429511507062776	0.13810993970428104	0.19083207700025212	0.10478787573125599	0.07828101973713383	0.0810646118513192	0.15113849533213988	0.16008815004178895	0.19192822546461025	0.15544807377050998	0.11370119760908176	0.17198389024541075	0.1044726027972308	0.13302585192546657	0.14411447058212484	0.16545969553138046	0.19241060270141902	0.17968134549328582	0.10175144098105596	0.1656322650012106	0.1514264980298213	0.1241424443782425	0.17880017293000178	0.15599577911030435	0.08527964710643111	0.17416154955076363	0.13901060469224827	0.1735796007635229	0.12488486720475686	0.16930409975724733	0.08212686976424399	0.1665509651646005	0.16297606020947894	0.1563289750187299	0.15926000698495876	0.1558025225406199	0.1635516837206119	0.12630374473833897	0.153409859685435	0.09379878018093284	0.25224824260106204	0.17758504667658806	0.1480703370199908	0.2213387409884854	0.17646080156338198	0.15313876031598178	0.15644765178740688	0.1490729398265014	0.2223598440473978	0.2694429725677025	0.1734253480899182	0.14371726971860352	0.15326813230495043	0.16878027370458706	0.1509857808703692	0.19673888752858437	0.14191957446967113	0.19746472376836438	0.1484399368330628	0.13960782000114233	0.1495529057413449	0.26178420991142487	0.17503998423582662	0.156051839270261	0.13745158048757303	0.1662794698972867	0.20486592128971956	0.1491379704951308	0.15447341711138757	0.18290725912385886	0.14959589125242548	0.1956262881375851	0.15356709270441998	0.17542439202220494	0.18968912112694103	0.14119872662315844	0.14148355190882053	0.14440550756609763	0.12869938817293491	0.16840725056178166	0.15517970410332702	0.1659563096615318	0.1690472194177976	0.26325791672839793	0.14003487965007977	0.1753885817252435	0.1786738978875568	0.1624013641892963	0.1392369650117366	0.16743084371940292	0.21776116831397385	0.17854672722235676	0.269420873137966
