LP_R3_1	NC_R3_1	NC_R1_1	NC_R2_3	LP_R3_2	LP_R1_3	LP_R2_3	LP_R3_3	NC_R2_2	LP_R1_1	LP_R2_1	NC_R1_2	NC_R3_3	NC_R2_1	LP_R1_2	NC_R1_3	NC_R3_2	LP_R2_2
LP_R3_1	0.0	0.08887402952377835	0.1515301799798722	0.12593512550173927	0.09106212916319446	0.11542268092234216	0.07322705751923658	0.11715693570979395	0.11702533435099399	0.11940420044791471	0.08655198429296693	0.12592908184866825	0.117952236279023	0.1398570481702808	0.08459920190922227	0.11352873632322336	0.10255577544740088	0.14163848792691752
NC_R3_1	0.08887402952377835	0.0	0.12622620810850738	0.10617862249053543	0.10189829414776012	0.10183108960973318	0.0899657338047658	0.1009158956211625	0.1057609966626286	0.11168729463459723	0.09284111249192697	0.10732490258534344	0.0936155716008136	0.11270127517057771	0.0959838753867724	0.09869709077657308	0.08087229919935657	0.12949398282320237
NC_R1_1	0.1515301799798722	0.12622620810850738	0.0	0.07074453197380848	0.1365641913154318	0.11660540073335766	0.15067153062817432	0.09780558170296079	0.13974419695526713	0.12222332748568446	0.1536855408647184	0.11400737552065936	0.10202721510141625	0.07697735874914503	0.15716113095034842	0.1036989626082841	0.10310119517462085	0.12252986050915811
NC_R2_3	0.12593512550173927	0.10617862249053543	0.07074453197380848	0.0	0.09211312058689648	0.08187009310175859	0.11069546511582773	0.07541350555065884	0.10778804762672499	0.0887136821893119	0.11449479570168902	0.08480865562834446	0.06866480948146055	0.07211705614193158	0.11357175701796213	0.08413537849281126	0.08088685791349301	0.0944228572180982
LP_R3_2	0.09106212916319446	0.10189829414776012	0.1365641913154318	0.09211312058689648	0.0	0.06404674834992928	0.0813875519259019	0.08251491891753492	0.11148997000801524	0.0894394286859201	0.06774548505346538	0.09891043649815379	0.09079140767561035	0.10665893038522523	0.07551119059584648	0.09671914156150165	0.09478334545551564	0.08269016966630682
LP_R1_3	0.11542268092234216	0.10183108960973318	0.11660540073335766	0.08187009310175859	0.06404674834992928	0.0	0.09969743357891926	0.0675625297389183	0.12480628939792668	0.07402089258844079	0.10120890554348937	0.08031414924537922	0.07747930542111839	0.08622606720813385	0.08217993846437237	0.0960414693245862	0.09366997487337338	0.05720677117876766
LP_R2_3	0.07322705751923658	0.0899657338047658	0.15067153062817432	0.11069546511582773	0.0813875519259019	0.09969743357891926	0.0	0.10565762026533519	0.12763264599453292	0.08898373627230295	0.0800435153186625	0.12051698393594318	0.12066903103801303	0.13175780206800242	0.08998530561497411	0.10422503623148659	0.09461155927988724	0.11943231771704546
LP_R3_3	0.11715693570979395	0.1009158956211625	0.09780558170296079	0.07541350555065884	0.08251491891753492	0.0675625297389183	0.10565762026533519	0.0	0.1113237237193421	0.08693431036286609	0.10623449549794545	0.10210655809068372	0.06777387123201496	0.08903893188874897	0.10120711489084845	0.078187393040502	0.0859369674514946	0.09064029978648304
NC_R2_2	0.11702533435099399	0.1057609966626286	0.13974419695526713	0.10778804762672499	0.11148997000801524	0.12480628939792668	0.12763264599453292	0.1113237237193421	0.0	0.1113035107706413	0.13711414465731045	0.11782852510964735	0.0965068142943333	0.11236967821060753	0.11848326954316907	0.10480934832617442	0.11308307349752618	0.14687024072085625
LP_R1_1	0.11940420044791471	0.11168729463459723	0.12222332748568446	0.0887136821893119	0.0894394286859201	0.07402089258844079	0.08898373627230295	0.08693431036286609	0.1113035107706413	0.0	0.11144656113570672	0.10838825828583436	0.09247213513522952	0.09581020743212193	0.09753781823238765	0.10121371752279858	0.09992659322865009	0.09522751222557121
