2R.10.1	1M.6.4	1M.6.1	2M.7.4	1M.7.1	1R.10.2	1R.8.1	2R.6.3	2R.8.2	2R.10.3	1M.10.2	1M.10.1	1M.9.3	2R.7.4	1M.10.4	1R.10.3	1M.7.2	2M.9.4	1M.7.3	2R.9.2	2R.6.2	1R.9.2	2M.8.3	2R.6.1	2M.10.1	1M.6.2	1M.8.2	1R.6.1	2M.10.4	1M.9.1	2R.8.3	2R.9.4	1M.6.3	1M.8.1	2M.9.2	2R.8.1	1M.8.3	2M.6.2	1R.7.1	2M.10.3	1M.10.3	1R.7.4	2M.6.1	2M.9.3	2R.7.3	1R.9.4	1R.10.4	2M.6.4	2R.7.2	1R.6.3	1R.9.1	2M.9.1	2R.8.4	1M.9.2	1M.7.4	1R.6.2	2M.7.3	2M.6.3	1R.7.2	1R.8.4	1M.9.4	2R.9.3	1R.8.2	2M.8.2	1R.6.4	1R.7.3	2R.10.4	2M.8.4	2M.8.1	2R.6.4	2R.10.2	1R.8.3	2R.7.1	2R.9.1	1R.9.3	2M.7.2	2M.10.2	1M.8.4	2M.7.1	3M.10.4	Input3	3R.9.4	3R.6.4	3M.7.3	3M.8.4	3M.9.2	3R.7.3	3R.8.2	3R.6.1	3R.6.2	3R.9.2	3M.6.3	3M.7.2	3R.10.4	3M.7.4	Input1	3R.10.3	3M.8.3	3R.7.1	3R.9.1	3R.7.2	3R.7.4	Input2	3M.9.3	3R.10.2	3R.8.1	3M.6.2	3M.9.1	3M.10.1	3M.6.4	3R.8.3	3R.10.1	3R.9.3	3M.6.1	3M.8.1	3M.7.1	3R.6.3	3M.10.3	3M.8.2	3M.10.2	3R.8.4	3M.9.4
2R.10.1	0.0	0.212816217062345	0.20016702144791226	0.12314387750675938	0.1169758663697471	0.19975946969547315	0.17287202873407276	0.06690010816230123	0.06195346729363041	0.06397996883910739	0.20441904682685857	0.17296750155854873	0.20466856689602694	0.11954743851124894	0.1844753642916955	0.17070045072672385	0.14037220912784482	0.09297092591571857	0.10715571861154863	0.1448203990918397	0.05432974960260384	0.16457993609147678	0.08600597860358937	0.082079981235037	0.0807662666790804	0.18859823622562075	0.22709396574131133	0.2105649341346361	0.10306720469997305	0.26553997159305154	0.04713983751670481	0.05758410371787972	0.19780498769216753	0.207148866073458	0.10998675218539122	0.0372244047241529	0.16852567659826528	0.07966343613068065	0.10548139549880699	0.07937637301706792	0.19346583510772927	0.11433024574986973	0.10704144668596821	0.11763680007083747	0.08392081036599601	0.17172007501506653	0.11842202724586974	0.10315272937935392	0.09700843656290871	0.20386649475637825	0.19698838594666382	0.08910598576323718	0.08569721080288048	0.17778618437927152	0.1279582166893857	0.19667095080867186	0.11972046512901546	0.1568007591786083	0.12600264343728476	0.20064691118415437	0.20808444396584488	0.09994012343373555	0.17386228388874972	0.08782429097932379	0.18067795173341242	0.11825138098242088	0.08431019674947057	0.0646319366791093	0.08815348948189017	0.09769265890349797	0.07874765741385173	0.17268300713858278	0.11160365143819054	0.07287609673565075	0.1758830455411735	0.12342656801152238	0.08964451016073205	0.1813082350469048	0.13117789103532457	0.09782256300018047	0.18424469879932906	0.14794269202065566	0.11229758760616303	0.14738280881833205	0.12537077937629232	0.1331635375036339	0.16197255882378933	0.1183496934441722	0.11944498320940522	0.08297295454820573	0.15789620590095868	0.11825402851112682	0.16888191116554466	0.11638614659917308	0.14525253492639245	0.2189135000826339	0.10146733677737313	0.12368833061966944	0.12080597003774113	0.13847918553778865	0.15399083089116047	0.16623551452840013	0.17115072393914219	0.12814100623168026	0.11183991211400608	0.09485737827782444	0.1421609943667514	0.12558851971849874	0.09629593839948997	0.13837667531425904	0.12523456213718748	0.11369860038327811	0.13339223100983832	0.14673516730841196	0.11491429159040606	0.13336312063975966	0.1328003841466268	0.1313508963257026	0.13884789508816064	0.12696200839174246	0.12255180384526727	0.10798378556495752
1M.6.4	0.212816217062345	0.0	0.14537837471215825	0.14321515729966436	0.14192084031066818	0.10497747220322792	0.1159275962880631	0.21884707894144087	0.20316835525386703	0.19965417243973868	0.07320438830221002	0.10992096264886643	0.10499416752101508	0.22999779446515775	0.055102254772014164	0.1312983638643202	0.15566250181159494	0.18103272566475628	0.15118498052473453	0.21442992101405367	0.23929695158651582	0.12182993984919943	0.16948885406295172	0.2182757113064934	0.1706352071614629	0.09293515157461005	0.06156879761401271	0.17403435433422149	0.18172052727677648	0.09747719435390834	0.2111504255148524	0.25101120515754527	0.057010530047704094	0.08398083251764098	0.18335348617461703	0.23583690818831318	0.10176070568719044	0.1876231079501023	0.21061974340303888	0.157919673766918	0.0636013745492934	0.19534489396850443	0.1502525711845804	0.16710500243844842	0.2160617780223835	0.12609197030705785	0.14027258953928445	0.17743087926885873	0.21211365189461476	0.13126677969373285	0.12778749265000225	0.16704115722300003	0.23163666140445743	0.11541023971177497	0.12703257880938681	0.17482332493995462	0.14870023070299365	0.1186275721666143	0.19190631316674697	0.17823228744862493	0.07760933034355096	0.2150509666537349	0.12369529856160141	0.16654848903534952	0.15343092228676405	0.22550045746815772	0.1982345058691432	0.1697860160527429	0.17151884299897996	0.17533031874880037	0.2354587444249089	0.1314863417472136	0.18368534645162662	0.24478028597172538	0.11832332118482486	0.1601003733924704	0.18333645274431845	0.10125488087671862	0.1525957528752874	0.16926697110670527	0.18921880110355552	0.17456342981278225	0.21576740333863842	0.1316482721281333	0.13504765009492145	0.16220110634416277	0.15424387958470137	0.17379269404798203	0.1642036533123337	0.20393266598520784	0.15962215582051717	0.14756212603810365	0.1411844400010696	0.17530310883184327	0.1379928448783734	0.2076313109988576	0.17581101525638282	0.13502609562869006	0.1620206709929565	0.17094745289627652	0.1541414430121664	0.15197140286819139	0.20248955637864258	0.1520517743313165	0.16429074971283653	0.17796629769597616	0.1365537768213223	0.1462837248357729	0.16348001902057838	0.16669044585562112	0.2151981040594534	0.2239239948892843	0.17144399913604838	0.15411349647474012	0.15116987420874983	0.13764002159012773	0.20135355184055773	0.1560698168954697	0.13471295189724827	0.1295981520622916	0.1867753378898252	0.17895217601987298
1M.6.1	0.20016702144791226	0.14537837471215825	0.0	0.1800673165949567	0.15795312981539275	0.1091584514449007	0.11858021359181892	0.2053142314874338	0.19951780493081092	0.20384235914881368	0.09739326613038311	0.07987881036768124	0.09716818847950603	0.22687893491750377	0.15054776021258237	0.13622115044163888	0.15029913436095363	0.18700454185975407	0.15168151040198088	0.1715526099329959	0.21865116149449415	0.12137883642911662	0.21318451273593383	0.23700417570339502	0.20646343324919927	0.12888241913254397	0.14182776673202258	0.10234300252389965	0.20301025310247056	0.14559666428816062	0.19458899796064696	0.23994826365720756	0.1180938924282115	0.0758267278037828	0.20572147024828225	0.21965340921265586	0.08615701586308118	0.192724574429316	0.2065810811958192	0.20026555736346052	0.11949759848892533	0.22776669389172516	0.2356650582999048	0.21097691465928234	0.23650914795119932	0.09894708743813521	0.1295764281355529	0.2053058201737674	0.20449754204650256	0.08368534713686245	0.11660532892735503	0.18953404645369173	0.2343174885278842	0.1289099468517282	0.15445846429954502	0.07347877172077236	0.17901944616929807	0.22185798846368346	0.19681441149319617	0.09791042122999609	0.12525059284058546	0.2030274921766839	0.1300536098095246	0.1764337719192754	0.07339983792390567	0.22392524822072846	0.2029164312337033	0.18715347475593747	0.20176173416615423	0.1734450302307765	0.21661254013196707	0.12545422318643332	0.18813631951758464	0.23280890457434894	0.12160792261314013	0.1999872591101985	0.18314716226606567	0.12954018256943378	0.1865661733695218	0.23010269792216614	0.1571569573078612	0.16129034206049803	0.19663276533564647	0.19605805594503403	0.22325758648277588	0.1731662773626884	0.23118372678936408	0.19375514259461038	0.18210860324461883	0.22198484680910538	0.13111645523156087	0.22844326279355845	0.19740146722174265	0.2068294623702595	0.19818924292085327	0.14890478366439833	0.19695348688120723	0.1952515124300532	0.20403206200652393	0.20049461190189607	0.20070202669328144	0.22429964492550813	0.17660152072094923	0.1661639534612138	0.16683876580222112	0.22495541255347382	0.2063439154144612	0.22584144441117246	0.22874295864803437	0.21080528284518865	0.23847698276998883	0.25089398123168394	0.1709104760610343	0.2480040109509942	0.21836342052815247	0.2267274050597397	0.2342797348846285	0.2002825868527819	0.25140797172614787	0.20474355881442713	0.17337051950663465	0.21172058473688238
2M.7.4	0.12314387750675938	0.14321515729966436	0.1800673165949567	0.0	0.04907631396800576	0.16088080496992874	0.15338525402892048	0.11280282523750272	0.08629292716992157	0.13381407718022895	0.15045045056270961	0.17101308487742176	0.17277279868278672	0.15034789815121022	0.12274526746845373	0.17242523368116797	0.06450059929894307	0.08494265407888052	0.059704201294222	0.19095107240404374	0.14141879250463454	0.15460743987903972	0.06918603182885573	0.13114003440868763	0.06566411517556031	0.15856709369843824	0.17243984512075708	0.19408743353214394	0.07770341730878187	0.1789727882170338	0.11282036785073257	0.15495633571996661	0.14929463115651914	0.16384458240839186	0.11949085244219845	0.1326232209540927	0.13678215926014822	0.10516175607809283	0.10172986994519236	0.06736205172551409	0.1392918167748627	0.10693256033802542	0.087532517269313	0.08671996726540139	0.1223211352197994	0.14297967715259263	0.14275067228886282	0.08150572688147467	0.11929270875606819	0.15516734109971392	0.18462223508320652	0.07652229438621817	0.17477046576467234	0.16266901653873686	0.03923072024240473	0.19494251381723396	0.056191434413127885	0.08880554626164225	0.130370566617831	0.18947149803819674	0.1752547139194687	0.10825459765484399	0.1566842078504139	0.0549160320839454	0.17972736402127892	0.10170958864920292	0.09856762168028856	0.08446835610546864	0.07834013077557833	0.08140336409205542	0.1348855690093685	0.14603217005933808	0.10523827109508074	0.1537278045524674	0.17282321441728074	0.059832670446835365	0.09497351602649122	0.16161418491321128	0.06737401442186602	0.09970838466314651	0.19347164641415368	0.1319100066378735	0.13428249812481388	0.09275015528566377	0.08881674270722494	0.13662243370101562	0.12385537432183381	0.12193223036000049	0.10040643410531268	0.11564556870419228	0.14081922693699395	0.0884053099044098	0.11437008179546478	0.11128876104072397	0.08809850439274072	0.22966837590108086	0.09906848369776383	0.09246214131299786	0.1135346748359164	0.09848683483774796	0.11146377350623095	0.12809135008446523	0.19366641953743222	0.12891464837941877	0.1299798568943806	0.11638499311751539	0.1102630381965631	0.09025600556677507	0.09957055365899137	0.1336406661038953	0.14776637232669798	0.16322104312654073	0.12776790911210523	0.11067625947513314	0.09081796792936242	0.08780854018533651	0.11520801626610339	0.10673418039654839	0.1041602017831634	0.09863781514053817	0.13005903958508558	0.11435872746028598
1M.7.1	0.1169758663697471	0.14192084031066818	0.15795312981539275	0.04907631396800576	0.0	0.14797031523089066	0.1290099399615179	0.12312331755622294	0.09670884711668945	0.14338437002257298	0.1345208886646287	0.14527940074467363	0.1703662835688286	0.15401667508220543	0.1326568062037998	0.16489029912436767	0.06031183874247711	0.07680515529939161	0.029740295606812246	0.20247655821369084	0.1315840747920796	0.15013130526139046	0.07398652016179293	0.1257555360495232	0.09889855326021672	0.1318631942450522	0.16722646868957552	0.17993791555226157	0.06636442869773944	0.19540796284908676	0.10283517696586093	0.14695502541645575	0.13082430474559864	0.1480199073188624	0.10692870952288078	0.1250899866866769	0.11182186838894834	0.0889112374792433	0.10839084010305045	0.07184505756461931	0.1275745260986283	0.11771608125428455	0.10020010647867672	0.0752839120379617	0.11558661305708766	0.13764477336504846	0.146463889391888	0.0791396227508606	0.12614217753357165	0.13716398107048172	0.17383740017941146	0.0632516497061639	0.17135173997148045	0.13634142138243086	0.035026176852073335	0.18446970186758382	0.040050653935304874	0.10232351646817742	0.1205924586186848	0.184474318064024	0.1525708895334103	0.11671534973816054	0.1569921803682994	0.05094102143185894	0.17987443280752405	0.1309405777532316	0.10882326284476872	0.08505157931388284	0.06541069345181176	0.1016056407000245	0.131021911356541	0.14760342744964575	0.1035747856047647	0.150820761593986	0.16987751982450328	0.04874041128738595	0.09182264803860327	0.1449194819669378	0.04738612900280986	0.10965971563831517	0.16971818330470428	0.14086494760840954	0.11887300516257879	0.07148887713810152	0.09535986415493512	0.1371314341251609	0.13340261274769066	0.12243720029105366	0.0999507137567456	0.11970552521705483	0.13433420399664325	0.08804400691668245	0.10016029576405393	0.10119628260701061	0.07634918218282566	0.21141434927875655	0.10164371662806808	0.09758792432303798	0.10205665019109444	0.10290677549026812	0.10204662123563198	0.10786593472634672	0.16544109585608271	0.13596608677813432	0.12886007430487578	0.11655472431305908	0.10914397576117842	0.09706596825372225	0.10944424866402178	0.11075947570812106	0.14342316419501813	0.1670441031663431	0.11401779189474778	0.108135403512582	0.0994311629964286	0.08679950287455974	0.11305342336553419	0.10670723732965989	0.1097847047788029	0.10496748548015716	0.12696558520612625	0.11775964291873106
1R.10.2	0.19975946969547315	0.10497747220322792	0.1091584514449007	0.16088080496992874	0.14797031523089066	0.0	0.0590867596795783	0.20100120985683645	0.1967403063704354	0.19455780577972118	0.10389065981351074	0.0964218330916227	0.09018239858965904	0.24835891373393013	0.10567397729868877	0.08016908130677038	0.16003999045495315	0.17990649532861244	0.15963137847340472	0.1837801564519357	0.24563159204518845	0.10014011361501428	0.1817849496654107	0.21461904914039076	0.19349828522485005	0.13965029721237324	0.0702744782682387	0.09763667178640838	0.18606400872846296	0.13337431485256326	0.20059689651441912	0.2339091817386534	0.0870084329646851	0.09196044298643218	0.1784091642571217	0.22409523236995307	0.10097078612105256	0.18360528771114287	0.1868368981870435	0.16080317472023006	0.1180945618439764	0.20908462764611047	0.1802567617914422	0.18210610326540616	0.2158339615018434	0.059797867502731625	0.10824496945276174	0.18300392807611188	0.19001020943756208	0.055301372276491186	0.09330527905993108	0.1721919721903082	0.2079080532090435	0.11211239756267566	0.1404997995691839	0.10809672498982156	0.15974617737003058	0.16741627060198472	0.16968816578772083	0.11190245405930127	0.09639587455145907	0.1995121275173117	0.0623668575630859	0.17013976913058698	0.10874762243329138	0.21455983938137976	0.19748204178772238	0.1803471504578354	0.18620587208490566	0.15928792655956203	0.22725448395260708	0.07524488166207384	0.17042719475136836	0.24017074708503394	0.08450775097141512	0.16883733434175435	0.17951877732013016	0.09224520630189514	0.1611066900573733	0.20229565681629286	0.1842294726104508	0.17799987573112266	0.23100244878920975	0.18274493349312096	0.1881896910898161	0.18334524118326107	0.21287474917408863	0.17207890638532083	0.1848766398068133	0.21544049486074757	0.15074847904212227	0.18719989812678983	0.17883007029877632	0.18726108002595937	0.1798618728686897	0.17825759392857035	0.1853712292774824	0.17098165164897255	0.18925169394044544	0.19756654404047264	0.1968050781509531	0.20842216147455453	0.1902503242210035	0.1766617670092411	0.17965488189662257	0.2021374016318254	0.1813848701825555	0.18455449471330793	0.2038659604386838	0.21097270619811995	0.24071896075745783	0.245629282068817	0.1912444825113696	0.1911359041940684	0.1900595435674622	0.1882380350401008	0.2066929536659785	0.18628596070579326	0.19582346091097239	0.1668669964572871	0.21350433245681877	0.2067183385627753
1R.8.1	0.17287202873407276	0.1159275962880631	0.11858021359181892	0.15338525402892048	0.1290099399615179	0.0590867596795783	0.0	0.18833787354550724	0.1900181181340174	0.19518125782907353	0.08455500097224357	0.06684960820640243	0.0733428387796053	0.22231891901735162	0.10208927126284727	0.06783085798508573	0.15012929017233306	0.16346430094646078	0.13460795628239186	0.18368724054561028	0.2095214219665057	0.08749639238420451	0.1653371251837276	0.2025760251052681	0.17931784832661182	0.10378110459875187	0.08543557789493207	0.09602622683663213	0.16800934754202376	0.12128740582295784	0.17253602588290656	0.2112941861108436	0.06652383243608015	0.08658020935904014	0.16032351328448236	0.19421470951470027	0.07876180141908479	0.17369511074701446	0.19480262730251482	0.15379366669948968	0.08750993136217594	0.21496727613410194	0.16832379293871416	0.1583961147205909	0.19099561069678309	0.04270971002663583	0.10546600747193775	0.1661055080617024	0.19094499017832609	0.07039646456793033	0.07590768754657047	0.15748374256511055	0.20115563051297514	0.0952374085706835	0.1319137660387935	0.1134475227285847	0.14689227105885033	0.15515522947503885	0.18551104197831175	0.10708347283544818	0.07124105332293265	0.1920135680212711	0.05977181862360174	0.15545063193081676	0.0931625749349552	0.21528997118358387	0.19613421467737124	0.1426505782615646	0.16573126423303502	0.15553551686540074	0.19432795058051022	0.05302899617717457	0.17579017811782102	0.21789733481212822	0.08634482963811464	0.15752124343296284	0.17510319417994885	0.07474652570419377	0.15519218418064223	0.179244531439103	0.1782938464575162	0.14225663788467058	0.20464058582890646	0.16209988714557474	0.16936606590964082	0.1582974106297653	0.1885608883205832	0.14709002644613464	0.15201606394541814	0.18001682462581786	0.12644616937947353	0.15216432722055015	0.1636194712309892	0.16615554138125202	0.16056046941459992	0.18157827884218827	0.15737438653630687	0.14531336350255974	0.1554306067171413	0.1625564858462264	0.1757689013709495	0.19295604567428787	0.17889155849342442	0.14625829613045954	0.1426167291754059	0.17442204533857922	0.15044652275067796	0.15795973623105974	0.1802866577200405	0.18819753642958906	0.20592328165471074	0.21764197679726116	0.14825935936428145	0.1733692630861105	0.16457403593516007	0.16235687282242287	0.18356155024990253	0.15750058883342044	0.1676036625221575	0.13980353884277308	0.17580832249125183	0.1788046878476685
2R.6.3	0.06690010816230123	0.21884707894144087	0.2053142314874338	0.11280282523750272	0.12312331755622294	0.20100120985683645	0.18833787354550724	0.0	0.07318684052962987	0.08885182252632455	0.2147259551511461	0.20414236236683012	0.20970465195279306	0.1074597460032702	0.1789423057972689	0.1766095917330129	0.12214119220627961	0.10611081679158424	0.11665623924322752	0.11692604443332087	0.07692986613943088	0.17605464228036213	0.12412809806665524	0.1185588962953943	0.10293496104884971	0.2232119386028269	0.22967463575471894	0.1875843276435545	0.12409428442867103	0.2779766862237791	0.07563089273187995	0.0787854074272588	0.21742144066723984	0.2224692385434865	0.13548871090643563	0.08309008183905003	0.1809328429294466	0.09839487469024508	0.10031919881094355	0.0872193622168604	0.2117835927513036	0.11744606708246427	0.14432593413075395	0.14606694007185209	0.09375262003161466	0.16844074530546047	0.12701860772658918	0.12538358194519256	0.087827385786519	0.20409346603456632	0.20602293269421212	0.10393692492319895	0.12086791035487887	0.18097375850586217	0.12209108116896494	0.18411131590067545	0.12424892862939552	0.18073926499926526	0.09623335205627415	0.17283617977813193	0.23726286962338136	0.10504422141910506	0.16204353033336608	0.09629909629733699	0.1818868932551559	0.10473374103046167	0.0743820987160516	0.09163015695709667	0.11364392732036793	0.0762438691606645	0.08542771336840048	0.16243877628536713	0.10377875379093471	0.11058566433233871	0.1764485656477735	0.13223975659184753	0.08147810191146637	0.199917040143706	0.14029912231849695	0.11465003452510829	0.1731153833306763	0.15000534896702494	0.13805761601508393	0.15681860830341818	0.14065510045440366	0.14842570881305245	0.18221089629710005	0.136511321297768	0.1223972726133344	0.0980425170844558	0.15896283861066937	0.13271415741543702	0.17927442923063033	0.12137628018494806	0.15781536110072464	0.20282107632413557	0.10039341666976742	0.1398500712749125	0.12832837535428238	0.1406570717745768	0.1741149694295692	0.17371356058844578	0.15791823510822997	0.15220072483808125	0.11377837383210115	0.12181649471292934	0.1622160881445613	0.1453359326155448	0.1222708933948908	0.1572228336698312	0.11858556817864936	0.10905517037544366	0.13239244082916793	0.16969437786412042	0.13049760586520992	0.16085274932150603	0.12428026105424514	0.1443141844584285	0.1687328226947824	0.1459403770226262	0.12799856423231853	0.1332373851375616
2R.8.2	0.06195346729363041	0.20316835525386703	0.19951780493081092	0.08629292716992157	0.09670884711668945	0.1967403063704354	0.1900181181340174	0.07318684052962987	0.0	0.06957784663859848	0.19808882054477586	0.20591426018519243	0.21484813228903038	0.10549232965469083	0.18178624097390728	0.1667588868716664	0.11002384019562249	0.09252089901336236	0.10974233949801143	0.1602208384198222	0.0728211753387303	0.1477939843817719	0.09229005793667112	0.06186807270180564	0.062367664736427825	0.21167256740938536	0.22669391316327234	0.21527053808892935	0.09495471694827927	0.25513603610936775	0.05822066391913225	0.07830802814710473	0.20796683250153936	0.20290838681345003	0.1102517404917072	0.05985270025550318	0.16763209323849043	0.10808452968723949	0.05232835680067935	0.08493481530132214	0.1996395709508049	0.06232012960198214	0.11041285950547808	0.10709468016462528	0.08024975111981439	0.17420498207141275	0.1178066880020428	0.10208880289276996	0.07832041823294719	0.18585756976027892	0.2074687698072032	0.08697936334635799	0.11195368402239203	0.19228249236993838	0.10422126463896665	0.19578649787713912	0.1050175085105822	0.1576848747889006	0.0910684548678995	0.19696507071256875	0.22920658262810226	0.0742142500367676	0.1694742623894565	0.07895858893162849	0.18913343116533707	0.07171102987602329	0.06194143585783666	0.0824754344477775	0.08438211020784891	0.07680012406885824	0.10641608611786854	0.1754470723997712	0.06348660105183464	0.10123364343674682	0.18739344090139728	0.11017992515736878	0.09214955280162515	0.20363226863854703	0.11579559814725277	0.11907875922591438	0.18770983062313545	0.16187941120237867	0.14003467769176806	0.15111905189294317	0.11947518048824429	0.14089934911875512	0.1534857369004395	0.14563122793741023	0.12989758236805335	0.12370319286146716	0.16755336691615216	0.137720311781575	0.17082834443351408	0.13514117719487131	0.1421891180726728	0.19978182999237942	0.12420712494500184	0.13805473025558734	0.12339422980868768	0.13933643326226233	0.1474332271990935	0.16270041352753212	0.16787431919620915	0.13516338080667722	0.1328629257144609	0.11689136067780101	0.14738775316240443	0.1459413694570854	0.11671937863089446	0.17229188575911175	0.1544921004669394	0.16384098882845866	0.15122178498347236	0.14687420412034993	0.12344757032851204	0.13409027220810343	0.14786188067638056	0.1488075810429347	0.13763002476376032	0.1349546832891849	0.14375567812946802	0.12033595564080858
2R.10.3	0.06397996883910739	0.19965417243973868	0.20384235914881368	0.13381407718022895	0.14338437002257298	0.19455780577972118	0.19518125782907353	0.08885182252632455	0.06957784663859848	0.0	0.20471337139278023	0.1912633616236841	0.20408024691609009	0.1064709063393368	0.19074545133087298	0.16969800933750512	0.14958200125384247	0.11490215303795588	0.1462370663267866	0.1326586907082028	0.08482830570185922	0.16104087241705722	0.12243379991608674	0.09039127471094427	0.08920204890184785	0.21474291618140673	0.2147446828616861	0.20837425300534296	0.13487385439689883	0.26543764231826145	0.08222606713314606	0.0742395719904998	0.21332470427497932	0.20644241972050456	0.13751998769631224	0.06687597564587129	0.1776841182919419	0.11556793822290061	0.10230028766301752	0.09179888379468976	0.20567466582723845	0.08065532680138358	0.12735902635333332	0.14636721858803886	0.1210677728290914	0.18235078853216147	0.11465727604443993	0.13211356218000014	0.07931423652512362	0.19586394213119324	0.2053402441158867	0.11028679683888509	0.08828067282870504	0.18928028619153886	0.13644256478727512	0.1969417182635572	0.13258935263442043	0.1751175203018399	0.11877576821263158	0.1980710663621431	0.23007072396728273	0.11006708287674717	0.1792844888345748	0.12221189421207905	0.18177465246446856	0.11989166833975887	0.09265389431784686	0.105443964834602	0.1223168908540739	0.10948065221938474	0.11922420730861605	0.17825690859398724	0.08208705979930314	0.10474122963146534	0.1714221696049374	0.15034175571952946	0.1078064377079638	0.19546185616564557	0.14680302834729517	0.12661909155678064	0.19093991664981386	0.17164642985725223	0.13992485887439346	0.1805679668873208	0.1381913920805373	0.14151278187371882	0.18169871131763912	0.14771106916915067	0.14886491090431625	0.1292616537914221	0.18201157039156507	0.15587386327878328	0.18455268377104886	0.14524345797495605	0.16860329404848032	0.197960112570608	0.12518216723480652	0.1381470733102951	0.1481486298957209	0.162934202270946	0.17806201509497357	0.18848260720523533	0.16900279423752979	0.14604025997854966	0.13804349562373253	0.11459173598253287	0.16086315869730608	0.15374998467408404	0.13359480517006173	0.1625700875686798	0.15572354453107598	0.15770816446703162	0.16295002571941739	0.16020011212043606	0.13042356981011247	0.15998859138130714	0.161257107667043	0.14543715578264912	0.15975659959763927	0.14332710997113562	0.14663442341005775	0.12355852856537848
