LP_R3_1	NC_R3_1	LP_R2_2	NC_R3_2	LP_R1_2	LP_R1_3	NC_R1_1	LP_R1_1	LP_R3_2	NC_R1_3	NC_R2_2	NC_R2_1	LP_R2_1	NC_R3_3	LP_R2_3	LP_R3_3	NC_R2_3	NC_R1_2
LP_R3_1	0.0	0.10095012120254272	0.09241840225454588	0.2772818557144458	0.22652171258398537	0.1737410961058805	0.063574470045806	0.1025160817523003	0.10914308766436066	0.10140411133860189	0.2858072469332901	0.09353106612265179	0.0858433483209922	0.284332589958592	0.22741773973805912	0.12826923866671888	0.12682665325986253	0.16316821485032112
NC_R3_1	0.10095012120254272	0.0	0.0665356340669571	0.25820884611425327	0.15931519043951617	0.1307417594516577	0.12747076423933015	0.07800896500970096	0.03729512449656087	0.06790726534513425	0.30456286084986417	0.14630272482698556	0.07426963417753904	0.2653386289355012	0.20784491789044357	0.08835720356971163	0.08388189091887639	0.07906943095144585
LP_R2_2	0.09241840225454588	0.0665356340669571	0.0	0.28579084302669067	0.21864082515388455	0.09720743625602506	0.13717029674556033	0.10795310794928908	0.09562342540724093	0.0727310383508947	0.2772983452078101	0.16008447897670666	0.015383350219769675	0.29280452650513017	0.23616272263158156	0.11885023287349325	0.11243103524427876	0.09405074225919052
NC_R3_2	0.2772818557144458	0.25820884611425327	0.28579084302669067	0.0	0.19144547306599347	0.26629944321788845	0.24273930839388638	0.18587950756856708	0.23331919685292699	0.2186943654481977	0.521741523210295	0.24713294321224807	0.2745330951582142	0.16629778281389548	0.165262653756117	0.19558459845673226	0.19086373190188774	0.28391460624209314
LP_R1_2	0.22652171258398537	0.15931519043951617	0.21864082515388455	0.19144547306599347	0.0	0.20531387338288704	0.2571577251725212	0.17620368913352732	0.13339278615250721	0.20326338235473992	0.44241158205639564	0.26192820345081363	0.22378761584251164	0.1859301891992672	0.2204249389105295	0.15907125073076242	0.16348078939841743	0.18623148727237807
LP_R1_3	0.1737410961058805	0.1307417594516577	0.09720743625602506	0.26629944321788845	0.20531387338288704	0.0	0.20924358494383805	0.14934014773585183	0.10940633715932944	0.14018512301568267	0.30879210146467656	0.22148944053353087	0.09878461861222065	0.3166524325597832	0.21560572667121164	0.07634874826569181	0.09092702077877372	0.0977696956731026
NC_R1_1	0.063574470045806	0.12747076423933015	0.13717029674556033	0.24273930839388638	0.2571577251725212	0.20924358494383805	0.0	0.07954292383669828	0.14601406334147368	0.07959032797306524	0.32573816907105296	0.029679040807263867	0.12985660050200312	0.2710148346841958	0.2287735074737703	0.12860714848748153	0.11188754946671907	0.20026746839949613
LP_R1_1	0.1025160817523003	0.07800896500970096	0.10795310794928908	0.18587950756856708	0.17620368913352732	0.14934014773585183	0.07954292383669828	0.0	0.08013864642080856	0.03543786004554996	0.3719324144843707	0.08732994987524806	0.0956380180054277	0.19913051959814398	0.15343441285948156	0.06927518142007726	0.0552754135217601	0.13906021285679435
LP_R3_2	0.10914308766436066	0.03729512449656087	0.09562342540724093	0.23331919685292699	0.13339278615250721	0.10940633715932944	0.14601406334147368	0.08013864642080856	0.0	0.10119631152928805	0.32839910960995394	0.1733924946184898	0.10281349073587281	0.25817778840094746	0.18236354179582012	0.07306997348609827	0.07184733227921646	0.058463716301674774
NC_R1_3	0.10140411133860189	0.06790726534513425	0.0727310383508947	0.2186943654481977	0.20326338235473992	0.14018512301568267	0.07959032797306524	0.03543786004554996	0.10119631152928805	0.0	0.3420790364998654	0.08941597544152287	0.06035371249201543	0.22597030010550867	0.1783129209170612	0.07495621558590075	0.05578986025822104	0.1292305196796189
NC_R2_2	0.2858072469332901	0.30456286084986417	0.2772983452078101	0.521741523210295	0.44241158205639564	0.30879210146467656	0.32573816907105296	0.3719324144843707	0.32839910960995394	0.3420790364998654	0.0	0.3392621657397412	0.28853713563273303	0.5272899781437625	0.4819024646737908	0.36509080979049785	0.367471130234323	0.27918218494662256
