2M.9.4	1M.7.3	1M.9.3	2R.6.3	2M.7.3	1M.6.1	1M.10.2	2M.9.3	1M.10.1	1M.10.4	2M.7.1	2M.9.2	1M.8.3	2M.8.2	1M.9.2	1M.7.2	1M.7.1	1M.10.3	1M.6.3	2M.9.1	2M.8.3	1M.9.1	1M.7.4	2M.10.3	1R.6.1	2M.10.4	2M.6.4	1M.6.2	1M.6.4	2M.6.2	1R.9.2	Input3	Input1	Input2	3R.9.1	3R.7.4	3R.10.2	3R.9.4	3M.10.3	3M.10.1	3R.7.2	3M.8.1	3M.9.2	3R.6.4	3M.7.4	3M.6.2	3R.6.3	3R.10.1	3R.8.4	3M.7.1	3M.8.4	3M.9.4	3R.8.3	3R.9.2	3R.8.2	3M.10.2	3R.9.3	3M.6.3	3M.7.2
2M.9.4	0.0	0.223617751563	0.20208118182	0.152231559448	0.572740288578	0.512088659358	0.238762187165	0.14430225243	0.281094517374	0.518066696645	0.529986513378	0.163528814995	0.0218334386597	1.0	0.509842781059	0.553524874352	0.588371214233	0.190770006178	0.497270708764	0.235206105211	0.536176311822	0.525138520322	0.0111203447067	0.000267097908381	0.195776287566	0.522098944199	0.533386078172	0.524628944256	0.529042653222	0.178106172654	0.296534897444	0.175114417876	0.234561398779	0.261208853859	0.0168717480828	0.503406800507	0.218749447176	0.226319636372	0.617475534211	0.196659446488	0.16204215231	0.183305532163	0.0116425893119	0.0253992150625	0.2165622479	0.279119779945	0.546722936714	0.0083814221443	0.266740268684	0.54919334048	0.52654829424	0.00407263433597	1.0	1.0	0.055210838397	0.519713067115	0.534693077257	0.00206023646667	0.0530965884801
1M.7.3	0.223617751563	0.0	0.0454974234787	0.0755073765188	0.283073325054	0.314774987748	0.103805805051	0.0966206551407	0.0940080642533	0.225103528492	0.223313594359	0.0667266798197	0.237720260508	0.66366771067	0.242394476475	0.255988184495	0.305384488373	0.0602059719028	0.297451105966	0.0485677732569	0.231852837482	0.216651644662	0.230787334829	0.223789636816	0.0849905823596	0.264057194635	0.227998867707	0.267296501542	0.222014774885	0.307981189009	0.0911472286718	0.070875968359	0.0492393392917	0.0333312817567	0.212493706057	0.304604101854	0.306871998006	0.134655869251	0.378277426842	0.100390281433	0.067629516004	0.0728853809553	0.231124712168	0.240033499187	0.0211627966777	0.0863142391322	0.570812015892	0.229018941476	0.0725062495852	0.249934087611	0.218586545207	0.22099883856	0.66366771067	0.659741116498	0.259484835975	0.646595791091	0.22980318833	0.224943980546	0.186744785749
1M.9.3	0.20208118182	0.0454974234787	0.0	0.0471249777262	0.338256258515	0.274351895522	0.0632039571173	0.0703733606826	0.074371081054	0.26605194425	0.281587289416	0.0357803701091	0.216973985381	0.656642443661	0.255399377192	0.312601482391	0.359352507629	0.0177299112173	0.255502442718	0.0271142989609	0.289699489473	0.275255110869	0.209654440087	0.202262790789	0.0490885646136	0.271294569851	0.28603885882	0.274590623198	0.280352995632	0.30743154202	0.0697285598134	0.0357138406931	0.0421049209697	0.0793688020471	0.19171979463	0.26328843584	0.336368994888	0.106396240167	0.366535835145	0.069063308177	0.0354839001365	0.0362067532412	0.210010716401	0.219415407852	0.0567994145078	0.0766945440497	0.634364602628	0.207786843982	0.0487295746845	0.306860414635	0.277094538758	0.199313835233	0.656642443661	0.652522155807	0.239928476659	0.613333411206	0.287752787186	0.203482378413	0.217180669513
2R.6.3	0.152231559448	0.0755073765188	0.0471249777262	0.0	0.375690209915	0.319652417727	0.0991844866516	0.0241774532786	0.121612245628	0.306094252835	0.321093431253	0.0111954995058	0.168392492657	0.723851038327	0.295801379876	0.350996143073	0.39596850336	0.0536095816869	0.301603711944	0.0751617517361	0.328920192766	0.314981454068	0.16045132432	0.152428711565	0.0604102924924	0.311157479228	0.325388830192	0.31433994148	0.31990223925	0.27686129521	0.121067171284	0.0392578542908	0.0756813752822	0.10983141111	0.152242106346	0.309061303309	0.307933500022	0.0932441786322	0.418541133144	0.0620161062447	0.0199238574003	0.0474459523235	0.160837931294	0.171040551829	0.0696386696408	0.114506130627	0.608134813697	0.158424612388	0.0964559603077	0.34546494811	0.31675715133	0.149227125723	0.723851038327	0.720465680615	0.193275890518	0.593537928514	0.327042329469	0.153752627979	0.179516318346
2M.7.3	0.572740288578	0.283073325054	0.338256258515	0.375690209915	0.0	0.593278435661	0.36093176034	0.394867063816	0.32378465	0.112983858229	0.0886079120769	0.364052353934	0.580993538678	0.58110800111	0.129719587289	0.0400539371744	0.19634367795	0.34741299864	0.582345472602	0.313838862204	0.0758938888705	0.0985390848527	0.576938585805	0.572840998213	0.370181352923	0.155257604394	0.0816298588955	0.159212457611	0.0905432595573	0.618054774596	0.372577233833	0.361215669873	0.295438930978	0.246321216437	0.56558420401	0.586863800843	0.468834669113	0.410767098922	0.290451631119	0.384668140724	0.362559011955	0.361390901273	0.577136020568	0.582345472602	0.28799213239	0.266423548773	0.457163421104	0.575903532435	0.34524016359	0.0490308510082	0.0956535626329	0.571205479098	0.58110800111	0.575903532435	0.59369292982	1.0	0.0789439921863	0.573517267348	0.514545561523
1M.6.1	0.512088659358	0.314774987748	0.274351895522	0.319652417727	0.593278435661	0.0	0.194829440994	0.306483194926	0.265986204146	0.544037658339	0.55472163401	0.305825766322	0.480824525169	0.551636962331	0.53668298261	0.575903532435	0.611673732527	0.250259887356	0.0287659131776	0.285507725522	0.560280934566	0.550372839762	0.49617425224	0.511706638125	0.237420126275	0.547648655272	0.557773962118	0.549916008887	0.553874593249	0.613560523403	0.265041183254	0.266691056847	0.2922150456	0.319089511037	0.535426134377	0.0168648639065	0.627815318489	0.258031960243	0.61227907411	0.233772080828	0.292805493296	0.255734778106	0.495426392871	0.47571152475	0.328412605342	0.300083426029	1.0	0.500095723441	0.302658142315	0.571997234592	0.551636962331	0.517912244531	0.551636962331	0.54566919802	0.435063917238	0.442838923552	0.558948081084	0.509141685812	0.551636962331
1M.10.2	0.238762187165	0.103805805051	0.0632039571173	0.0991844866516	0.36093176034	0.194829440994	0.0	0.089741476366	0.0838946599234	0.294004285621	0.308359549604	0.0886359441334	0.216557341557	0.637468044405	0.284175007172	0.337091113791	0.380586677036	0.0451316747313	0.183724824058	0.0713057078582	0.31586525833	0.30250541958	0.227474804726	0.238491613567	0.0415000480266	0.298845944496	0.312477480342	0.301891332972	0.307218120147	0.360186092496	0.0937382868482	0.0590240257007	0.0785992272127	0.109655349586	0.255494091175	0.183033625886	0.385504089734	0.0972131527395	0.387289649014	0.0608384449512	0.0788373346544	0.0506469362078	0.22694358819	0.212914040577	0.116427805203	0.108136522425	0.678486570685	0.230259122137	0.0839160075165	0.331765208223	0.304205561005	0.242884556753	0.637468044405	0.633291977411	0.224044233747	0.55342144049	0.314063488219	0.236674458859	0.278017085884
2M.9.3	0.14430225243	0.0966206551407	0.0703733606826	0.0241774532786	0.394867063816	0.306483194926	0.089741476366	0.0	0.143515297026	0.328190086412	0.342547075445	0.0350725890238	0.13971672364	0.742343387709	0.318342060406	0.371190968413	0.414324032972	0.0569539268234	0.288294347198	0.0983221433431	0.350041589379	0.336695914546	0.133335127336	0.144039233468	0.0513159306873	0.333035727203	0.346659891366	0.336081846441	0.341406621484	0.282898415742	0.144898116405	0.0334569020456	0.0986801120611	0.130490335879	0.160682410586	0.295808547949	0.313354926601	0.0842057796791	0.437773630948	0.0529605476012	0.0348011506141	0.0383559738266	0.132819240613	0.142424942405	0.0907511003432	0.137209417197	0.610997372271	0.136039473712	0.120323875517	0.365890464523	0.33839571447	0.148310265924	0.742343387709	0.739221190976	0.165173196742	0.562848401846	0.348243263166	0.142272970994	0.18737712211
1M.10.1	0.281094517374	0.0940080642533	0.074371081054	0.121612245628	0.32378465	0.265986204146	0.0838946599234	0.143515297026	0.0	0.252194193089	0.267562092758	0.110014199503	0.294119502559	0.553931481416	0.241667613221	0.29829994407	0.348524280454	0.085118522745	0.247476296052	0.0559249660095	0.275594548407	0.261295829415	0.287716143202	0.28125326203	0.119884483116	0.210032456311	0.271969248504	0.20729097863	0.266340395137	0.366302427904	0.0845630608476	0.108246189064	0.0633887412478	0.0942739633958	0.27204118312	0.255118716877	0.398312475948	0.173053847185	0.326395160382	0.138947695929	0.10914841832	0.108267017746	0.288027743311	0.29625611271	0.114871475585	0.0645599980219	0.668268371773	0.286082875065	0.0747254647008	0.292604197413	0.263115778353	0.278675842506	0.553931481416	0.562654777619	0.314223548475	0.65275980292	0.273666500886	0.282319361149	0.294300366993
1M.10.4	0.518066696645	0.225103528492	0.26605194425	0.306094252835	0.112983858229	0.544037658339	0.294004285621	0.328190086412	0.252194193089	0.0	0.0246224479736	0.293777714682	0.52854142622	0.528686334684	0.0169846599642	0.0732614620178	0.149700426376	0.277485130315	0.530252330546	0.23824648456	0.0374107585466	0.0146074023486	0.523401488055	0.518194825786	0.303979315029	0.0485545325678	0.0316458645986	0.0535686308023	0.0226725370663	0.575990112401	0.299491849566	0.292524856872	0.218413785554	0.197592690388	0.509149813469	0.535960370964	0.576627155784	0.351618299126	0.214193907325	0.320425424478	0.292762545459	0.293227988239	0.523652039266	0.530252330546	0.249076413767	0.185832001494	0.510520858332	0.522087486874	0.269789364829	0.0643092608938	0.0175196357051	0.516113058423	0.528686334684	0.522087486874	0.54455852719	1.0	0.0343462135507	0.519055017805	0.488833301021
