2R.10.1	1M.6.4	1M.6.1	2M.7.4	1M.7.1	1R.10.2	1R.8.1	2R.6.3	2R.8.2	2R.10.3	1M.10.2	1M.10.1	1M.9.3	2R.7.4	1M.10.4	1R.10.3	1M.7.2	2M.9.4	1M.7.3	2R.9.2	2R.6.2	1R.9.2	2M.8.3	2R.6.1	2M.10.1	1M.6.2	1M.8.2	1R.6.1	2M.10.4	1M.9.1	2R.8.3	2R.9.4	1M.6.3	1M.8.1	2M.9.2	2R.8.1	1M.8.3	2M.6.2	1R.7.1	2M.10.3	1M.10.3	1R.7.4	2M.6.1	2M.9.3	2R.7.3	1R.9.4	1R.10.4	2M.6.4	2R.7.2	1R.6.3	1R.9.1	2M.9.1	2R.8.4	1M.9.2	1M.7.4	1R.6.2	2M.7.3	2M.6.3	1R.7.2	1R.8.4	1M.9.4	2R.9.3	1R.8.2	2M.8.2	1R.6.4	1R.7.3	2R.10.4	2M.8.4	2M.8.1	2R.6.4	2R.10.2	1R.8.3	2R.7.1	2R.9.1	1R.9.3	2M.7.2	2M.10.2	1M.8.4	2M.7.1	3M.10.4	Input3	3R.9.4	3R.6.4	3M.7.3	3M.8.4	3M.9.2	3R.7.3	3R.8.2	3R.6.1	3R.6.2	3R.9.2	3M.6.3	3M.7.2	3R.10.4	3M.7.4	Input1	3R.10.3	3M.8.3	3R.7.1	3R.9.1	3R.7.2	3R.7.4	Input2	3M.9.3	3R.10.2	3R.8.1	3M.6.2	3M.9.1	3M.10.1	3M.6.4	3R.8.3	3R.10.1	3R.9.3	3M.6.1	3M.8.1	3M.7.1	3R.6.3	3M.10.3	3M.8.2	3M.10.2	3R.8.4	3M.9.4
Fusarium_oxysporum_MPI-CAGE-AT-0013_	14.395	16.389	11.643	15.525	14.783	16.264	14.835	14.119	15.513	14.55	14.945	13.514	13.409	14.659	16.193	14.64	14.037	12.97	14.044	11.799	13.907	15.621	15.554	15.738	15.324	15.282	16.676	13.716	14.216	15.823	14.381	14.317	15.924	15.184	14.209	14.714	14.31	13.624	16.623	15.073	14.885	16.74	16.573	14.77	16.8	14.349	15.262	15.048	15.331	15.077	14.683	14.012	14.653	14.272	14.929	13.387	14.576	17.058	16.051	13.216	15.304	14.227	16.471	14.756	13.827	16.168	14.259	15.424	14.635	15.646	13.47	14.922	16.039	14.209	14.633	15.178	13.284	15.193	15.071	13.58	9.1119	11.86	11.63	13.268	13.702	10.387	14.921	12.411	12.484	13.07	11.285	14.209	13.093	12.972	12.955	11.792	12.812	13.011	14.693	11.378	13.674	13.363	11.091	11.365	12.353	12.997	13.473	13.376	13.643	13.337	12.385	11.441	12.55	14.414	13.086	14.013	12.32	12.201	15.371	14.441	11.72	12.112
Verticillium_dahliae_MPI-CAGE-AT-0001_	12.472	15.803	11.682	12.026	12.255	12.758	13.863	9.0319	12.319	12.782	14.608	13.877	14.719	9.0154	16.126	14.006	11.042	11.698	11.717	9.0157	9.6683	13.832	12.637	11.923	13.151	14.729	16.224	10.342	11.64	15.476	12.108	11.057	15.501	14.359	12.315	11.493	13.144	11.009	11.378	12.519	15.204	12.136	13.822	13.613	11.439	12.496	12.902	11.642	11.539	12.427	12.352	12.141	10.865	13.989	12.578	10.349	11.341	14.104	11.435	10.76	15.483	10.87	13.011	11.905	11.345	10.465	10.619	11.808	12.091	8.9262	9.7661	13.004	11.436	10.47	12.761	11.731	10.901	14.794	11.48	11.408	8.4978	9.1413	10.625	11.623	12.741	11.016	10.447	10.069	9.224	9.4807	9.1043	12.684	11.228	9.5176	11.512	10.968	9.8518	12.055	9.1689	10.316	10.696	9.2656	9.613	11.467	9.0358	11.255	11.911	12.893	11.426	11.069	9.2128	8.2236	8.5866	12.351	12.137	12.822	8.7088	11.295	13.899	12.221	8.7266	11.198
Neonectria_radicicola_MPI-CAGE-AT-0134	8.2526	7.4183	8.0914	8.668	9.2932	7.878	7.6304	8.1635	9.7513	8.689	6.5963	7.2282	7.6253	6.9968	7.4766	6.7136	9.7391	9.45	8.5997	7.8948	9.4931	9.2824	8.8263	10.303	8.4131	7.6817	7.158	6.3787	9.6844	6.0199	10.157	9.5298	7.2172	7.1182	11.025	8.268	8.4165	8.7055	10.954	8.3992	7.7289	11.884	8.7347	9.8349	9.5808	7.3792	9.0061	8.7534	8.3777	7.5457	6.1137	9.3039	7.7994	11.187	7.8875	7.9094	9.0261	7.0304	10.446	6.3383	7.0114	12.243	7.4934	8.8405	7.7111	8.7584	8.4238	7.6116	9.3325	8.2793	8.7902	7.4995	9.8497	7.7668	8.6078	9.4797	8.6168	8.6987	9.4696	8.6785	9.0805	8.9323	9.0727	8.6486	8.8801	8.6957	9.8885	7.7075	8.8716	7.9629	8.5524	9.2333	8.7059	8.9194	8.9873	11.003	8.7746	8.5941	8.9381	8.984	10.112	9.8874	10.305	7.5291	8.4673	7.505	9.3447	8.3697	8.3917	7.2029	6.8531	7.1642	9.0722	9.9672	8.7604	9.1558	8.4818	9.2801	9.1135	8.3612	7.7382	8.4769
Mortierella_elongata_MPI-CAGE-AA-0104	1.8039	8.9391	11.567	2.3859	2.4527	15.646	15.978	1.6114	2.3018	3.207	10.624	11.139	13.879	1.987	7.1869	14.002	2.4075	3.0579	2.1893	10.921	1.7157	12.551	2.5742	3.2836	3.0493	7.5215	15.041	14.79	2.7365	14.505	1.8685	2.3026	12.819	11.003	7.1846	1.8513	9.5635	2.059	3.0654	3.0338	9.1147	2.9158	3.8541	3.7902	2.5361	15.452	11.444	3.8224	1.3125	15.447	15.505	2.9016	5.6924	8.9437	2.6238	15.249	3.0143	4.4996	2.9623	14.961	13.936	4.4118	16.646	2.0547	13.325	3.1197	2.1942	2.7252	2.7946	4.7873	1.5355	14.956	3.0407	0.67409	16.151	1.3373	2.0471	12.426	3.4806	1.2341	8.632	11.899	1.3121	0.85891	2.6405	9.0643	6.0823	7.2688	5.0534	1.3202	11.542	0.78717	3.4237	3.3329	2.3462	10.323	4.0649	4.6976	3.8913	5.174	3.7079	3.5881	9.1669	10.25	9.151	2.9315	7.3404	1.7912	1.8524	0.0	2.4172	0.0	6.8355	3.6432	3.1069	2.5322	1.4999	4.9824	3.1597	7.1262	5.5448	3.3412
Dendryphion_nanum_MPI-CAGE-CH-0243	9.8713	8.3141	7.8247	6.1869	7.8637	9.8761	9.2822	12.026	7.7365	9.4417	7.6957	8.9143	9.5391	7.5667	10.45	9.6679	5.3515	9.0237	7.6425	11.942	7.9659	8.6074	8.4588	8.315	5.5045	8.2732	9.962	9.8183	8.1308	5.9568	8.4238	11.716	8.6856	7.8923	9.2645	9.3626	8.5918	10.071	7.9029	9.9066	7.6643	7.2899	8.27	8.0796	10.663	9.6817	10.903	8.3649	9.0476	7.767	9.2037	8.6321	10.033	11.809	7.0233	8.3925	7.8633	6.2607	14.228	11.698	8.7153	7.4941	11.038	8.8305	8.9335	2.2768	8.1921	9.0613	8.2072	8.1664	9.0726	10.916	8.756	8.1187	11.169	7.9693	9.4914	10.815	7.924	8.7482	7.4066	6.9016	7.736	8.3217	8.7702	7.7307	7.0271	9.4235	8.5489	9.8401	7.3848	9.5337	8.4063	8.7383	8.2879	8.275	10.01	9.186	8.5534	8.2542	7.2482	8.261	8.3248	7.6323	7.9159	9.4944	8.7468	9.5396	8.8369	8.4785	11.383	12.741	8.2756	9.0334	8.7793	8.3247	9.5371	9.1886	8.4737	8.7921	8.1819	8.3761
Ilyonectria_europaea_MPI-CAGE-AT-0026	8.4574	13.816	9.8703	11.029	10.533	12.687	12.338	8.3703	8.4054	7.2988	13.388	11.945	12.984	9.6772	14.712	13.807	10.388	8.9725	10.4	7.2357	8.6735	12.262	10.261	8.9574	10.255	13.153	15.033	9.4006	8.8693	13.778	8.7257	7.1064	13.594	13.178	8.4663	7.8422	11.787	7.9194	9.8299	9.0474	13.332	7.487	11.062	9.6856	8.7635	12.015	11.591	9.4433	9.0954	10.441	13.499	9.6766	7.1391	12.362	10.818	8.5412	10.809	11.867	8.9088	9.558	13.944	8.9797	11.865	9.7666	11.539	9.9819	7.945	9.0613	9.7011	10.621	6.919	11.602	9.9759	9.1558	11.189	10.938	8.2749	12.926	10.749	12.559	9.8479	11.158	10.494	13.04	12.683	11.285	13.972	12.152	11.595	11.357	11.085	12.921	12.745	11.326	12.638	7.4931	11.2	12.676	13.067	12.137	13.05	13.621	6.7584	11.43	11.618	12.24	12.8	12.43	12.144	10.702	11.267	11.672	11.254	13.946	12.925	13.209	11.711	11.852	13.408	12.41	10.677	11.734
Plectosphaerella_cucumerina_MPI-CAGE-AT-0016	9.9023	10.507	8.7511	12.093	12.357	13.314	12.322	11.313	11.051	10.149	10.034	9.8824	10.352	9.609	11.159	13.984	11.654	11.537	11.754	10.877	9.7892	10.332	11.541	11.231	11.549	9.8979	10.869	12.346	12.307	9.5686	11.277	10.792	10.642	9.8716	12.112	10.253	9.9159	10.839	12.9	11.83	10.309	10.733	12.719	12.767	11.216	11.594	11.082	12.035	11.895	13.113	10.545	11.781	11.029	10.721	12.105	9.8048	11.87	12.729	11.017	10.075	10.274	12.474	11.287	11.265	9.6366	11.336	11.262	10.777	11.622	11.961	10.7	12.467	11.603	10.798	9.7767	12.301	11.434	10.311	12.126	11.35	10.915	11.014	9.8618	11.092	11.158	11.211	9.6279	11.849	10.853	10.29	10.809	12.146	10.773	14.08	11.535	11.969	11.098	11.039	10.209	12.13	9.4066	10.424	11.593	10.891	11.022	10.646	11.817	11.742	11.342	10.322	9.8346	9.7319	10.335	13.415	11.522	11.709	12.521	11.551	12.401	11.868	9.7659	11.258
Dactylonectria_estremocensis_MPI-CAGE-AT-0021	8.5846	8.3482	7.5984	10.067	10.463	8.3537	8.8469	9.0357	10.701	7.9702	8.215	8.1543	7.6022	9.6667	8.7364	8.6104	9.2984	9.9312	9.9698	8.848	8.5229	6.5919	9.8357	10.965	8.6847	7.45	7.8231	6.8923	10.868	5.9568	8.5429	8.1946	7.9124	7.5892	11.675	10.614	10.153	9.7622	13.269	9.5695	8.0651	12.718	10.092	10.949	13.579	8.8933	7.5795	10.324	9.3379	7.5683	6.0114	9.7057	9.4062	8.1164	9.7291	6.6789	10.433	9.3907	11.986	10.608	7.3102	10.097	8.2225	10.166	7.487	12.091	10.759	8.8376	10.363	9.0565	8.7753	8.6507	11.808	7.4893	8.2943	10.512	9.622	9.3162	10.355	9.2918	7.5423	8.7768	8.7106	10.975	10.577	8.3678	13.411	10.11	9.7495	9.8053	9.1966	9.4893	11.021	8.4163	10.687	7.5407	9.3418	9.771	11.065	10.166	11.496	12.078	8.5841	9.1986	8.6238	11.026	10.464	10.222	9.8568	8.682	11.47	8.8195	8.8044	11.023	9.9465	10.683	11.609	9.1675	10.277	10.358	8.9196	9.1259
Zalerion_varium_MPI-CAGE-AT-0135_	10.243	3.1067	0.0	8.5719	7.2302	2.6793	2.0634	8.5798	9.6687	8.8334	0.99071	0.0	0.0	6.3137	2.4113	1.0908	5.5634	10.733	7.8083	11.359	9.8363	2.1953	11.905	12.524	10.332	0.0	2.213	1.1551	11.117	0.0	9.0889	10.72	2.2746	0.0	12.546	10.645	1.0541	11.135	8.3566	8.9818	1.1111	8.3373	10.815	12.114	9.1604	0.67185	4.1936	12.355	7.3659	0.0	0.0	11.08	13.486	0.77933	6.7395	0.0	8.9914	9.4081	5.9575	0.0	1.5136	11.549	1.9598	10.64	0.0	9.2435	11.357	11.32	11.348	9.4026	11.739	1.0969	6.7089	11.516	1.2391	8.6169	10.793	1.0925	8.7015	9.291	5.1655	8.583	8.9224	7.22	10.015	8.275	9.5142	10.339	9.8183	9.6135	9.5872	8.2182	6.8742	9.8045	9.1375	0.70958	8.8184	8.8399	11.536	9.0566	10.307	9.8118	7.1892	9.4656	8.4031	9.4904	8.1386	9.1494	10.638	6.1637	8.0124	9.4172	7.1594	8.4419	8.9775	10.115	8.8517	8.1263	10.846	8.916	9.6179	12.322
Fusarium_oxysporum_MPI-CAGE-CH-0226	10.589	13.951	10.449	13.244	12.354	11.078	10.928	10.013	10.234	9.8527	12.406	11.623	12.94	8.5501	13.972	11.153	11.881	12.137	11.979	9.8033	9.1799	11.687	12.965	10.516	12.704	12.899	14.266	9.8164	12.046	13.923	10.028	10.153	13.568	12.052	12.371	9.4587	11.145	11.598	10.076	12.612	13.009	12.219	13.859	13.567	10.589	11.438	11.406	12.502	9.0637	10.851	10.843	12.429	10.778	12.442	12.374	9.9147	12.54	14.65	9.3692	9.8739	13.927	10.963	11.502	12.13	10.391	9.6457	10.671	11.752	12.665	10.617	9.9727	11.178	9.6543	11.616	10.867	12.535	11.287	12.665	12.441	13.135	9.7561	11.621	10.404	14.022	14.005	12.707	13.38	11.48	11.252	10.99	11.462	13.953	13.418	12.128	13.635	9.718	11.6	13.447	10.67	12.94	12.268	12.476	9.9189	13.106	11.365	11.788	13.843	14.168	13.172	12.226	10.225	11.703	10.948	15.087	13.788	14.656	11.413	12.987	14.681	13.449	10.39	13.186
