val	nam
1M.6.4	9	M_6
1M.6.1	12	M_6
2R.6.3	12	R_6
1M.9.3	12	M_9
2M.9.4	12	M_9
2R.9.2	12	R_9
2R.6.2	12	R_6
1R.9.2	12	R_9
2R.6.1	12	R_6
1M.6.2	9	M_6
1R.6.1	10	R_6
1M.9.1	9	M_9
2R.9.4	12	R_9
1M.6.3	9	M_6
2M.9.2	15	M_9
2M.6.2	11	M_6
2M.6.1	11	M_6
2M.9.3	13	M_9
1R.9.4	12	R_9
2M.6.4	12	M_6
1R.6.3	11	R_6
1R.9.1	10	R_9
2M.9.1	13	M_9
1M.9.2	12	M_9
1R.6.2	12	R_6
2M.6.3	8	M_6
1M.9.4	9	M_9
2R.9.3	12	R_9
1R.6.4	11	R_6
2R.6.4	11	R_6
2R.9.1	13	R_9
1R.9.3	11	R_9
3R.9.4	12	R_9
3R.6.4	12	R_6
3M.9.2	13	M_9
3R.6.1	14	R_6
3R.6.2	13	R_6
3R.9.2	13	R_9
3M.6.3	12	M_6
3R.9.1	15	R_9
3M.9.3	13	M_9
3M.6.2	13	M_6
3M.9.1	13	M_9
3M.6.4	10	M_6
3R.9.3	14	R_9
3M.6.1	10	M_6
3R.6.3	12	R_6
3M.9.4	13	M_9
