	observed_species
2M.10.2	44
2M.10.4	42
2M.6.1	53
2M.9.2	43
2R.10.4	51
2R.6.1	54
2M.7.2	43
1R.8.2	55
1R.8.3	54
2M.10.3	55
1M.6.4	38
1M.9.3	43
2R.9.2	59
2R.9.4	58
2M.7.3	50
2R.7.1	55
2R.10.1	58
2M.6.4	44
1R.6.2	52
2R.8.3	43
2R.10.3	53
2R.6.4	57
2R.9.1	58
1M.9.2	46
2R.10.2	60
2R.7.2	53
1R.6.4	52
1M.7.1	43
2R.8.2	49
2M.7.1	38
1R.10.1	53
2M.8.4	40
2M.10.1	47
2M.9.4	44
1R.9.1	57
1M.7.2	37
1R.7.4	56
1R.7.1	57
2R.9.3	57
1R.7.2	51
2M.9.3	41
2R.6.2	52
2R.8.1	52
1M.7.3	40
1M.8.1	37
1M.8.2	32
2M.8.2	38
1R.10.4	51
1R.9.3	50
2M.8.3	42
2R.7.3	46
2R.7.4	55
2M.6.2	45
1M.10.4	39
2M.8.1	44
1M.9.4	34
2R.8.4	56
1R.10.2	51
2M.9.1	38
1R.8.4	54
1R.10.3	51
1M.6.3	38
1R.9.2	56
1M.10.1	41
1R.8.1	51
2R.6.3	52
1R.6.1	53
2M.6.3	41
1M.8.4	32
1R.7.3	57
1R.9.4	55
1M.10.2	34
1R.6.3	55
1M.6.2	40
1M.6.1	38
1M.10.3	35
1M.9.1	38
1M.8.3	28
1M.7.4	39
3M.10.1	45
3R.10.4	63
3M.8.3	35
3R.6.3	52
3R.7.4	56
3R.9.3	66
3R.7.1	53
3R.6.1	62
3R.10.2	64
3R.9.4	62
Input2	73
3M.7.3	41
3R.8.2	60
3R.10.1	54
3M.6.2	34
3R.7.2	58
3R.9.1	63
3R.8.3	54
3M.8.2	38
3M.9.2	40
3M.7.4	44
3R.10.3	67
3M.7.1	46
3R.7.3	49
3R.9.2	60
3M.10.3	39
3R.6.4	60
3M.10.4	44
3M.9.4	39
3R.6.2	61
3M.6.1	43
3M.6.4	42
Input1	74
3M.10.2	42
3M.8.4	36
3R.8.1	53
3R.8.4	59
3M.9.3	49
3M.9.1	41
3M.8.1	31
3M.7.2	43
Input3	77
