	observed_species
2R.10.1	11
1M.6.4	9
1M.6.1	12
2M.7.4	11
1M.7.1	12
1R.10.2	11
1R.8.1	9
2R.6.3	12
2R.8.2	12
2R.10.3	12
1M.10.2	11
1M.10.1	12
1M.9.3	12
2R.7.4	10
1M.10.4	11
1R.10.3	11
1M.7.2	10
2M.9.4	12
1M.7.3	14
2R.9.2	12
2R.6.2	12
1R.9.2	12
2M.8.3	12
2R.6.1	12
2M.10.1	13
1M.6.2	9
1M.8.2	8
1R.6.1	10
2M.10.4	12
1M.9.1	9
2R.8.3	14
2R.9.4	12
1M.6.3	9
1M.8.1	12
2M.9.2	15
2R.8.1	13
1M.8.3	11
2M.6.2	11
1R.7.1	12
2M.10.3	11
1M.10.3	10
1R.7.4	11
2M.6.1	11
2M.9.3	13
2R.7.3	10
1R.9.4	12
1R.10.4	12
2M.6.4	12
2R.7.2	12
1R.6.3	11
1R.9.1	10
2M.9.1	13
2R.8.4	12
1M.9.2	12
1M.7.4	12
1R.6.2	12
2M.7.3	11
2M.6.3	8
1R.7.2	11
1R.8.4	11
1M.9.4	9
2R.9.3	12
1R.8.2	10
2M.8.2	11
1R.6.4	11
1R.7.3	10
2R.10.4	13
2M.8.4	10
2M.8.1	12
2R.6.4	11
2R.10.2	13
1R.8.3	12
2R.7.1	11
2R.9.1	13
1R.9.3	11
2M.7.2	11
2M.10.2	12
1M.8.4	12
2M.7.1	14
3M.10.4	12
Input3	15
3R.9.4	12
3R.6.4	12
3M.7.3	12
3M.8.4	12
3M.9.2	13
3R.7.3	11
3R.8.2	13
3R.6.1	14
3R.6.2	13
3R.9.2	13
3M.6.3	12
3M.7.2	14
3R.10.4	13
3M.7.4	12
Input1	15
3R.10.3	13
3M.8.3	13
3R.7.1	11
3R.9.1	15
3R.7.2	12
3R.7.4	12
Input2	16
3M.9.3	13
3R.10.2	13
3R.8.1	13
3M.6.2	13
3M.9.1	13
3M.10.1	13
3M.6.4	10
3R.8.3	10
3R.10.1	13
3R.9.3	14
3M.6.1	10
3M.8.1	11
3M.7.1	11
3R.6.3	12
3M.10.3	13
3M.8.2	11
3M.10.2	12
3R.8.4	13
3M.9.4	13
