O210	O229	O132	O029
1R.6.1	7.9715	12.054	9.5527	0
1R.9.2	8.7468	8.7468	7.1685	0
1M.6.1	9.9672	12.975	0	0
1M.6.2	11.381	0	9.9672	0
1M.6.3	9.9672	11.692	0	0
1M.6.4	9.9672	0	11.774	0
1M.9.1	9.9672	0	11.426	0
1M.9.2	9.9672	0	10.116	0
1M.9.3	8.4553	9.9307	9.3465	0
2R.6.3	6.6582	10.23	9.8154	0
2M.6.2	0	9.7045	10.189	7.3895
2M.6.4	9.9672	0	12.168	0
2M.9.1	8.9687	8.9687	9.3306	0
2M.9.2	7.1685	10.208	9.7451	0
2M.9.3	6.284	11.124	9.8519	0
2M.9.4	0	10.619	9.9672	0
3R.6.3	0	0	13.425	9.9672
3R.6.4	0	11.692	9.9672	0
3R.9.1	0	9.9672	9.9996	0
3R.9.2	10.967	0	0	9.9672
3R.9.3	9.9672	0	12.288	0
3R.9.4	7.3895	14.857	9.7045	0
3M.6.2	10.105	7.6511	9.6457	0
3M.6.3	0	10.704	9.9672	0
3M.9.2	0	11.104	9.9672	0
3M.9.4	0	10.452	9.9672	0
