y	rep	Con
-0.555580838	I	NC
-0.382479612	I	NC
-0.224456547	I	NC
0.212634905	I	SC
0.323966805	I	SC
0.278609958	I	SC
-2.770036532	I	NC_M
-2.354193397	I	NC_M
-2.508091308	I	NC_M
-1.726347823	I	SC_M
-1.869244806	I	SC_M
-1.526322191	I	SC_M
-0.763435762	II	NC
-0.407199943	II	NC
-0.305446331	II	NC
0.19728701	II	SC
0.275918554	II	SC
0.248770159	II	SC
-2.632026615	II	NC_M
-2.418672886	II	NC_M
-1.94671553	II	NC_M
-1.968336721	II	SC_M
-1.622961331	II	SC_M
-1.286399288	II	SC_M
-0.687400837	III	NC
-0.470788537	III	NC
-0.057321345	III	NC
0.268576011	III	SC
0.353983135	III	SC
0.364688997	III	SC
-2.966921007	III	NC_M
-2.540333462	III	NC_M
-2.774525596	III	NC_M
-1.743618341	III	SC_M
-2.075255178	III	SC_M
-1.41366615	III	SC_M
-0.836649787	IV	NC
-0.441207693	IV	NC
-0.065542914	IV	NC
0.174396575	IV	SC
0.345309568	IV	SC
0.26881918	IV	SC
-2.910069755	IV	NC_M
-2.541719083	IV	NC_M
-2.68166365	IV	NC_M
-1.81521473	IV	SC_M
-1.921344887	IV	SC_M
-2.146964124	IV	SC_M
