lab	y	rep
NC	6.76891815	I
NC	6.677780705	I
NC	6.743502404	I
SC	7.837272703	I
SC	7.809865664	I
SC	7.780926304	I
NC_M	6.201859989	I
NC_M	6.307512123	I
NC_M	5.934008754	I
SC_M	6.696666049	I
SC_M	6.44488572	I
SC_M	6.632910436	I
NC	6.545347263	II
NC	6.515759004	II
NC	6.767590378	II
SC	7.197325612	II
SC	7.318758763	II
SC	7.278496698	II
NC_M	6.052490873	II
NC_M	6.258626147	II
NC_M	6.125465473	II
SC_M	6.604700087	II
SC_M	6.440343857	II
SC_M	6.374853188	II
NC	6.57960637	III
NC	6.686484293	III
NC	6.458279499	III
SC	7.362083961	III
SC	7.399361596	III
SC	7.174564739	III
NC_M	6.254962405	III
NC_M	6.386851037	III
NC_M	6.056770302	III
SC_M	6.562842045	III
SC_M	6.514637616	III
SC_M	6.439071149	III
