Condition	y	rep	lab	geno	light
col0_NC	-0.555580838	I	NC	col0	NC
col0_NC	-0.382479612	I	NC	col0	NC
col0_NC	-0.224456547	I	NC	col0	NC
col0_LP	0.212634905	I	LP	col0	LP
col0_LP	0.323966805	I	LP	col0	LP
col0_LP	0.278609958	I	LP	col0	LP
col0_NC_M	-2.770036532	I	NC+M	col0	NC
col0_NC_M	-2.354193397	I	NC+M	col0	NC
col0_NC_M	-2.508091308	I	NC+M	col0	NC
col0_LP_M	-1.726347823	I	LP+M	col0	LP
col0_LP_M	-1.869244806	I	LP+M	col0	LP
col0_LP_M	-1.526322191	I	LP+M	col0	LP
col0_NC	-0.763435762	II	NC	col0	NC
col0_NC	-0.407199943	II	NC	col0	NC
col0_NC	-0.305446331	II	NC	col0	NC
col0_LP	0.19728701	II	LP	col0	LP
col0_LP	0.275918554	II	LP	col0	LP
col0_LP	0.248770159	II	LP	col0	LP
col0_NC_M	-2.632026615	II	NC+M	col0	NC
col0_NC_M	-2.418672886	II	NC+M	col0	NC
col0_NC_M	-1.94671553	II	NC+M	col0	NC
col0_LP_M	-1.968336721	II	LP+M	col0	LP
col0_LP_M	-1.622961331	II	LP+M	col0	LP
col0_LP_M	-1.286399288	II	LP+M	col0	LP
col0_NC	-0.687400837	III	NC	col0	NC
col0_NC	-0.470788537	III	NC	col0	NC
col0_NC	-0.057321345	III	NC	col0	NC
col0_LP	0.268576011	III	LP	col0	LP
col0_LP	0.353983135	III	LP	col0	LP
col0_LP	0.364688997	III	LP	col0	LP
col0_NC_M	-2.966921007	III	NC+M	col0	NC
col0_NC_M	-2.540333462	III	NC+M	col0	NC
col0_NC_M	-2.774525596	III	NC+M	col0	NC
col0_LP_M	-1.743618341	III	LP+M	col0	LP
col0_LP_M	-2.075255178	III	LP+M	col0	LP
col0_LP_M	-1.41366615	III	LP+M	col0	LP
col0_NC	-0.836649787	IV	NC	col0	NC
col0_NC	-0.441207693	IV	NC	col0	NC
col0_NC	-0.065542914	IV	NC	col0	NC
col0_LP	0.174396575	IV	LP	col0	LP
col0_LP	0.345309568	IV	LP	col0	LP
col0_LP	0.26881918	IV	LP	col0	LP
col0_NC_M	-2.910069755	IV	NC+M	col0	NC
col0_NC_M	-2.541719083	IV	NC+M	col0	NC
col0_NC_M	-2.68166365	IV	NC+M	col0	NC
col0_LP_M	-1.81521473	IV	LP+M	col0	LP
col0_LP_M	-1.921344887	IV	LP+M	col0	LP
col0_LP_M	-2.146964124	IV	LP+M	col0	LP
dde2_NC	0.787646993	I	NC	dde2	NC
dde2_NC	1.086947763	I	NC	dde2	NC
dde2_NC	0.903865381	I	NC	dde2	NC
dde2_LP	1.671056409	I	LP	dde2	LP
dde2_LP	1.556587484	I	LP	dde2	LP
dde2_LP	1.635938978	I	LP	dde2	LP
dde2_NC_M	-2.068348434	I	NC+M	dde2	NC
dde2_NC_M	-1.74977615	I	NC+M	dde2	NC
dde2_NC_M	-3.92639693	I	NC+M	dde2	NC
dde2_LP_M	-1.162604385	I	LP+M	dde2	LP
dde2_LP_M	-1.989030819	I	LP+M	dde2	LP
dde2_LP_M	-0.532122321	I	LP+M	dde2	LP
dde2_NC	0.943267464	II	NC	dde2	NC
dde2_NC	1.270675861	II	NC	dde2	NC
dde2_NC	0.836880804	II	NC	dde2	NC
dde2_LP	1.570772394	II	LP	dde2	LP
dde2_LP	1.577631453	II	LP	dde2	LP
dde2_LP	1.700272427	II	LP	dde2	LP
dde2_NC_M	-2.424824633	II	NC+M	dde2	NC
dde2_NC_M	-2.208136788	II	NC+M	dde2	NC
dde2_NC_M	-3.94638296	II	NC+M	dde2	NC
dde2_LP_M	-1.122699342	II	LP+M	dde2	LP
dde2_LP_M	-1.819197042	II	LP+M	dde2	LP
dde2_LP_M	-1.413399097	II	LP+M	dde2	LP
dde2_NC	0.992448969	III	NC	dde2	NC
dde2_NC	0.951942592	III	NC	dde2	NC
dde2_NC	1.072644188	III	NC	dde2	NC
dde2_LP	1.45890683	III	LP	dde2	LP
dde2_LP	1.550003378	III	LP	dde2	LP
dde2_LP	1.349680359	III	LP	dde2	LP
dde2_NC_M	-2.30827642	III	NC+M	dde2	NC
dde2_NC_M	-2.565036896	III	NC+M	dde2	NC
dde2_NC_M	-2.439911387	III	NC+M	dde2	NC
dde2_LP_M	-1.59276957	III	LP+M	dde2	LP
dde2_LP_M	-2.108587872	III	LP+M	dde2	LP
dde2_LP_M	-1.11168695	III	LP+M	dde2	LP
sid2_NC	-1.636876374	I	NC	sid2	NC
sid2_NC	-1.482210996	I	NC	sid2	NC
sid2_NC	-1.952048347	I	NC	sid2	NC
sid2_LP	-0.342273875	I	LP	sid2	LP
sid2_LP	-0.730890877	I	LP	sid2	LP
sid2_LP	-0.389150571	I	LP	sid2	LP
sid2_NC_M	-2.606637968	I	NC+M	sid2	NC
sid2_NC_M	-2.392608065	I	NC+M	sid2	NC
sid2_NC_M	-2.849471748	I	NC+M	sid2	NC
sid2_LP_M	-1.376506199	I	LP+M	sid2	LP
sid2_LP_M	-1.692963278	I	LP+M	sid2	LP
sid2_LP_M	-1.292225652	I	LP+M	sid2	LP
sid2_NC	-1.675375644	II	NC	sid2	NC
sid2_NC	-1.557023832	II	NC	sid2	NC
sid2_NC	-1.936316604	II	NC	sid2	NC
sid2_LP	-0.447092238	II	LP	sid2	LP
sid2_LP	-0.754713084	II	LP	sid2	LP
