lab	y	rep
NC	-0.158260882	1
NC	-0.330441518	1
NC	-0.728962864	1
NC+(B-SVM)	-1.711077221	1
NC+(B-SVM)	-1.802368838	1
NC+(B-SVM)	-1.927547974	1
NC+SVM	-1.783299492	1
NC+SVM	-2.003824513	1
NC+SVM	-2.188629902	1
NC+B	-2.246317665	1
NC+B	-1.905391563	1
NC+B	-1.867247347	1
LP	0.246384571	1
LP	0.145701059	1
LP	0.398948243	1
LP+(B-SVM)	-2.107686318	1
LP+(B-SVM)	-2.144522203	1
LP+(B-SVM)	-2.065888437	1
LP+SVM	-1.518702137	1
LP+SVM	-1.565405207	1
LP+SVM	-1.848289473	1
LP+B	-1.591265983	1
LP+B	-1.260611253	1
LP+B	-1.405198789	1
NC	-0.433427668	2
NC	-0.370383199	2
NC	-0.671182676	2
NC+(B-SVM)	-1.944608329	2
NC+(B-SVM)	-1.648596436	2
NC+(B-SVM)	-1.705066179	2
NC+SVM	-2.104561634	2
NC+SVM	-1.544700438	2
NC+SVM	-1.849113628	2
NC+B	-2.349901358	2
NC+B	-1.825486014	2
NC+B	-1.957045015	2
LP	0.224540535	2
LP	0.340600326	2
LP	0.274166201	2
LP+(B-SVM)	-1.903201514	2
LP+(B-SVM)	-1.914964764	2
LP+(B-SVM)	-1.999521462	2
LP+SVM	-1.4082297	2
LP+SVM	-1.450409374	2
LP+SVM	-1.60711272	2
LP+B	-1.366703164	2
LP+B	-1.453221042	2
LP+B	-1.686894639	2
NC	-0.172226983	3
NC	-0.820972278	3
NC	-0.531564091	3
NC+(B-SVM)	-1.940683573	3
NC+(B-SVM)	-1.843244342	3
NC+(B-SVM)	-1.826136044	3
NC+SVM	-1.62046942	3
NC+SVM	-2.117577298	3
NC+SVM	-2.101457637	3
NC+B	-1.975657885	3
NC+B	-1.745133981	3
NC+B	-2.236223814	3
LP	0.228375302	3
LP	0.29775374	3
LP	0.357997634	3
LP+(B-SVM)	-1.965749941	3
LP+(B-SVM)	-2.177780481	3
LP+(B-SVM)	-2.156561374	3
LP+SVM	-1.537212445	3
LP+SVM	-1.460623576	3
LP+SVM	-1.597251138	3
LP+B	-1.445632805	3
LP+B	-1.681211146	3
LP+B	-1.662731633	3
