lab	rep	pot	plant	cs	lab1
NC-B	3	1	2	3.81	1
NC-B	3	3	2	3.73	1
NC-B	3	2	1	3.71	1
NC-B	1	3	1	3.68	1
NC-B	3	2	3	4.18	1
NC-B	3	1	1	3.47	1
NC-B	3	3	1	4.11	1
NC-B	2	2	2	3.43	1
NC-B	3	2	2	3.42	1
NC-B	3	1	3	3.32	1
NC-B	1	1	1	3.31	1
NC-B	1	1	2	3.28	1
NC-B	2	3	1	3.27	1
NC-B	2	2	1	3.26	1
NC-B	2	1	3	3.25	1
NC-B	1	2	2	3.09	1
NC-B	2	1	2	2.97	1
NC-B	2	1	1	2.89	1
NC-B	1	2	3	2.7	1
NC-B	1	2	1	2.62	1
NC-B	2	2	3	2.6	1
NC-B	2	3	2	2.56	1
NC-B	1	3	3	2.53	1
NC-B	1	3	2	2.48	1
NC-B	1	1	3	2.07	1
NC-B	2	3	3	1.92	1
NC-B	3	3	3	1.89	1
NC+SVM	3	1	3	3.97	3
NC+SVM	2	1	1	3.91	3
NC+SVM	2	3	3	2.87	3
NC+SVM	2	3	2	2.89	3
NC+SVM	2	1	2	3.81	3
NC+SVM	3	1	1	3.78	3
NC+SVM	3	2	2	3.76	3
NC+SVM	1	3	2	3.73	3
NC+SVM	3	3	2	2.12	3
NC+SVM	1	3	1	3.71	3
NC+SVM	1	2	3	3.57	3
NC+SVM	2	2	3	3.54	3
NC+SVM	2	1	3	3.42	3
NC+SVM	1	2	2	3.38	3
NC+SVM	2	2	2	3.37	3
NC+SVM	2	2	1	3.31	3
NC+SVM	3	2	3	3.28	3
NC+SVM	3	3	1	3.2	3
NC+SVM	1	1	2	3.17	3
NC+SVM	1	1	1	3.04	3
NC+SVM	3	1	2	3.03	3
NC+SVM	3	3	3	2.95	3
NC+SVM	1	2	1	2.78	3
NC+SVM	3	2	1	2.74	3
NC+SVM	2	3	1	2.51	3
NC+SVM	1	1	3	2.26	3
NC+SVM	1	3	3	1.99	3
NC+SL	2	2	1	3.95	2
NC+SL	1	3	1	3.75	2
NC+SL	1	3	3	3.7	2
NC+SL	1	3	2	3.68	2
NC+SL	1	1	2	3.65	2
NC+SL	1	2	3	3.55	2
NC+SL	2	1	1	3.53	2
NC+SL	3	2	2	3.91	2
NC+SL	3	2	1	4.14	2
NC+SL	3	1	1	3.33	2
NC+SL	2	2	2	3.3	2
NC+SL	1	1	1	3.27	2
NC+SL	2	1	3	3.24	2
NC+SL	1	2	2	3.18	2
NC+SL	3	3	2	3.15	2
NC+SL	3	3	1	2.97	2
NC+SL	2	1	2	2.89	2
NC+SL	1	1	3	2.66	2
NC+SL	2	3	1	2.56	2
NC+SL	3	2	3	2.48	2
NC+SL	1	2	1	2.46	2
NC+SL	3	3	3	2.45	2
NC+SL	2	3	2	2.36	2
NC+SL	2	2	3	2.35	2
NC+SL	3	1	2	2.07	2
NC+SL	2	3	3	1.97	2
NC+SL	3	1	3	1.74	2
NC+B	2	2	2	3.72	4
NC+B	1	3	1	3.59	4
NC+B	2	1	1	3.46	4
NC+B	1	2	1	3.44	4
NC+B	2	1	2	3.4	4
NC+B	1	3	2	3.35	4
NC+B	1	1	1	3.24	4
NC+B	3	3	1	3.17	4
NC+B	2	2	3	3.12	4
NC+B	1	1	3	3.11	4
NC+B	3	1	1	3.08	4
NC+B	3	2	1	2.98	4
NC+B	2	1	3	2.96	4
NC+B	3	3	2	2.87	4
NC+B	3	1	2	2.76	4
NC+B	3	3	3	2.7	4
NC+B	2	3	2	2.69	4
NC+B	2	3	1	2.56	4
NC+B	1	2	2	2.53	4
NC+B	1	3	3	4.17	4
NC+B	1	1	2	2.45	4
NC+B	2	2	1	3.97	4
NC+B	2	3	3	2.35	4
NC+B	3	1	3	4.19	4
NC+B	3	2	3	2.31	4
NC+B	1	2	3	2.27	4
NC+B	3	2	2	1.81	4
LP-B	1	1	1	2.05	5
LP-B	1	2	3	2.11	5
LP-B	1	1	2	1.98	5
LP-B	2	1	2	1.91	5
LP-B	3	2	1	1.88	5
LP-B	2	2	3	1.87	5
LP-B	3	1	1	1.79	5
LP-B	2	1	1	1.78	5
LP-B	3	1	3	1.78	5
LP-B	3	3	1	1.77	5
LP-B	1	3	2	1.77	5
LP-B	3	1	2	1.7	5
LP-B	1	2	2	1.67	5
LP-B	2	3	3	1.65	5
LP-B	1	3	1	1.59	5
LP-B	3	2	2	1.57	5
LP-B	2	3	2	1.56	5
LP-B	2	2	2	1.49	5
LP-B	3	3	2	1.48	5
LP-B	2	2	1	1.41	5
LP-B	1	3	3	1.4	5
LP-B	2	3	1	1.3	5
LP-B	1	1	3	1.27	5
LP-B	3	2	3	1.22	5
LP-B	3	3	3	1.22	5
LP-B	2	1	3	1.17	5
LP-B	1	2	1	1.15	5
LP+SVM	1	2	1	2.4	7
LP+SVM	2	3	3	2.84	7
LP+SVM	2	3	2	2.6	7
LP+SVM	1	1	2	2.42	7
LP+SVM	1	2	2	2.4	7
LP+SVM	2	2	1	3.24	7
LP+SVM	1	2	3	2.05	7
LP+SVM	1	1	1	2.14	7
LP+SVM	2	1	3	2.04	7
LP+SVM	2	1	2	2.03	7
LP+SVM	3	1	1	2.81	7
LP+SVM	2	2	2	2.15	7
LP+SVM	3	2	3	2.78	7
LP+SVM	1	3	1	2.66	7
LP+SVM	2	2	3	3.13	7
LP+SVM	3	3	3	2.49	7
LP+SVM	1	1	3	2.43	7
LP+SVM	1	3	2	2.31	7
LP+SVM	3	2	2	3.33	7
LP+SVM	3	3	1	2.28	7
LP+SVM	2	1	1	2.19	7
LP+SVM	2	3	1	2.16	7
LP+SVM	1	3	3	2.12	7
LP+SVM	3	3	2	1.97	7
LP+SVM	3	1	2	1.94	7
LP+SVM	3	1	3	1.84	7
LP+SVM	3	2	1	1.77	7
LP+SL	1	2	1	2.06	6
LP+SL	2	3	1	2.85	6
LP+SL	3	1	1	1.87	6
LP+SL	1	1	1	1.76	6
LP+SL	1	1	3	2.4	6
LP+SL	1	3	1	2.24	6
LP+SL	1	2	2	2.23	6
LP+SL	1	3	3	2.14	6
LP+SL	1	1	2	2.11	6
LP+SL	3	3	2	2.09	6
LP+SL	2	1	2	2.06	6
LP+SL	2	3	3	2.01	6
LP+SL	3	3	1	2	6
LP+SL	2	2	1	1.92	6
LP+SL	1	3	2	1.87	6
LP+SL	2	3	2	1.6	6
LP+SL	3	2	3	1.93	6
LP+SL	3	3	3	2.05	6
LP+SL	2	1	3	1.58	6
LP+SL	3	1	2	2.21	6
LP+SL	2	2	3	1.54	6
LP+SL	3	2	2	2.07	6
LP+SL	1	2	3	1.52	6
LP+SL	2	2	2	1.5	6
LP+SL	2	1	1	1.4	6
LP+SL	3	1	3	1.35	6
LP+SL	3	2	1	1.32	6
LP+B	1	1	1	2.8	8
LP+B	1	2	3	2.38	8
LP+B	3	3	3	2.59	8
LP+B	2	3	3	2.38	8
LP+B	1	1	3	3.17	8
LP+B	2	1	1	2.85	8
LP+B	2	1	2	2.02	8
LP+B	3	1	3	1.81	8
LP+B	1	1	2	2.8	8
LP+B	1	2	1	2.53	8
LP+B	1	3	1	2.38	8
LP+B	2	2	1	2.77	8
LP+B	3	1	1	2.3	8
LP+B	3	3	2	3.3	8
LP+B	2	1	3	2.86	8
LP+B	3	2	3	2.11	8
LP+B	1	2	2	3.1	8
LP+B	3	1	2	2.88	8
LP+B	3	2	1	3.01	8
LP+B	3	3	1	2.58	8
LP+B	1	3	3	3.07	8
LP+B	3	2	2	2.96	8
LP+B	2	2	2	2.65	8
LP+B	2	3	2	2.76	8
LP+B	2	2	3	2.46	8
LP+B	2	3	1	3.28	8
LP+B	1	3	2	2.36	8
