lab	y
NC	6.457312861
NC	6.624153564
NC	6.955032854
NC	6.54843285
NC	6.662540739
NC	6.727525465
NC	6.582000197
NC	6.412663265
NC	6.467539626
NC+SL	6.369911285
NC+SL	6.283996656
NC+SL	6.037157319
NC+SL	6.034193759
NC+SL	6.197226275
NC+SL	6.144178095
NC+SL	5.991399828
NC+SL	6.145260314
NC+SL	6.128816392
NC+SVM	5.915781313
NC+SVM	6.020451625
NC+SVM	6.408935393
NC+SVM	6.057371969
NC+SVM	6.130035294
NC+SVM	6.301029996
NC+SVM	5.925671257
NC+SVM	6.028194201
NC+SVM	6.172846204
NC+B	5.901356274
NC+B	5.923238228
NC+B	6.295849483
NC+B	5.938673203
NC+B	6.100023248
NC+B	6.111009731
NC+B	6.264173064
NC+B	6.296094778
NC+B	6.068033885
LP	7.615786016
LP	7.406713933
LP	7.204119983
LP	7.235077015
LP	7.431798276
LP	7.468521083
LP	7.498745066
LP	7.59989393
LP	7.749136614
LP+SL	6.251811973
LP+SL	6.015472687
LP+SL	5.985759561
LP+SL	6.036212173
LP+SL	5.972650392
LP+SL	5.903089987
LP+SL	6.216096421
LP+SL	6.004364805
LP+SL	6.254404784
LP+SVM	6.362135178
LP+SVM	6.289600534
LP+SVM	6.510644289
LP+SVM	6.504158438
LP+SVM	6.468010449
LP+SVM	6.367880286
LP+SVM	6.440534379
LP+SVM	6.479298174
LP+SVM	6.444703976
LP+B	6.549588811
LP+B	6.384200197
LP+B	6.689424686
LP+B	6.435097327
LP+B	6.51215488
LP+B	6.417368561
LP+B	6.691588051
LP+B	6.724524109
LP+B	6.623423043
