lab1	y	condition	geno	lab	light
col0	3.724	A	col0	NC	NC
col0	2.283	A	col0	NC	NC
col0	2.704	A	col0	NC	NC
col0	1.835	A	col0	NC	NC
col0	1.639	A	col0	NC	NC
col0	2.285	A	col0	NC	NC
col0	2.164	A	col0	NC	NC
col0	1.938	A	col0	NC	NC
col0	2.235	A	col0	NC	NC
col0_M	3.148	B	col0	NC+M	NC
col0_M	1.812	B	col0	NC+M	NC
col0_M	1.6	B	col0	NC+M	NC
col0_M	1.288	B	col0	NC+M	NC
col0_M	1.919	B	col0	NC+M	NC
col0_M	3.276	B	col0	NC+M	NC
col0_M	2.033	B	col0	NC+M	NC
col0_M	2.29	B	col0	NC+M	NC
col0_M	2.111	B	col0	NC+M	NC
col0_LP	0.948	C	col0	SC	SC
col0_LP	1.667	C	col0	SC	SC
col0_LP	1.275	C	col0	SC	SC
col0_LP	0.451	C	col0	SC	SC
col0_LP	0.513	C	col0	SC	SC
col0_LP	1.154	C	col0	SC	SC
col0_LP	1.561	C	col0	SC	SC
col0_LP	1.123	C	col0	SC	SC
col0_LP	1.098	C	col0	SC	SC
col0_LP_M	1.648	D	col0	SC+M	SC
col0_LP_M	2.096	D	col0	SC+M	SC
col0_LP_M	1.514	D	col0	SC+M	SC
col0_LP_M	2.948	D	col0	SC+M	SC
col0_LP_M	1.971	D	col0	SC+M	SC
col0_LP_M	1.843	D	col0	SC+M	SC
col0_LP_M	2.217	D	col0	SC+M	SC
col0_LP_M	2.597	D	col0	SC+M	SC
col0_LP_M	1.986	D	col0	SC+M	SC
col0_FR	1.356	E	col0	FR	FR
col0_FR	1.782	E	col0	FR	FR
col0_FR	1.513	E	col0	FR	FR
col0_FR	1.167	E	col0	FR	FR
col0_FR	1.137	E	col0	FR	FR
col0_FR	1.684	E	col0	FR	FR
col0_FR	0.991	E	col0	FR	FR
col0_FR	1.041	E	col0	FR	FR
col0_FR	1.134	E	col0	FR	FR
col0_FR	0.993	E	col0	FR	FR
col0_FR	0.647	E	col0	FR	FR
col0_FR	0.517	E	col0	FR	FR
col0_FR_M	2.61	F	col0	FR+M	FR
col0_FR_M	2.676	F	col0	FR+M	FR
col0_FR_M	1.96	F	col0	FR+M	FR
col0_FR_M	2.022	F	col0	FR+M	FR
col0_FR_M	2.33	F	col0	FR+M	FR
col0_FR_M	2.509	F	col0	FR+M	FR
col0_FR_M	2.482	F	col0	FR+M	FR
col0_FR_M	2.29	F	col0	FR+M	FR
col0_FR_M	2.036	F	col0	FR+M	FR
col0_FR_M	1.21	F	col0	FR+M	FR
col0_FR_M	2.014	F	col0	FR+M	FR
col0_FR_M	2.064	F	col0	FR+M	FR
myc2	3.271	A	myc2	NC	NC
myc2	3.121	A	myc2	NC	NC
myc2	1.721	A	myc2	NC	NC
myc2	2.4	A	myc2	NC	NC
myc2	2.274	A	myc2	NC	NC
myc2	1.971	A	myc2	NC	NC
myc2	1.863	A	myc2	NC	NC
myc2	1.664	A	myc2	NC	NC
myc2	1.332	A	myc2	NC	NC
myc2_M	3.126	B	myc2	NC+M	NC
myc2_M	2.202	B	myc2	NC+M	NC
myc2_M	2.704	B	myc2	NC+M	NC
myc2_M	2.001	B	myc2	NC+M	NC
myc2_M	2.858	B	myc2	NC+M	NC
myc2_M	1.352	B	myc2	NC+M	NC
myc2_M	1.53	B	myc2	NC+M	NC
myc2_M	1.442	B	myc2	NC+M	NC
myc2_M	2.266	B	myc2	NC+M	NC
myc2_LP	1.044	C	myc2	SC	SC
myc2_LP	0.719	C	myc2	SC	SC
myc2_LP	0.781	C	myc2	SC	SC
myc2_LP	1.243	C	myc2	SC	SC
myc2_LP	1.429	C	myc2	SC	SC
myc2_LP	0.635	C	myc2	SC	SC
myc2_LP	1.22	C	myc2	SC	SC
myc2_LP	0.645	C	myc2	SC	SC
myc2_LP	0.927	C	myc2	SC	SC
myc2_LP_M	1.361	D	myc2	SC+M	SC
myc2_LP_M	0.628	D	myc2	SC+M	SC
myc2_LP_M	1.141	D	myc2	SC+M	SC
myc2_LP_M	0.773	D	myc2	SC+M	SC
myc2_LP_M	0.526	D	myc2	SC+M	SC
myc2_LP_M	1.289	D	myc2	SC+M	SC
myc2_LP_M	0.779	D	myc2	SC+M	SC
myc2_LP_M	0.615	D	myc2	SC+M	SC
myc2_LP_M	1.044	D	myc2	SC+M	SC
myc2_FR	1.003	E	myc2	FR	FR
myc2_FR	0.974	E	myc2	FR	FR
myc2_FR	0.897	E	myc2	FR	FR
myc2_FR	1.432	E	myc2	FR	FR
myc2_FR	1.62	E	myc2	FR	FR
myc2_FR	0.731	E	myc2	FR	FR
myc2_FR	1.491	E	myc2	FR	FR
myc2_FR	1.011	E	myc2	FR	FR
myc2_FR	0.781	E	myc2	FR	FR
myc2_FR_M	1.113	F	myc2	FR+M	FR
myc2_FR_M	1.581	F	myc2	FR+M	FR
myc2_FR_M	0.782	F	myc2	FR+M	FR
myc2_FR_M	0.893	F	myc2	FR+M	FR
myc2_FR_M	1.583	F	myc2	FR+M	FR
myc2_FR_M	0.674	F	myc2	FR+M	FR
myc2_FR_M	1.234	F	myc2	FR+M	FR
myc2_FR_M	1.301	F	myc2	FR+M	FR
myc2_FR_M	0.721	F	myc2	FR+M	FR
myc2flag	3.104	A	myc2flag	NC	NC
myc2flag	2.947	A	myc2flag	NC	NC
myc2flag	1.801	A	myc2flag	NC	NC
myc2flag	2.111	A	myc2flag	NC	NC
myc2flag	2.079	A	myc2flag	NC	NC
myc2flag	1.661	A	myc2flag	NC	NC
myc2flag	2.458	A	myc2flag	NC	NC
myc2flag	2.402	A	myc2flag	NC	NC
myc2flag	1.191	A	myc2flag	NC	NC
myc2flag_M	2.451	B	myc2flag	NC+M	NC
myc2flag_M	3.164	B	myc2flag	NC+M	NC
myc2flag_M	2.383	B	myc2flag	NC+M	NC
myc2flag_M	1.573	B	myc2flag	NC+M	NC
myc2flag_M	2.932	B	myc2flag	NC+M	NC
myc2flag_M	1.446	B	myc2flag	NC+M	NC
myc2flag_M	2.244	B	myc2flag	NC+M	NC
myc2flag_M	1.285	B	myc2flag	NC+M	NC
myc2flag_M	1.423	B	myc2flag	NC+M	NC
