GeneID	ClusterID
AT1G02660	A
AT1G03850	A
AT1G17147	A
AT1G21130	A
AT1G47480	A
AT1G76960	A
AT2G22450	A
AT2G28630	A
AT2G32030	A
AT2G32680	A
AT2G39400	A
AT2G40750	A
AT2G46430	A
AT3G51660	A
AT3G51860	A
AT3G55880	A
AT3G55970	A
AT3G59700	A
AT4G03450	A
AT4G15700	A
AT4G19030	A
AT4G21215	A
AT4G28703	A
AT4G33420	A
AT4G35480	A
AT5G01540	A
AT5G08760	A
AT5G10760	A
AT5G20230	A
AT5G47230	A
AT1G01010	A
AT1G01560	A
AT1G02230	A
AT1G02360	A
AT1G02400	A
AT1G02580	A
AT1G02920	A
AT1G04280	A
AT1G04570	A
AT1G05000	A
AT1G05675	A
AT1G05700	A
AT1G07000	A
AT1G07050	A
AT1G07128	A
AT1G07150	A
AT1G07160	A
AT1G07900	A
AT1G08320	A
AT1G08940	A
AT1G09380	A
AT1G09480	A
AT1G09930	A
AT1G09932	A
AT1G10340	A
AT1G11210	A
AT1G12940	A
AT1G13340	A
AT1G13470	A
AT1G13520	A
AT1G13540	A
AT1G13550	A
AT1G13830	A
AT1G14070	A
AT1G14080	A
AT1G14370	A
AT1G14540	A
AT1G14550	A
AT1G14870	A
AT1G14880	A
AT1G15380	A
AT1G15520	A
AT1G15670	A
AT1G15790	A
AT1G16110	A
AT1G16130	A
AT1G16150	A
AT1G16160	A
AT1G16420	A
AT1G17250	A
AT1G17860	A
AT1G18200	A
AT1G18390	A
AT1G18860	A
AT1G18980	A
AT1G19610	A
AT1G20450	A
AT1G20900	A
AT1G21100	A
AT1G21110	A
AT1G21120	A
AT1G21240	A
AT1G21310	A
AT1G21326	A
AT1G21520	A
AT1G22500	A
AT1G24140	A
AT1G26240	A
AT1G26380	A
AT1G26390	A
AT1G26410	A
AT1G26420	A
AT1G27020	A
AT1G28370	A
AT1G29860	A
AT1G30700	A
AT1G30720	A
AT1G30730	A
AT1G30755	A
AT1G32350	A
AT1G32960	A
AT1G33960	A
AT1G34180	A
AT1G35230	A
AT1G35515	A
AT1G35710	A
AT1G36622	A
AT1G44130	A
AT1G45145	A
AT1G46120	A
AT1G47890	A
AT1G49000	A
AT1G51790	A
AT1G51800	A
AT1G51820	A
AT1G51850	A
