2M.10.2	2M.10.4	2M.6.1	2M.9.2	2R.10.4	2R.6.1	2M.7.2	1R.8.2	1R.8.3	2M.10.3	1M.6.4	1M.9.3	2R.9.2	2R.9.4	2M.7.3	2R.7.1	2R.10.1	2M.6.4	1R.6.2	2R.8.3	2R.10.3	2R.6.4	2R.9.1	1M.9.2	2R.10.2	2R.7.2	1R.6.4	1M.7.1	2R.8.2	2M.7.1	1R.10.1	2M.8.4	2M.10.1	2M.9.4	1R.9.1	1M.7.2	1R.7.4	1R.7.1	2R.9.3	1R.7.2	2M.9.3	2R.6.2	2R.8.1	1M.7.3	1M.8.1	1M.8.2	2M.8.2	1R.10.4	1R.9.3	2M.8.3	2R.7.3	2R.7.4	2M.6.2	1M.10.4	2M.8.1	1M.9.4	2R.8.4	1R.10.2	2M.9.1	1R.8.4	1R.10.3	1M.6.3	1R.9.2	1M.10.1	1R.8.1	2R.6.3	1R.6.1	2M.6.3	1M.8.4	1R.7.3	1R.9.4	1M.10.2	1R.6.3	1M.6.2	1M.6.1	1M.10.3	1M.9.1	1M.8.3	1M.7.4	3M.10.1	3R.10.4	3M.8.3	3R.6.3	3R.7.4	3R.9.3	3R.7.1	3R.6.1	3R.10.2	3R.9.4	Input2	3M.7.3	3R.8.2	3R.10.1	3M.6.2	3R.7.2	3R.9.1	3R.8.3	3M.8.2	3M.9.2	3M.7.4	3R.10.3	3M.7.1	3R.7.3	3R.9.2	3M.10.3	3R.6.4	3M.10.4	3M.9.4	3R.6.2	3M.6.1	3M.6.4	Input1	3M.10.2	3M.8.4	3R.8.1	3R.8.4	3M.9.3	3M.9.1	3M.8.1	3M.7.2	Input3
Root935	7303	7090	6899	5897	9847	12499	3130	3256	3206	7177	3600	2113	7082	7917	8295	5300	8378	5486	6428	4995	4219	9122	7360	2122	10788	4486	6289	2771	3177	4163	2129	4990	7662	7089	3222	2137	2434	3950	8317	5768	3989	7028	3298	1567	2703	2691	5509	4370	3600	5450	2204	1471	5958	2644	2884	2215	3662	4420	7848	3870	4205	3059	4083	2413	4554	8721	4258	6952	1579	1608	2781	1401	4991	4171	3064	3073	1442	1688	2130	5379	13835	4742	10462	5588	6568	5980	12991	7489	5593	2475	3633	6793	10337	3514	5272	4721	7326	4605	2693	3339	8611	3771	5624	5945	5230	10562	13227	3318	12346	4086	3504	2496	6372	4608	8226	6199	4895	3165	3469	4455	748
Root773	65	144	190	69	190	200	232	314	271	65	110	33	139	212	673	461	68	78	335	149	59	131	133	47	121	455	238	311	50	279	70	304	129	48	273	360	303	429	172	418	77	82	95	80	129	140	204	204	211	263	241	195	187	78	122	68	94	146	72	212	218	76	242	68	201	114	278	149	65	308	172	59	96	147	72	109	53	131	103	133	509	310	283	1314	505	1340	507	433	229	58	248	531	402	89	1491	250	546	259	46	332	564	335	2168	322	88	385	288	54	834	110	114	65	228	301	521	554	116	124	119	376	37
Root569	433	634	740	955	233	144	1234	417	246	243	100	231	459	613	3892	1375	105	121	197	818	103	60	519	98	261	1288	45	1358	317	1968	103	2234	472	1506	251	1089	569	565	494	747	908	152	919	759	559	413	2152	43	152	2111	633	562	1109	68	941	170	678	217	1103	340	271	326	129	377	467	332	166	754	163	463	252	174	166	549	470	434	113	398	633	838	855	1345	197	804	448	840	539	595	299	1469	786	510	949	779	634	355	692	1301	475	878	608	579	200	418	613	394	1485	505	548	805	363	484	734	1323	597	673	897	427	1302	612	154
Root690	700	693	699	334	967	1583	13	423	237	475	196	125	837	674	41	487	888	599	643	385	304	1247	736	181	1338	166	659	9	246	12	124	204	502	346	279	5	85	283	1036	228	185	600	492	6	44	38	168	403	196	151	215	37	431	79	88	133	287	559	497	405	455	127	380	45	695	654	1248	584	12	69	103	36	613	115	165	97	57	11	4	112	2374	51	1452	125	613	205	1921	938	629	51	7	1462	939	77	180	374	1863	36	67	11	1152	25	191	345	130	1090	473	69	2116	115	40	42	82	50	1619	1242	173	54	56	9	15
Root83	7	16	20	13	7	17	13	7	7	9	13	19	11	9	19	27	8	7	19	9	4	10	14	8	16	14	13	7	3	10	5	6	17	17	11	6	25	14	20	6	8	10	7	1	5	9	11	6	6	5	5	9	14	14	7	7	7	16	7	15	11	14	20	11	11	11	19	14	2	9	11	11	10	10	14	15	5	4	9	20	54	6	22	28	29	33	32	28	30	111	12	11	14	10	47	19	24	9	7	19	31	28	81	24	9	29	41	3	26	22	9	217	19	11	22	11	12	16	6	27	74
Root9	296	427	472	881	262	43	465	419	528	104	204	362	469	573	1835	126	33	32	696	491	37	11	527	219	138	203	114	331	231	692	179	1295	285	1521	393	307	51	83	549	66	882	68	311	217	991	1029	1332	90	226	1494	88	76	817	181	665	386	358	390	1115	696	408	432	175	711	594	29	422	361	481	64	253	404	321	937	755	975	225	782	270	1048	2114	1387	405	336	1292	433	668	1446	816	258	864	927	855	979	460	1271	978	1247	828	739	1333	805	109	857	1257	678	2674	849	739	1368	463	1903	1567	1253	803	1103	1179	1019	1172	955	165
Root217	379	494	321	218	475	793	14	243	190	374	109	105	912	1057	29	299	464	307	351	272	301	582	1068	168	819	180	278	19	196	24	145	222	382	388	449	6	62	186	986	123	170	309	274	13	91	73	213	439	481	225	67	67	270	94	119	99	181	219	350	246	268	80	569	116	268	456	423	345	72	48	274	42	241	104	184	123	46	27	4	164	736	81	711	12	544	93	905	425	613	1906	7	807	884	124	37	440	877	100	78	17	535	13	81	602	90	632	705	68	1067	190	58	2164	115	98	507	734	237	78	72	9	708
Root401	111	150	147	107	107	165	69	70	85	131	119	80	108	181	218	598	86	102	102	50	50	109	201	75	172	295	170	127	16	115	35	65	184	112	162	111	206	548	224	534	73	47	45	33	90	50	90	150	161	79	229	133	98	110	26	56	42	95	208	87	95	98	183	74	66	128	167	131	41	454	158	32	68	112	52	77	117	41	74	148	401	102	215	1349	264	1799	221	185	131	231	180	175	354	115	2218	140	254	156	74	217	223	162	1375	206	122	187	367	71	315	159	65	345	123	143	207	213	158	60	99	413	52
Root480	51	70	80	40	56	116	124	17	62	52	15	11	76	74	336	146	54	52	37	17	15	45	75	10	54	169	37	140	19	165	43	166	122	70	35	120	91	143	60	82	30	13	25	64	32	28	41	25	13	31	56	78	78	21	23	16	18	28	54	44	54	31	54	30	29	31	39	47	13	85	20	17	20	14	7	15	14	28	106	65	132	160	43	286	146	399	89	144	88	124	120	101	56	26	588	84	169	201	46	198	86	176	96	162	21	61	53	40	122	39	34	93	89	197	155	182	59	43	96	189	53
Root241	796	962	1063	601	552	665	308	245	258	864	343	219	748	764	974	504	556	689	490	232	209	552	647	192	488	634	420	291	182	556	119	586	1004	788	375	190	167	240	868	172	507	234	177	157	208	204	487	390	247	460	164	181	831	172	351	235	222	326	776	312	407	297	375	139	232	455	495	844	61	115	170	124	243	336	301	311	109	124	136	549	2412	394	772	697	1469	1353	1583	1015	955	34	232	892	796	264	1009	1076	935	356	243	241	1205	298	282	1129	407	1188	1610	281	1585	484	204	47	592	408	988	941	648	302	260	267	10
