2R.10.1	1M.6.4	1M.6.1	2M.7.4	1M.7.1	1R.10.2	1R.8.1	2R.6.3	2R.8.2	2R.10.3	1M.10.2	1M.10.1	1M.9.3	2R.7.4	1M.10.4	1R.10.3	1M.7.2	2M.9.4	1M.7.3	2R.9.2	2R.6.2	1R.9.2	2M.8.3	2R.6.1	2M.10.1	1M.6.2	1M.8.2	1R.6.1	2M.10.4	1M.9.1	2R.8.3	2R.9.4	1M.6.3	1M.8.1	2M.9.2	2R.8.1	1M.8.3	2M.6.2	1R.7.1	2M.10.3	1M.10.3	1R.7.4	2M.6.1	2M.9.3	2R.7.3	1R.9.4	1R.10.4	2M.6.4	2R.7.2	1R.6.3	1R.9.1	2M.9.1	2R.8.4	1M.9.2	1M.7.4	1R.6.2	2M.7.3	2M.6.3	1R.7.2	1R.8.4	1M.9.4	2R.9.3	1R.8.2	2M.8.2	1R.6.4	1R.7.3	2R.10.4	2M.8.4	2M.8.1	2R.6.4	2R.10.2	1R.8.3	2R.7.1	2R.9.1	1R.9.3	2M.7.2	2M.10.2	1M.8.4	2M.7.1	3M.10.4	Input3	3R.9.4	3R.6.4	3M.7.3	3M.8.4	3M.9.2	3R.7.3	3R.8.2	3R.6.1	3R.6.2	3R.9.2	3M.6.3	3M.7.2	3R.10.4	3M.7.4	Input1	3R.10.3	3M.8.3	3R.7.1	3R.9.1	3R.7.2	3R.7.4	Input2	3M.9.3	3R.10.2	3R.8.1	3M.6.2	3M.9.1	3M.10.1	3M.6.4	3R.8.3	3R.10.1	3R.9.3	3M.6.1	3M.8.1	3M.7.1	3R.6.3	3M.10.3	3M.8.2	3M.10.2	3R.8.4	3M.9.4
Fusarium_oxysporum_MPI-CAGE-AT-0013_	51881	33815	16323	55780	37794	43674	18379	51942	59496	52440	31945	19243	10411	69841	34689	22599	31223	20808	28460	17058	47072	42242	48541	56285	56354	31385	28789	10968	43677	20870	56343	46700	32399	38849	26731	51505	37736	31887	41068	52746	26079	66874	50683	26114	71336	35189	47686	41237	55571	23429	27754	35737	38097	27613	36237	14677	41404	50475	49977	12737	21804	34976	31434	43867	28922	57427	43846	46993	42857	63578	29882	27263	55891	31805	18671	48559	28655	33074	50792	36208	6205	14293	25637	12119	12725	4810	22762	19975	14580	28715	10708	26097	18857	15045	21379	11163	29237	16205	51657	9173	33570	24838	12159	7504	20376	24657	16234	12957	19592	22980	24633	7454	30240	11397	18262	17279	16783	16142	32038	22927	28194	9203
Verticillium_dahliae_MPI-CAGE-AT-0001_	13681	22529	16760	4931	6555	3845	9370	1525	6497	15391	25295	24749	25808	1394	33115	14561	3915	8613	5670	2474	2490	12223	6425	3998	12499	21401	21050	1057	7322	16404	11648	4874	24159	21935	7192	5525	16813	5204	1083	8977	32527	2749	7529	11713	1735	9740	9293	3888	4010	3732	5513	9764	2757	22704	7105	1786	4394	6515	2037	2321	24688	3411	2855	6075	5174	1102	3515	3832	7347	602	2290	7210	2298	2380	5101	4452	5491	25086	4216	8037	4050	2168	12771	3876	6535	7443	1024	3937	1520	2383	2358	9064	5175	1371	7860	6304	3754	8356	1121	4392	4260	1449	4360	8059	2041	7368	5497	9270	4215	4769	2729	799	1934	2726	9464	7565	1370	8613	11549	4921	3534	4885
Neonectria_radicicola_MPI-CAGE-AT-0134	732	67	1387	480	840	130	124	834	1095	900	97	245	188	342	82	92	1586	1811	652	1135	2205	521	457	1300	467	161	39	67	1886	23	3012	1689	77	144	2940	589	633	1052	807	515	182	2308	221	853	478	279	623	524	447	126	72	1365	328	3253	274	328	882	48	1026	107	69	8837	62	725	415	337	766	208	1084	384	1163	158	765	364	286	934	1125	366	1045	1209	6071	1875	4349	492	449	1487	695	763	1190	830	1607	828	899	905	1364	6457	1777	757	955	1742	2841	2231	7048	523	1375	545	927	402	513	325	528	382	2710	522	909	595	1170	2129	418	338	1777	739
Mortierella_elongata_MPI-CAGE-AA-0104	6	193	15478	5	6	28463	40597	6	5	18	1598	3709	14421	8	67	14517	8	19	6	9278	7	5027	5	9	10	144	9269	23090	13	8368	7	9	3765	2142	204	5	1404	8	3	11	477	4	7	12	3	75580	3380	16	2	30277	49045	14	75	686	6	53340	12	8	5	42696	8450	37	35484	5	20421	6	8	6	10	33	5	27901	6	1	53467	2	9	4859	15	4	4446	14687	12	1	5	1921	49	562	82	5	12794	1	21	17	11	4029	64	49	27	121	31	26	3199	3465	2211	20	230	3	4	0	20	0	571	6	16	5	6	105	6	143	382	19
Dendryphion_nanum_MPI-CAGE-CH-0243	2253	125	1152	85	311	521	391	12169	270	1518	209	792	711	509	647	719	74	1347	335	18838	763	326	354	327	61	243	274	735	641	22	904	7697	214	247	867	1260	715	2714	97	1467	174	95	160	252	1013	1383	2323	400	712	147	621	856	1548	5008	150	459	393	28	14122	4447	226	327	727	720	971	3	652	570	496	355	1415	1695	358	465	1692	327	2065	1590	357	1269	1895	456	1717	392	416	760	95	2515	951	3058	713	1020	730	798	839	972	4190	1142	731	1049	388	721	1782	562	937	2173	612	906	699	790	12298	18357	1558	273	921	334	2435	1998	268	456	2420	689
Ilyonectria_europaea_MPI-CAGE-AT-0026	844	5683	4772	2471	1985	3660	3256	963	430	342	10860	6486	7755	2207	12425	12683	2487	1300	2275	717	1248	4114	1237	511	1678	7179	9219	550	1071	5056	1115	313	6440	9676	498	438	6564	609	370	808	8886	109	1111	769	271	6974	3743	846	736	942	12214	1768	207	7349	2097	509	3039	1382	353	1008	8496	919	1290	1379	5921	788	549	570	1400	1951	316	2728	835	956	1715	2568	887	6873	2538	17841	10342	8782	11665	10351	6278	8969	11793	16686	7876	8755	9322	10684	14817	4808	17167	564	9564	12849	16742	15525	21789	29708	598	7853	12241	14595	10182	6725	6933	3697	11345	8748	12310	8239	16341	9894	11001	12672	8214	5611	13681	7084
Plectosphaerella_cucumerina_MPI-CAGE-AT-0016	2302	573	2194	5168	7032	5653	3219	7423	2698	2479	1061	1551	1250	2105	1058	14339	5987	7705	5817	9000	2708	1079	3006	2474	4115	751	514	4243	11624	273	6550	4053	832	977	6251	2337	1793	4623	3111	5570	1093	1039	3505	6515	1486	5212	2630	5106	5131	6005	1575	7608	3088	2355	5119	1224	6344	2511	1524	1443	667	10373	864	3898	1582	2016	5490	1875	5306	4943	4376	4969	2581	2987	644	6608	7944	1121	6596	7717	21676	7948	7521	2681	2182	8517	580	13530	4708	4178	7695	6243	3775	32433	7990	12621	8913	4130	2307	15445	1741	3238	17214	5403	8096	4831	5152	4174	3975	2840	4202	2278	6511	5702	6177	3498	19288	10286	4087	3854	7272	5093
Dactylonectria_estremocensis_MPI-CAGE-AT-0021	922	128	984	1268	1892	181	289	1529	2116	546	300	467	185	2191	197	345	1168	2529	1688	2202	1124	80	921	2058	564	137	62	96	4287	22	982	668	125	200	4615	3003	2113	2191	4018	1161	230	4117	567	1847	7649	800	231	1559	871	128	67	1804	1002	386	985	139	2341	248	2984	2089	85	1996	103	1819	355	3402	3873	488	2216	659	1151	352	2976	300	230	1912	2261	562	1932	1851	2083	1683	3382	2473	1458	1184	7995	4049	2189	2985	2514	989	4481	638	4436	583	2635	1714	4178	3958	7418	10193	2134	1670	1533	6288	2015	1455	1419	910	13061	1209	2250	1086	2071	1717	10250	1969	937	1352	4041	1160
Zalerion_varium_MPI-CAGE-AT-0135_	2916	3	0	449	200	3	2	1114	1034	995	1	0	0	212	2	1	86	4412	376	12575	2798	3	3868	6066	1770	0	1	1	5096	0	1435	3857	2	0	8442	3067	2	5677	133	772	1	197	936	4144	357	1	21	6376	221	0	0	4680	16965	1	123	0	861	251	45	0	1	5462	1	2528	0	472	5864	2731	4389	838	9000	1	86	4917	1	513	5096	1	613	1850	392	1471	3918	182	987	1110	536	4748	2296	2613	3297	409	251	1673	1514	2	1832	898	5792	1832	3252	2117	808	2010	1315	2167	401	691	2439	157	1185	1831	716	181	1057	1158	1513	955	1391	497	6562	10647
Fusarium_oxysporum_MPI-CAGE-CH-0226	3706	6238	7132	11474	7021	1199	1225	3013	1531	2019	5498	5187	7517	1009	7438	2014	7006	11674	6802	4274	1774	2762	8069	1507	9168	6016	5416	734	9703	5591	2754	2603	6328	4432	7476	1347	4207	7830	439	9575	7103	2913	7725	11344	962	4676	3292	7059	720	1252	1937	11922	2595	7764	6167	1321	10090	9513	486	1255	8395	3640	1003	7105	2670	624	3644	3686	10935	1946	2643	2034	668	5267	1372	7776	7175	5734	8208	26598	9704	12114	10957	20448	15700	24033	7823	10471	6207	6790	12105	21857	23620	8384	34263	2648	12620	21926	3177	27089	12669	13428	5391	25101	10271	10663	20980	22445	14135	10638	5511	8937	9962	18165	29708	26981	8948	27835	19856	11530	11214	19385
