Library	Sample	Group	Condition	Microbes_Innoculation	Tissue	Replicate	Description
3470.A	NC_N_Root_1	NC_Root_N	NC_Root	No	Root	1	Normal_Condition
3470.B	NC_N_Root_2	NC_Root_N	NC_Root	No	Root	2	Normal_Condition
3470.C	NC_N_Root_3	NC_Root_N	NC_Root	No	Root	3	Normal_Condition
3470.D	NC_N_Shoot_1	NC_Shoot_N	NC_Shoot	No	Shoot	1	Normal_Condition
3470.E	NC_N_Shoot_2	NC_Shoot_N	NC_Shoot	No	Shoot	2	Normal_Condition
3470.F	NC_N_Shoot_3	NC_Shoot_N	NC_Shoot	No	Shoot	3	Normal_Condition
3470.G	SC_N_Root_1	SC_Root_N	SC_Root	No	Root	1	Shade_Condition
3470.H	SC_N_Root_2	SC_Root_N	SC_Root	No	Root	2	Shade_Condition
3470.I	SC_N_Root_3	SC_Root_N	SC_Root	No	Root	3	Shade_Condition
3470.J	SC_N_Shoot_1	SC_Shoot_N	SC_Shoot	No	Shoot	1	Shade_Condition
3470.K	SC_N_Shoot_2	SC_Shoot_N	SC_Shoot	No	Shoot	2	Shade_Condition
3470.L	SC_N_Shoot_3	SC_Shoot_N	SC_Shoot	No	Shoot	3	Shade_Condition
3470.M	NC_Y_Root_1	NC_Root_Y	NC_Root	Yes	Root	1	Normal_Condition
3470.N	NC_Y_Root_2	NC_Root_Y	NC_Root	Yes	Root	2	Normal_Condition
3470.O	NC_Y_Root_3	NC_Root_Y	NC_Root	Yes	Root	3	Normal_Condition
3470.P	NC_Y_Shoot_1	NC_Shoot_Y	NC_Shoot	Yes	Shoot	1	Normal_Condition
3470.Q	NC_Y_Shoot_2	NC_Shoot_Y	NC_Shoot	Yes	Shoot	2	Normal_Condition
3470.R	NC_Y_Shoot_3	NC_Shoot_Y	NC_Shoot	Yes	Shoot	3	Normal_Condition
3470.S	SC_Y_Root_1	SC_Root_Y	SC_Root	Yes	Root	1	Shade_Condition
3470.T	SC_Y_Root_2	SC_Root_Y	SC_Root	Yes	Root	2	Shade_Condition
3470.U	SC_Y_Root_3	SC_Root_Y	SC_Root	Yes	Root	3	Shade_Condition
3470.V	SC_Y_Shoot_1	SC_Shoot_Y	SC_Shoot	Yes	Shoot	1	Shade_Condition
3470.W	SC_Y_Shoot_2	SC_Shoot_Y	SC_Shoot	Yes	Shoot	2	Shade_Condition
3470.X	SC_Y_Shoot_3	SC_Shoot_Y	SC_Shoot	Yes	Shoot	3	Shade_Condition
