NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT1G01010	5.7976	5.7625	5.8621	1.9978	1.7303	1.6755	5.8555	5.6288	5.6011	1.6629	1.3627	1.67	5.6275	5.5745	5.4304	2.4674	2.738	2.8741	5.2279	5.2141	5.3766	2.179	1.8012	1.0645
AT1G01020	3.5558	3.2049	2.9702	3.4682	4.04	4.2053	2.7672	2.8155	2.6208	4.0716	4.1978	3.8837	3.1984	2.8568	2.5562	3.5252	4.0272	4.1099	2.4751	2.81	2.4481	3.8382	4.1165	4.1081
AT1G01030	2.0135	1.3329	1.938	1.8592	1.6682	2.1385	1.2209	1.1099	1.4289	2.4557	2.1383	2.0894	1.7747	1.878	0.8991	2.1432	2.6582	1.5872	1.5446	1.479	1.8839	1.498	2.0448	2.5363
AT1G01040	6.3662	6.3796	6.3232	6.3701	6.3922	6.3725	5.948	5.8222	5.7289	6.5251	6.4175	6.5751	6.0486	6.0314	5.8789	6.3911	6.467	6.4062	5.9854	6.1648	6.0668	6.4072	6.572	6.2725
AT1G01050	5.972	5.8414	6.0067	6.3048	6.1037	6.1613	6.0739	6.1673	6.0568	5.8718	5.8077	5.9143	5.7791	5.9822	5.7993	6.3658	6.1653	6.1503	5.9132	5.9099	5.9272	5.7143	5.8105	5.766
AT1G01060	6.6099	6.4704	6.7363	6.5001	6.4568	6.4198	6.4163	6.4396	6.2546	5.6151	5.6387	5.6514	5.4237	5.8711	5.4188	6.2009	6.3491	6.0193	5.5744	5.3427	5.4842	5.1592	5.4338	5.5999
AT1G01070	4.6789	4.8043	4.8052	2.259	2.1491	2.4884	4.3092	4.2434	4.0509	1.78	1.2615	1.8341	5.6165	5.7193	5.3855	2.7167	2.6024	2.6893	4.8849	4.659	4.9368	1.6705	1.0307	-0.2711
AT1G01080	1.266	1.6199	1.4033	6.1007	6.1569	6.096	1.2209	1.1886	1.5556	6.4997	6.4878	6.6061	2.0294	1.8948	2.0567	5.861	6.0279	5.948	1.8138	2.456	1.9793	6.3497	6.4998	6.6936
AT1G01090	6.9616	6.8147	7.0973	7.9653	7.7859	7.781	7.2081	7.2448	7.204	7.9234	7.8213	7.8266	6.9788	6.9776	7.0638	7.7863	7.7117	7.6125	7.3179	7.122	7.2227	7.7612	7.7701	7.9594
AT1G01100	7.3951	7.1324	7.4862	7.4449	7.1928	7.3315	7.7283	7.8374	7.7057	7.4106	7.4075	7.3959	7.1856	7.1275	7.2938	7.2763	7.3243	7.171	7.4206	7.4915	7.4971	7.2802	7.2512	7.5633
